Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;-;-;+;+;+;+;+;+;1005156.0
2;-;+;+;+;-;-;-;+;+;+;1005337.5
3;-;+;+;-;-;-;+;+;-;-;1005224.5
4;-;-;+;-;+;-;+;-;+;-;1005190.0
5;-;-;-;+;+;+;-;+;-;-;1005161.5
6;+;+;+;-;+;+;-;+;-;-;1004966.5
7;-;+;-;+;-;+;-;-;+;-;1005035.0
8;-;-;+;+;+;-;-;-;-;+;1005107.0
9;+;+;-;+;+;-;+;-;+;-;1005240.5
10;-;+;-;-;-;+;+;-;-;+;1005181.5
11;+;+;+;+;+;+;+;+;+;+;1004957.0
12;+;+;-;-;+;-;-;-;-;+;1005106.0
13;+;-;-;-;-;-;-;+;+;+;1004413.0
14;+;-;-;+;-;-;+;+;-;-;1004416.5
15;+;-;+;+;-;+;+;-;-;+;1004321.5
16;+;-;+;-;-;+;-;-;+;-;1004381.0
MW-;1005174.125;1004768.3125;1004963.75;1004952.3125;1004788.8125;1005004.375;1004938.4375;1004945.3125;1004935.625;1004951.9375;
MW+;1004725.25;1005131.0625;1004935.625;1004947.0625;1005110.5625;1004895.0;1004960.9375;1004954.0625;1004963.75;1004947.4375;
Effekt;-448.875;362.75;-28.125;-5.25;321.75;-109.375;22.5;8.75;28.125;-4.5;
