mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.2;0.5;0.37;110;1.0;1005094;8
AC;1.2;0.5;0.37;110;1.0;1004872;7
AC;1.2;0.5;0.37;110;1.0;1005083;17
AC;1.2;0.5;0.37;110;1.0;1005240;25
AC;1.2;0.5;0.37;110;1.0;1005218;51
AC;1.2;0.5;0.37;110;1.0;1005055;71
AC;1.2;0.5;0.37;110;1.0;1005600;31
AC;1.2;0.5;0.37;110;1.0;1005545;164
AC;1.2;0.5;0.37;110;1.0;1004998;171
AC;1.2;0.5;0.37;110;1.0;1005342;98
AC;1.2;0.5;0.37;125;1.0;1005445;53
AC;1.2;0.5;0.37;125;1.0;1005193;39
AC;1.2;0.5;0.37;125;1.0;1005018;113
AC;1.2;0.5;0.37;125;1.0;1005053;46
AC;1.2;0.5;0.37;125;1.0;1005062;19
AC;1.2;0.5;0.37;125;1.0;1005931;139
AC;1.2;0.5;0.37;125;1.0;1005014;66
AC;1.2;0.5;0.37;125;1.0;1005599;17
AC;1.2;0.5;0.37;125;1.0;1005077;58
AC;1.2;0.5;0.37;140;1.0;1005127;13
AC;1.2;0.5;0.37;140;1.0;1005044;48
AC;1.2;0.5;0.37;125;1.0;1005541;156
AC;1.2;0.5;0.37;140;1.0;1005291;65
AC;1.2;0.5;0.37;140;1.0;1005165;60
AC;1.2;0.5;0.37;140;1.0;1005158;59
AC;1.2;0.5;0.37;140;1.0;1005603;53
AC;1.2;0.5;0.37;140;1.0;1005080;62
AC;1.2;0.5;0.37;140;1.0;1005554;78
AC;1.2;0.5;0.47;110;1.0;1005188;39
AC;1.2;0.5;0.47;110;1.0;1005080;60
AC;1.2;0.5;0.47;110;1.0;1005764;84
AC;1.2;0.5;0.47;110;1.0;1005213;35
AC;1.2;0.5;0.47;110;1.0;1005078;98
AC;1.2;0.5;0.37;140;1.0;1005097;119
AC;1.2;0.5;0.47;110;1.0;1005218;36
AC;1.2;0.5;0.47;110;1.0;1005157;35
AC;1.2;0.5;0.37;140;1.0;1005168;149
AC;1.2;0.5;0.47;110;1.0;1005015;14
AC;1.2;0.5;0.47;110;1.0;1004892;142
AC;1.2;0.5;0.47;110;1.0;1005166;32
AC;1.2;0.5;0.47;125;1.0;1005425;63
AC;1.2;0.5;0.47;125;1.0;1005242;78
AC;1.2;0.5;0.47;125;1.0;1005456;86
AC;1.2;0.5;0.47;125;1.0;1005483;41
AC;1.2;0.5;0.47;125;1.0;1005173;38
AC;1.2;0.5;0.47;125;1.0;1005434;87
AC;1.2;0.5;0.47;125;1.0;1005557;114
AC;1.2;0.5;0.47;125;1.0;1004987;34
AC;1.2;0.5;0.47;125;1.0;1005728;178
AC;1.2;0.5;0.47;140;1.0;1005326;49
AC;1.2;0.5;0.47;140;1.0;1004935;31
AC;1.2;0.5;0.47;125;1.0;1005505;135
AC;1.2;0.5;0.47;140;1.0;1005234;37
AC;1.2;0.5;0.47;140;1.0;1005274;92
AC;1.2;0.5;0.47;140;1.0;1005279;102
AC;1.2;0.5;0.47;140;1.0;1004970;60
AC;1.2;0.5;0.47;140;1.0;1005196;25
AC;1.2;0.5;0.47;140;1.0;1005294;52
AC;1.2;0.5;0.47;140;1.0;1005573;58
AC;1.2;0.5;0.57;110;1.0;1005020;29
AC;1.2;0.5;0.57;110;1.0;1005233;24
AC;1.2;0.5;0.47;140;1.0;1005101;45
AC;1.2;0.5;0.57;110;1.0;1005178;16
AC;1.2;0.5;0.57;110;1.0;1005224;116
AC;1.2;0.5;0.57;110;1.0;1005218;68
AC;1.2;0.5;0.57;110;1.0;1004988;63
AC;1.2;0.5;0.57;110;1.0;1005190;152
AC;1.2;0.5;0.57;110;1.0;1004732;41
AC;1.2;0.5;0.57;110;1.0;1005190;59
AC;1.2;0.5;0.57;110;1.0;1005453;93
AC;1.2;0.5;0.57;125;1.0;1005183;27
AC;1.2;0.5;0.57;125;1.0;1005168;87
AC;1.2;0.5;0.57;125;1.0;1004798;24
AC;1.2;0.5;0.57;125;1.0;1005143;48
AC;1.2;0.5;0.57;125;1.0;1005376;12
AC;1.2;0.5;0.57;125;1.0;1005607;90
AC;1.2;0.5;0.57;125;1.0;1004971;65
AC;1.2;0.5;0.57;125;1.0;1005108;109
AC;1.2;0.5;0.57;125;1.0;1005131;27
AC;1.2;0.5;0.57;125;1.0;1004994;40
AC;1.2;0.5;0.57;140;1.0;1005049;24
AC;1.2;0.5;0.57;140;1.0;1005112;34
AC;1.2;0.5;0.57;140;1.0;1005102;95
AC;1.2;0.5;0.57;140;1.0;1005035;20
AC;1.2;0.5;0.57;140;1.0;1005348;49
AC;1.2;0.5;0.57;140;1.0;1004710;86
AC;1.2;0.5;0.57;140;1.0;1005247;80
AC;1.2;0.5;0.57;140;1.0;1005131;94
AC;1.2;0.65;0.37;110;1.0;1005173;30
AC;1.2;0.5;0.57;140;1.0;1004909;41
AC;1.2;0.65;0.37;110;1.0;1004753;24
AC;1.2;0.65;0.37;110;1.0;1005206;5
AC;1.2;0.65;0.37;110;1.0;1005572;104
AC;1.2;0.65;0.37;110;1.0;1004866;65
AC;1.2;0.65;0.37;110;1.0;1004785;34
AC;1.2;0.65;0.37;110;1.0;1005294;49
AC;1.2;0.65;0.37;110;1.0;1004869;17
AC;1.2;0.5;0.57;140;1.0;1005272;131
AC;1.2;0.65;0.37;110;1.0;1005197;96
AC;1.2;0.65;0.37;110;1.0;1004875;76
AC;1.2;0.65;0.37;125;1.0;1004900;23
AC;1.2;0.65;0.37;125;1.0;1004833;15
AC;1.2;0.65;0.37;125;1.0;1005237;34
AC;1.2;0.65;0.37;125;1.0;1005106;125
AC;1.2;0.65;0.37;125;1.0;1005069;122
AC;1.2;0.65;0.37;125;1.0;1005079;78
AC;1.2;0.65;0.37;125;1.0;1005107;53
AC;1.2;0.65;0.37;125;1.0;1005522;91
AC;1.2;0.65;0.37;125;1.0;1005707;168
AC;1.2;0.65;0.37;125;1.0;1005364;98
AC;1.2;0.65;0.37;140;1.0;1005315;28
AC;1.2;0.65;0.37;140;1.0;1005026;17
AC;1.2;0.65;0.37;140;1.0;1005568;81
AC;1.2;0.65;0.37;140;1.0;1004719;5
AC;1.2;0.65;0.37;140;1.0;1004872;17
AC;1.2;0.65;0.37;140;1.0;1004875;10
AC;1.2;0.65;0.47;110;1.0;1004947;21
AC;1.2;0.65;0.37;140;1.0;1005395;32
AC;1.2;0.65;0.47;110;1.0;1005134;24
AC;1.2;0.65;0.37;140;1.0;1005278;146
AC;1.2;0.65;0.37;140;1.0;1005211;69
AC;1.2;0.65;0.47;110;1.0;1004883;101
AC;1.2;0.65;0.37;140;1.0;1005264;156
AC;1.2;0.65;0.47;110;1.0;1004827;4
AC;1.2;0.65;0.47;110;1.0;1005100;36
AC;1.2;0.65;0.47;110;1.0;1005232;76
AC;1.2;0.65;0.47;110;1.0;1005173;58
AC;1.2;0.65;0.47;110;1.0;1005056;38
AC;1.2;0.65;0.47;110;1.0;1005099;178
AC;1.2;0.65;0.47;110;1.0;1005091;166
AC;1.2;0.65;0.47;125;1.0;1005007;36
AC;1.2;0.65;0.47;125;1.0;1005041;28
AC;1.2;0.65;0.47;125;1.0;1004974;19
AC;1.2;0.65;0.47;125;1.0;1004724;20
AC;1.2;0.65;0.47;125;1.0;1004987;44
AC;1.2;0.65;0.47;125;1.0;1004964;87
AC;1.2;0.65;0.47;125;1.0;1005318;43
AC;1.2;0.65;0.47;125;1.0;1004913;87
AC;1.2;0.65;0.47;125;1.0;1005430;52
AC;1.2;0.65;0.47;140;1.0;1005173;52
AC;1.2;0.65;0.47;140;1.0;1005380;46
AC;1.2;0.65;0.47;140;1.0;1004999;33
AC;1.2;0.65;0.47;140;1.0;1004709;18
AC;1.2;0.65;0.47;140;1.0;1005102;49
AC;1.2;0.65;0.47;125;1.0;1005002;119
AC;1.2;0.65;0.47;140;1.0;1004974;46
AC;1.2;0.65;0.47;140;1.0;1005060;9
AC;1.2;0.65;0.47;140;1.0;1005130;43
AC;1.2;0.65;0.57;110;1.0;1005246;42
AC;1.2;0.65;0.47;140;1.0;1005558;123
AC;1.2;0.65;0.57;110;1.0;1005191;76
AC;1.2;0.65;0.57;110;1.0;1005072;43
AC;1.2;0.65;0.57;110;1.0;1005288;99
AC;1.2;0.65;0.47;140;1.0;1004882;127
AC;1.2;0.65;0.57;110;1.0;1005216;27
AC;1.2;0.65;0.57;110;1.0;1005004;98
AC;1.2;0.65;0.57;110;1.0;1004895;19
AC;1.2;0.65;0.57;110;1.0;1005552;46
AC;1.2;0.65;0.57;110;1.0;1005300;74
AC;1.2;0.65;0.57;110;1.0;1005410;111
AC;1.2;0.65;0.57;125;1.0;1005194;22
AC;1.2;0.65;0.57;125;1.0;1005284;19
AC;1.2;0.65;0.57;125;1.0;1004881;86
AC;1.2;0.65;0.57;125;1.0;1004994;163
AC;1.2;0.65;0.57;125;1.0;1005032;73
AC;1.2;0.65;0.57;125;1.0;1005086;77
AC;1.2;0.65;0.57;125;1.0;1005403;83
AC;1.2;0.65;0.57;125;1.0;1005176;151
AC;1.2;0.65;0.57;125;1.0;1005306;104
AC;1.2;0.65;0.57;125;1.0;1005544;74
AC;1.2;0.65;0.57;140;1.0;1005253;32
AC;1.2;0.65;0.57;140;1.0;1005122;12
AC;1.2;0.65;0.57;140;1.0;1004972;28
AC;1.2;0.65;0.57;140;1.0;1005044;45
AC;1.2;0.65;0.57;140;1.0;1004962;22
AC;1.2;0.65;0.57;140;1.0;1005286;89
AC;1.2;0.8;0.37;110;1.0;1005125;17
AC;1.2;0.65;0.57;140;1.0;1005494;94
AC;1.2;0.65;0.57;140;1.0;1004927;53
AC;1.2;0.65;0.57;140;1.0;1005369;98
AC;1.2;0.8;0.37;110;1.0;1005065;78
AC;1.2;0.8;0.37;110;1.0;1005299;90
AC;1.2;0.65;0.57;140;1.0;1005282;102
AC;1.2;0.8;0.37;110;1.0;1005016;51
AC;1.2;0.8;0.37;110;1.0;1005341;91
AC;1.2;0.8;0.37;125;1.0;1005427;17
AC;1.2;0.8;0.37;110;1.0;1005227;118
AC;1.2;0.8;0.37;110;1.0;1005016;54
AC;1.2;0.8;0.37;110;1.0;1005302;98
AC;1.2;0.8;0.37;110;1.0;1005136;94
AC;1.2;0.8;0.37;125;1.0;1004935;13
AC;1.2;0.8;0.37;110;1.0;1005544;143
AC;1.2;0.8;0.37;125;1.0;1004841;8
AC;1.2;0.8;0.37;125;1.0;1005138;26
AC;1.2;0.8;0.37;125;1.0;1004818;6
AC;1.2;0.8;0.37;125;1.0;1004926;41
AC;1.2;0.8;0.37;125;1.0;1005447;170
AC;1.2;0.8;0.37;140;1.0;1005215;19
AC;1.2;0.8;0.37;140;1.0;1004760;5
AC;1.2;0.8;0.37;125;1.0;1005455;122
AC;1.2;0.8;0.37;125;1.0;1005091;192
AC;1.2;0.8;0.37;125;1.0;1005295;113
AC;1.2;0.8;0.37;140;1.0;1004891;41
AC;1.2;0.8;0.37;140;1.0;1004900;41
AC;1.2;0.8;0.37;140;1.0;1005037;44
AC;1.2;0.8;0.37;140;1.0;1005159;140
AC;1.2;0.8;0.37;140;1.0;1005033;65
AC;1.2;0.8;0.47;110;1.0;1004783;9
AC;1.2;0.8;0.37;140;1.0;1005127;71
AC;1.2;0.8;0.37;140;1.0;1005062;74
AC;1.2;0.8;0.37;140;1.0;1004866;53
AC;1.2;0.8;0.47;110;1.0;1004995;39
AC;1.2;0.8;0.47;110;1.0;1005445;135
AC;1.2;0.8;0.47;110;1.0;1004958;73
AC;1.2;0.8;0.47;110;1.0;1005108;53
AC;1.2;0.8;0.47;110;1.0;1004802;18
AC;1.2;0.8;0.47;110;1.0;1004719;55
AC;1.2;0.8;0.47;110;1.0;1004838;102
