mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.400;0.650;0.470;125;1.000;1005916.000;1004988;1006146;428.922;96.500;10;0.987;0.196;0.750;99.434
AC;1.400;0.650;0.570;140;1.000;1005712.500;1004190;1006336;641.198;72.500;10;0.862;0.404;0.725;99.414
AC;1.400;0.650;0.370;125;1.000;1005936.500;1004783;1006625;528.452;110.500;10;1.000;0.074;0.722;99.436
AC;1.400;0.650;0.470;110;1.000;1005694.500;1004208;1006857;741.857;90.500;10;0.851;0.248;0.670;99.412
AC;1.400;0.650;0.470;140;1.000;1005696.000;1005205;1006346;401.635;91.000;10;0.852;0.243;0.670;99.413
AC;1.400;0.650;0.570;110;1.000;1005395.000;1004775;1005802;325.136;51.500;10;0.667;0.587;0.643;99.383
AC;1.200;0.650;0.370;140;1.000;1005237.500;1004719;1005568;268.549;30.000;10;0.570;0.774;0.631;99.367
AC;1.400;0.650;0.370;140;1.000;1005720.500;1005100;1006202;419.224;110.500;10;0.867;0.074;0.629;99.415
AC;1.200;0.800;0.470;140;1.000;1005327.500;1004719;1006459;529.873;48.000;10;0.625;0.617;0.623;99.376
AC;1.400;0.800;0.470;140;1.000;1005258.500;1004832;1005496;232.986;37.000;10;0.583;0.713;0.622;99.369
AC;1.400;0.800;0.570;125;1.000;1005269.000;1004733;1005732;366.288;40.000;10;0.589;0.687;0.619;99.370
AC;1.400;0.800;0.370;110;1.000;1005207.000;1004870;1005560;244.262;30.000;10;0.551;0.774;0.618;99.364
AC;1.400;0.650;0.570;125;1.000;1005311.000;1005141;1006026;328.148;53.500;10;0.615;0.570;0.602;99.375
AC;1.400;0.800;0.570;110;1.000;1005204.000;1004924;1005771;272.672;36.500;10;0.550;0.717;0.600;99.364
AC;1.200;0.500;0.470;125;1.000;1005445.000;1004987;1005728;211.375;82.000;10;0.698;0.322;0.585;99.388
AC;1.200;0.500;0.470;140;1.000;1005254.000;1004935;1005573;184.494;50.500;10;0.580;0.596;0.585;99.369
AC;1.400;0.650;0.370;110;1.000;1005472.000;1005099;1006155;344.307;88.000;10;0.714;0.270;0.581;99.390
AC;1.200;0.500;0.470;110;1.000;1005161.500;1004892;1005764;229.702;37.500;10;0.523;0.709;0.579;99.360
AC;1.400;0.800;0.470;125;1.000;1005120.500;1004814;1005848;289.876;31.000;10;0.498;0.765;0.578;99.356
AC;1.400;0.800;0.570;140;1.000;1005150.500;1004966;1005390;143.798;37.500;10;0.517;0.709;0.574;99.359
AC;1.200;0.800;0.370;125;1.000;1005114.500;1004818;1005455;254.538;33.500;10;0.494;0.743;0.569;99.355
AC;1.200;0.500;0.370;110;1.000;1005156.000;1004872;1005600;234.575;41.000;10;0.520;0.678;0.567;99.359
AC;1.400;0.800;0.370;125;1.000;1005144.000;1004881;1005661;282.438;41.000;10;0.513;0.678;0.562;99.358
AC;1.400;0.800;0.370;140;1.000;1005134.000;1004957;1005763;280.629;39.500;10;0.506;0.691;0.562;99.357
AC;1.200;0.650;0.570;140;1.000;1005187.500;1004927;1005494;193.549;49.000;10;0.539;0.609;0.560;99.362
AC;1.200;0.500;0.570;125;1.000;1005137.000;1004798;1005607;222.048;44.000;10;0.508;0.652;0.551;99.357
AC;1.200;0.650;0.570;110;1.000;1005231.000;1004895;1005552;192.353;60.000;10;0.566;0.513;0.550;99.367
AC;1.200;0.800;0.570;125;1.000;1005116.500;1004643;1005362;199.950;42.500;10;0.496;0.665;0.547;99.355
AC;1.200;0.800;0.570;140;1.000;1005337.500;1005043;1005761;232.172;80.500;10;0.632;0.335;0.543;99.377
AC;1.200;0.800;0.570;110;1.000;1005224.500;1004982;1006036;307.784;64.000;10;0.562;0.478;0.537;99.366
AC;1.400;0.800;0.470;110;1.000;1005213.500;1004835;1005763;301.207;64.000;10;0.555;0.478;0.532;99.365
AC;1.200;0.500;0.570;110;1.000;1005190.000;1004732;1005453;191.515;61.000;10;0.541;0.504;0.530;99.363
AC;1.200;0.650;0.470;110;1.000;1005095.000;1004827;1005232;129.090;48.000;10;0.482;0.617;0.523;99.353
