Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;+;+;-;-;+;-;-;-;-;+;1005012.0
2;-;-;-;+;+;+;-;+;-;-;1004986.5
3;-;-;+;+;+;-;-;-;-;+;1004988.5
4;+;+;+;+;+;+;+;+;+;+;1004909.5
5;-;-;+;-;+;-;+;-;+;-;1004805.5
6;+;+;-;+;+;-;+;-;+;-;1004670.5
7;+;+;+;-;+;+;-;+;-;-;1004578.0
8;-;-;-;-;+;+;+;+;+;+;1004530.5
9;+;-;+;+;-;+;+;-;-;+;1004014.0
10;-;+;-;+;-;+;-;-;+;-;1004308.0
11;-;+;+;+;-;-;-;+;+;+;1004250.5
12;-;+;-;-;-;+;+;-;-;+;1004178.0
13;-;+;+;-;-;-;+;+;-;-;1004216.5
14;+;-;-;+;-;-;+;+;-;-;1003798.0
15;+;-;-;-;-;-;-;+;+;+;1003776.5
16;+;-;+;-;-;+;-;-;+;-;1003640.0
MW-;1004533.0;1004317.4375;1004407.5;1004342.125;1004022.6875;1004439.75;1004442.5;1004452.0625;1004471.4375;1004375.375;
MW+;1004299.8125;1004515.375;1004425.3125;1004490.6875;1004810.125;1004393.0625;1004390.3125;1004380.75;1004361.375;1004457.4375;
Effekt;-233.1875;197.9375;17.8125;148.5625;787.4375;-46.6875;-52.1875;-71.3125;-110.0625;82.0625;
