mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.500;1.000;0.300;60;1.000;1005213.000;1004777;1005555;283.788;29.500;10;1.000;0.717;0.915;99.365
AC;1.500;1.000;0.300;85;1.000;1005005.000;1004756;1005202;153.307;34.000;10;0.868;0.668;0.808;99.344
AC;1.500;1.000;0.700;35;1.000;1004878.000;1004705;1005536;349.134;19.500;10;0.787;0.824;0.798;99.332
AC;1.500;1.000;0.300;35;1.000;1005147.000;1004627;1005706;390.128;58.500;10;0.958;0.406;0.793;99.358
AC;2.000;1.500;0.300;35;1.000;1005012.000;1004229;1005768;462.005;46.000;10;0.872;0.540;0.773;99.345
AC;1.500;1.000;0.500;60;1.000;1004812.000;1004515;1005150;187.459;22.000;10;0.745;0.797;0.761;99.325
AC;1.500;1.000;0.700;60;1.000;1004979.000;1004461;1005632;367.981;45.500;10;0.851;0.545;0.760;99.342
AC;1.500;1.000;0.500;85;1.000;1004937.000;1004528;1005411;226.755;43.500;10;0.825;0.567;0.747;99.338
AC;2.000;1.500;0.500;60;1.000;1004957.500;1004482;1005338;294.603;46.500;10;0.838;0.535;0.747;99.340
AC;2.000;1.500;0.300;60;1.000;1004791.000;1004155;1005319;392.134;25.000;10;0.732;0.765;0.742;99.323
AC;1.000;0.500;0.300;85;1.000;1004986.500;1004723;1005183;147.727;52.500;10;0.856;0.471;0.740;99.343
AC;1.000;0.500;0.700;85;1.000;1004988.500;1004625;1005199;174.611;55.500;10;0.857;0.439;0.732;99.343
AC;1.000;1.000;0.500;60;1.000;1004850.000;1004498;1004964;180.609;38.000;10;0.769;0.626;0.726;99.329
AC;1.000;0.500;0.500;85;1.000;1004910.000;1004712;1005343;203.276;46.500;10;0.807;0.535;0.726;99.335
AC;1.500;1.000;0.700;85;1.000;1004793.500;1004596;1006029;440.981;32.000;10;0.733;0.690;0.720;99.323
AC;1.500;1.000;0.500;35;1.000;1004974.000;1004713;1005206;141.491;58.500;10;0.848;0.406;0.716;99.341
AC;2.000;1.500;0.700;60;1.000;1004760.500;1004297;1005226;260.861;29.500;10;0.712;0.717;0.714;99.320
AC;1.000;1.000;0.700;85;1.000;1004769.000;1004584;1005194;213.942;35.000;10;0.718;0.658;0.700;99.321
AC;1.000;0.500;0.300;60;1.000;1004932.000;1004552;1005239;203.480;60.000;10;0.821;0.390;0.692;99.337
AC;2.000;1.500;0.500;85;1.000;1004647.500;1004320;1005468;363.336;22.500;10;0.640;0.791;0.686;99.309
AC;1.000;1.000;0.500;85;1.000;1004704.500;1004430;1005196;221.992;34.500;10;0.677;0.663;0.673;99.315
AC;2.000;1.500;0.700;85;1.000;1004909.500;1004261;1006095;612.655;64.000;10;0.807;0.348;0.669;99.335
AC;1.000;0.500;0.700;35;1.000;1004805.500;1004357;1005322;318.225;51.500;10;0.741;0.481;0.663;99.325
AC;2.000;1.500;0.300;85;1.000;1004670.500;1004291;1005079;294.890;33.000;10;0.655;0.679;0.662;99.311
