Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;+;+;+;-;-;-;-;+;1004960.5
2;+;+;+;+;+;+;+;+;+;+;1004871.0
3;+;+;-;+;+;-;+;-;+;-;1004771.5
4;+;+;+;-;+;+;-;+;-;-;1004682.5
5;-;-;+;-;+;-;+;-;+;-;1004756.5
6;+;+;-;-;+;-;-;-;-;+;1004702.0
7;-;-;-;+;+;+;-;+;-;-;1004923.0
8;-;-;-;-;+;+;+;+;+;+;1004772.5
9;+;-;+;+;-;+;+;-;-;+;1004345.5
10;+;-;-;-;-;-;-;+;+;+;1004336.0
11;-;+;+;-;-;-;+;+;-;-;1004335.0
12;-;+;+;+;-;-;-;+;+;+;1004399.0
13;+;-;-;+;-;-;+;+;-;-;1004231.5
14;-;+;-;-;-;+;+;-;-;+;1004275.0
15;-;+;-;+;-;+;-;-;+;-;1004392.0
16;+;-;+;-;-;+;-;-;+;-;1004106.0
MW-;1004601.6875;1004553.9375;1004550.4375;1004495.6875;1004302.5;1004561.5;1004562.625;1004538.625;1004556.875;1004524.75;
MW+;1004505.75;1004553.5;1004557.0;1004611.75;1004804.9375;1004545.9375;1004544.8125;1004568.8125;1004550.5625;1004582.6875;
Effekt;-95.9375;-0.4375;6.5625;116.0625;502.4375;-15.5625;-17.8125;30.1875;-6.3125;57.9375;
