mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.500;1.000;0.400;50;1.000;1004985.000;1004538;1005252;270.967;17.000;10;0.958;0.872;0.932;99.342
AC;1.500;1.000;0.250;80;1.000;1005005.500;1004666;1005552;246.396;34.000;10;0.975;0.691;0.890;99.344
AC;1.500;1.000;0.400;80;1.000;1005034.000;1004676;1005338;223.914;60.500;10;1.000;0.410;0.823;99.347
AC;1.500;1.000;0.250;20;1.000;1004893.000;1004441;1005261;251.350;35.000;10;0.879;0.681;0.819;99.333
AC;1.500;1.000;0.100;80;1.000;1004987.500;1004850;1005392;173.271;53.000;10;0.960;0.489;0.819;99.343
AC;2.000;1.500;0.400;20;1.000;1004962.000;1004363;1005783;522.987;52.000;10;0.938;0.500;0.807;99.340
AC;1.500;1.000;0.250;50;1.000;1004915.500;1004526;1005206;233.763;46.000;10;0.898;0.564;0.798;99.335
AC;2.000;1.500;0.250;50;1.000;1004797.500;1004301;1005040;260.678;30.500;10;0.797;0.729;0.776;99.324
AC;2.000;1.500;0.400;50;1.000;1004768.000;1004170;1005322;318.903;28.500;10;0.771;0.750;0.765;99.321
AC;1.500;1.000;0.100;50;1.000;1004912.000;1004500;1005116;191.393;56.500;10;0.895;0.452;0.762;99.335
AC;2.000;1.500;0.100;80;1.000;1004879.500;1004243;1005816;461.682;62.500;10;0.867;0.388;0.723;99.332
AC;2.000;1.500;0.100;50;1.000;1004780.500;1004130;1005239;425.352;52.500;10;0.782;0.495;0.696;99.322
AC;1.000;1.000;0.400;80;1.000;1004690.000;1004502;1005189;202.605;38.500;10;0.704;0.644;0.686;99.313
AC;2.000;1.500;0.250;80;1.000;1004641.500;1004206;1004977;217.172;33.000;10;0.662;0.702;0.674;99.308
AC;1.500;1.500;0.400;80;1.000;1004750.000;1004324;1005334;256.140;54.500;10;0.756;0.473;0.671;99.319
