versuchsreihe;alpha;beta;evaporation;group_size;median_value;median_iteration;std_value;min_value;max_value
5;2.000;1.500;0.500;75;1004453.500;11.500;308.502;1004217;1005248
5;1.500;0.500;0.500;75;1004445.000;10.500;206.848;1004220;1004848
5;1.000;1.000;0.500;105;1004769.000;64.500;229.548;1004450;1005135
5;1.500;0.500;0.300;45;1004434.000;10.000;347.407;1004229;1005343
5;1.500;1.500;0.300;105;1004792.000;69.000;171.761;1004526;1005082
5;1.000;0.500;0.700;45;1004575.500;36.500;297.519;1004120;1004978
5;1.000;1.000;0.300;45;1004592.500;39.500;271.596;1004343;1005128
5;1.500;0.500;0.300;75;1004438.500;15.000;177.966;1004135;1004670
5;1.500;1.500;0.500;75;1004766.500;69.000;181.868;1004342;1004989
5;1.500;1.500;0.700;45;1004597.000;44.500;143.945;1004325;1004871
5;1.500;1.500;0.500;45;1004661.500;56.000;207.152;1004393;1005066
5;1.500;0.500;0.700;75;1004381.500;11.000;179.331;1003977;1004548
5;1.000;1.000;0.500;45;1004581.500;45.000;202.528;1004391;1004961
5;1.500;0.500;0.300;105;1004375.000;14.500;251.733;1004159;1004857
5;2.000;1.000;0.500;75;1004288.000;4.500;352.149;1003774;1004907
5;1.000;1.000;0.700;45;1004679.000;73.000;161.582;1004480;1005020
5;2.000;1.000;0.300;75;1004261.500;8.000;354.730;1003782;1005022
5;2.000;1.000;0.500;105;1004301.500;15.000;479.695;1003800;1005426
5;1.500;0.500;0.700;105;1004290.500;13.500;180.230;1004101;1004716
5;1.500;1.500;0.300;45;1004598.500;65.000;208.691;1004244;1004967
5;1.000;1.000;0.300;75;1004615.500;69.000;176.604;1004355;1004881
5;1.500;1.500;0.700;75;1004598.500;68.000;269.725;1004380;1005119
5;1.500;1.500;0.300;75;1004561.000;67.500;226.888;1004258;1005053
5;1.500;0.500;0.500;45;1004252.500;17.000;187.231;1004035;1004740
5;1.000;1.500;0.700;75;1004309.000;29.500;94.736;1004149;1004461
5;1.000;1.500;0.700;105;1004273.000;26.000;151.361;1004142;1004602
5;2.000;1.000;0.300;45;1004224.000;19.500;252.918;1003992;1004659
5;1.000;1.500;0.500;105;1004311.000;35.500;102.498;1004212;1004575
5;1.000;1.000;0.500;75;1004722.500;104.000;205.188;1004505;1005140
5;1.000;1.500;0.500;75;1004277.000;31.000;112.911;1004081;1004508
5;2.000;1.000;0.700;105;1004118.000;5.000;361.725;1003712;1004957
5;1.000;1.500;0.700;45;1004248.000;31.000;165.957;1004031;1004529
5;2.000;1.000;0.700;75;1004285.000;39.500;310.865;1003873;1004782
5;1.000;1.500;0.300;105;1004350.000;51.500;218.517;1004116;1004919
5;2.000;1.000;0.300;105;1004211.000;31.500;175.692;1003975;1004491
5;2.000;0.500;0.700;45;1004055.000;7.000;415.257;1003383;1004728
5;2.000;0.500;0.300;75;1004061.000;11.000;250.736;1003683;1004464
5;2.000;0.500;0.500;105;1004018.500;6.000;248.029;1003681;1004402
5;2.000;1.000;0.700;45;1004024.500;9.000;431.807;1003699;1004891
5;1.000;1.500;0.500;45;1004267.500;52.000;123.388;1004145;1004489
5;1.500;0.500;0.700;45;1004212.500;44.000;406.844;1003731;1005043
5;1.000;1.500;0.300;75;1004279.000;60.500;87.198;1004127;1004425
5;1.000;1.500;0.300;45;1004263.500;60.000;76.324;1004104;1004377
5;2.000;1.000;0.500;45;1004169.000;47.000;873.281;1003642;1005949
5;2.000;0.500;0.300;105;1003924.500;7.500;142.095;1003793;1004218
5;2.000;0.500;0.500;75;1003891.500;7.000;501.233;1003360;1004900
5;2.000;0.500;0.700;75;1003875.000;5.500;397.690;1003441;1004410
5;2.000;0.500;0.700;105;1003811.500;5.000;278.619;1003292;1004246
5;2.000;0.500;0.300;45;1003771.500;9.500;319.987;1003593;1004625
5;2.000;0.500;0.500;45;1003717.500;5.000;502.474;1003043;1004619
6;1.500;1.000;0.300;60;1005213.000;29.500;283.788;1004777;1005555
6;1.500;1.000;0.300;85;1005005.000;34.000;153.307;1004756;1005202
6;1.500;1.000;0.700;35;1004878.000;19.500;349.134;1004705;1005536
6;1.500;1.000;0.300;35;1005147.000;58.500;390.128;1004627;1005706
6;2.000;1.500;0.300;35;1005012.000;46.000;462.005;1004229;1005768
6;1.500;1.000;0.500;60;1004812.000;22.000;187.459;1004515;1005150
6;1.500;1.000;0.700;60;1004979.000;45.500;367.981;1004461;1005632
6;1.500;1.000;0.500;85;1004937.000;43.500;226.755;1004528;1005411
6;2.000;1.500;0.500;60;1004957.500;46.500;294.603;1004482;1005338
6;2.000;1.500;0.300;60;1004791.000;25.000;392.134;1004155;1005319
6;1.000;0.500;0.300;85;1004986.500;52.500;147.727;1004723;1005183
6;1.000;0.500;0.700;85;1004988.500;55.500;174.611;1004625;1005199
6;1.000;1.000;0.500;60;1004850.000;38.000;180.609;1004498;1004964
6;1.000;0.500;0.500;85;1004910.000;46.500;203.276;1004712;1005343
6;1.500;1.000;0.700;85;1004793.500;32.000;440.981;1004596;1006029
6;1.500;1.000;0.500;35;1004974.000;58.500;141.491;1004713;1005206
6;2.000;1.500;0.700;60;1004760.500;29.500;260.861;1004297;1005226
6;1.000;1.000;0.700;85;1004769.000;35.000;213.942;1004584;1005194
6;1.000;0.500;0.300;60;1004932.000;60.000;203.480;1004552;1005239
6;2.000;1.500;0.500;85;1004647.500;22.500;363.336;1004320;1005468
6;1.000;1.000;0.500;85;1004704.500;34.500;221.992;1004430;1005196
6;2.000;1.500;0.700;85;1004909.500;64.000;612.655;1004261;1006095
6;1.000;0.500;0.700;35;1004805.500;51.500;318.225;1004357;1005322
6;2.000;1.500;0.300;85;1004670.500;33.000;294.890;1004291;1005079
6;1.500;0.500;0.700;85;1004489.500;9.500;258.611;1004307;1005170
6;1.000;0.500;0.500;60;1004767.000;49.000;128.725;1004453;1004813
6;1.500;1.500;0.500;35;1004612.000;32.000;255.404;1004319;1005107
6;1.000;1.000;0.300;35;1004594.500;30.500;266.851;1004284;1005221
6;1.500;1.500;0.500;60;1004708.000;46.500;216.365;1004392;1005128
6;1.000;0.500;0.500;35;1004624.000;39.500;351.927;1004357;1005500
6;1.500;0.500;0.500;85;1004404.500;12.000;268.127;1003965;1004815
6;1.000;1.000;0.700;60;1004594.000;38.500;260.333;1004265;1005219
6;1.000;1.000;0.300;85;1004732.500;59.500;204.915;1004373;1005041
6;2.000;1.000;0.500;60;1004326.500;5.500;384.169;1003775;1005156
6;1.500;0.500;0.300;85;1004390.500;14.500;197.674;1004132;1004748
6;1.500;1.500;0.700;35;1004468.000;25.500;202.823;1004192;1004796
6;1.000;1.000;0.500;35;1004574.000;41.000;170.473;1004276;1004807
6;2.000;1.000;0.300;60;1004348.000;10.000;414.397;1003875;1005207
6;1.000;0.500;0.700;60;1004801.000;74.500;175.823;1004620;1005203
6;1.500;1.500;0.700;60;1004540.500;38.500;131.449;1004347;1004695
6;1.500;1.500;0.300;85;1004600.000;47.500;147.378;1004458;1004901
6;1.500;0.500;0.300;35;1004343.500;12.000;284.433;1003967;1004854
6;1.500;1.500;0.500;85;1004724.500;68.500;176.211;1004384;1004884
6;2.000;1.500;0.500;35;1004591.000;51.000;356.839;1003680;1004932
6;1.500;0.500;0.500;60;1004316.000;15.000;312.470;1004053;1004925
6;1.500;0.500;0.300;60;1004382.000;24.500;367.236;1004137;1005397
6;1.000;1.000;0.300;60;1004720.500;72.500;236.623;1004335;1005089
6;2.000;0.500;0.500;60;1004248.000;8.000;395.711;1003392;1004718
6;1.500;1.500;0.700;85;1004576.500;59.000;190.641;1004199;1004873
6;1.500;0.500;0.500;35;1004280.000;19.500;344.366;1003841;1004857
6;1.500;0.500;0.700;60;1004258.000;17.500;229.653;1004077;1004871
6;2.000;1.500;0.700;35;1004578.000;62.000;462.943;1004173;1005812
6;1.000;1.500;0.500;85;1004282.500;23.000;70.458;1004148;1004339
6;1.500;0.500;0.700;35;1004200.000;12.500;302.193;1003641;1004768
6;2.000;1.000;0.300;35;1004456.500;48.500;455.173;1003811;1005304
6;2.000;1.000;0.700;35;1004159.000;8.000;238.831;1003898;1004597
6;2.000;1.000;0.500;85;1004117.000;3.000;364.981;1003627;1004836
6;2.000;1.000;0.300;85;1004141.000;6.500;387.209;1003639;1004697
6;2.000;1.000;0.700;60;1004248.500;21.500;404.088;1003773;1005087
6;1.500;1.500;0.300;60;1004528.000;60.500;171.683;1004319;1004893
6;1.000;1.500;0.700;60;1004269.500;26.500;202.997;1004042;1004627
6;1.000;0.500;0.300;35;1004530.500;65.500;195.392;1004252;1004813
6;1.000;1.500;0.500;60;1004241.000;27.000;183.927;1004044;1004753
6;2.000;0.500;0.500;85;1004081.500;5.000;460.551;1003216;1004775
6;2.000;1.000;0.700;85;1004253.000;31.000;408.817;1003620;1004730
6;2.000;0.500;0.700;85;1004014.000;4.500;372.081;1003467;1004515
6;1.000;1.500;0.300;85;1004308.000;49.500;155.585;1004111;1004589
6;1.500;1.500;0.300;35;1004432.500;67.500;144.089;1004126;1004583
6;1.000;1.500;0.700;85;1004250.500;44.500;110.762;1004183;1004531
6;2.000;1.000;0.500;35;1003981.500;8.000;303.743;1003684;1004741
6;1.000;1.500;0.500;35;1004168.500;37.000;169.201;1003971;1004498
6;1.000;1.500;0.300;35;1004178.000;43.500;180.682;1003943;1004484
6;2.000;0.500;0.700;60;1003880.500;4.000;425.009;1003285;1004790
6;1.000;1.500;0.300;60;1004255.500;59.500;124.178;1004102;1004452
6;2.000;0.500;0.500;35;1003856.500;9.500;371.225;1003445;1004428
6;1.000;1.000;0.700;35;1004478.500;96.500;232.951;1004292;1005008
6;1.000;1.500;0.700;35;1004216.500;60.500;170.195;1004020;1004660
6;2.000;0.500;0.300;85;1003798.000;6.000;343.915;1003519;1004571
6;2.000;0.500;0.300;35;1003776.500;5.500;262.119;1003353;1004180
6;2.000;0.500;0.300;60;1003699.000;6.000;305.472;1003456;1004355
6;2.000;0.500;0.700;35;1003640.000;9.500;506.145;1003074;1004689
7;1.500;1.000;0.600;60;1005145.500;50.000;321.456;1004676;1005553
7;1.500;1.000;0.600;85;1004915.500;21.000;231.065;1004584;1005375
7;1.500;1.000;0.400;85;1004950.500;28.500;126.142;1004798;1005232
7;1.500;1.000;0.200;85;1005042.500;54.500;204.111;1004734;1005323
7;1.500;1.000;0.400;60;1004887.500;31.500;232.339;1004532;1005284
7;1.500;1.000;0.200;60;1004928.000;43.000;228.336;1004627;1005249
7;1.100;0.600;0.400;35;1004988.000;55.500;363.858;1004334;1005708
7;1.500;1.400;0.600;85;1004905.500;42.500;143.602;1004665;1005140
7;1.100;0.600;0.600;85;1004960.500;52.000;157.037;1004742;1005240
7;1.100;0.600;0.400;85;1004844.000;35.000;152.867;1004624;1005089
7;1.900;1.400;0.600;85;1004871.000;39.500;335.506;1004553;1005745
7;1.900;1.400;0.200;85;1004771.500;24.000;301.981;1004396;1005334
7;1.100;1.000;0.400;85;1004872.000;43.000;271.199;1004427;1005355
7;1.500;1.000;0.600;35;1004866.500;42.500;306.433;1004159;1005269
7;1.500;1.000;0.200;35;1004802.000;33.000;172.721;1004634;1005130
7;1.500;1.400;0.200;85;1004892.500;52.500;235.502;1004477;1005231
7;1.500;0.600;0.200;85;1004626.000;9.500;401.555;1004281;1005655
7;1.900;1.400;0.400;35;1004852.000;46.500;333.918;1004184;1005448
7;1.900;1.400;0.600;35;1004682.500;19.000;384.099;1004198;1005557
7;1.100;0.600;0.600;60;1004847.500;47.500;316.675;1004512;1005640
7;1.900;1.000;0.600;35;1004731.500;29.500;597.083;1003759;1005745
7;1.100;0.600;0.600;35;1004756.500;35.000;293.414;1004576;1005417
7;1.500;1.400;0.400;85;1004741.000;36.500;160.390;1004577;1005107
7;1.100;0.600;0.400;60;1004899.500;64.000;262.904;1004698;1005587
7;1.100;1.000;0.600;85;1004812.000;52.500;163.547;1004530;1004980
7;1.100;1.000;0.600;60;1004793.000;49.500;219.255;1004554;1005369
7;1.900;1.400;0.200;35;1004702.000;35.000;341.101;1004289;1005364
7;1.900;1.400;0.400;60;1004807.500;52.500;235.253;1004674;1005480
7;1.500;1.000;0.400;35;1004850.500;62.000;286.701;1004334;1005378
7;1.100;0.600;0.200;85;1004923.000;74.500;245.356;1004692;1005426
7;1.500;0.600;0.400;85;1004504.500;9.000;413.494;1003960;1005471
7;1.500;1.400;0.200;35;1004737.000;47.000;227.545;1004377;1005205
7;1.900;1.400;0.400;85;1004746.500;51.000;352.367;1004513;1005724
7;1.900;1.400;0.200;60;1004601.000;27.500;120.928;1004420;1004768
7;1.100;1.000;0.200;85;1004815.000;63.000;271.112;1004487;1005468
7;1.500;0.600;0.400;60;1004620.000;31.500;364.445;1004088;1005358
7;1.100;0.600;0.200;60;1004813.000;64.500;182.992;1004612;1005152
7;1.100;1.000;0.200;60;1004747.500;54.000;207.129;1004606;1005311
7;1.100;1.000;0.400;60;1004690.500;48.500;247.001;1004465;1005156
7;1.500;1.400;0.600;60;1004553.000;29.000;262.748;1004428;1005278
7;1.500;0.600;0.400;35;1004545.000;28.500;632.185;1003689;1005905
7;1.500;1.400;0.200;60;1004695.500;53.500;176.695;1004358;1004897
7;1.100;0.600;0.200;35;1004772.500;68.000;314.817;1004303;1005359
7;1.900;0.600;0.200;60;1004488.500;22.500;436.982;1003567;1004810
7;1.900;1.000;0.400;35;1004470.500;21.500;573.063;1003609;1005140
7;1.500;0.600;0.200;60;1004412.500;16.000;511.993;1004073;1005506
7;1.500;1.400;0.400;60;1004735.000;69.000;402.208;1004195;1005418
7;1.100;1.000;0.400;35;1004640.000;55.000;184.750;1004334;1004943
7;1.500;1.400;0.400;35;1004545.500;40.500;127.260;1004403;1004785
7;1.100;1.000;0.200;35;1004601.000;50.000;200.281;1004401;1005018
7;1.900;0.600;0.600;85;1004345.500;8.500;217.869;1003924;1004693
7;1.900;1.000;0.200;60;1004477.500;33.500;549.031;1003816;1005630
7;1.900;0.600;0.400;85;1004326.000;9.000;364.660;1003655;1004935
7;1.900;0.600;0.200;35;1004336.000;15.000;363.176;1003733;1005040
7;1.900;0.600;0.600;60;1004275.000;7.000;245.555;1004086;1004755
7;1.100;1.000;0.600;35;1004737.500;82.500;282.953;1004338;1005308
7;1.900;1.400;0.600;60;1004532.500;51.000;208.285;1004269;1004996
7;1.900;1.000;0.200;85;1004290.000;11.500;472.340;1003717;1005276
7;1.100;1.400;0.400;85;1004463.500;40.500;133.267;1004261;1004698
7;1.500;1.400;0.600;35;1004497.500;48.500;236.287;1004250;1005006
7;1.100;1.400;0.200;60;1004337.000;22.500;114.284;1004191;1004515
7;1.900;1.000;0.400;85;1004534.000;55.000;454.534;1003959;1005341
7;1.500;0.600;0.600;85;1004227.500;7.000;226.413;1003808;1004554
7;1.500;0.600;0.200;35;1004285.500;17.000;365.702;1003830;1004845
7;1.900;0.600;0.400;60;1004204.000;7.000;312.345;1003869;1004792
7;1.500;0.600;0.600;60;1004381.000;36.500;519.595;1004048;1005646
7;1.100;1.400;0.600;35;1004335.000;29.000;149.924;1004177;1004598
7;1.100;1.400;0.600;85;1004399.000;39.500;118.410;1004249;1004611
7;1.900;1.000;0.200;35;1004351.000;33.500;302.472;1004213;1005167
7;1.500;0.600;0.600;35;1004229.500;14.000;502.574;1003621;1005295
7;1.900;0.600;0.200;85;1004231.500;18.500;248.445;1003774;1004545
7;1.900;1.000;0.400;60;1004148.500;7.500;207.026;1003836;1004464
7;1.100;1.400;0.200;35;1004275.000;33.500;140.724;1004080;1004522
7;1.900;1.000;0.600;60;1004336.000;44.500;376.422;1004076;1005148
7;1.100;1.400;0.200;85;1004392.000;56.000;133.274;1004162;1004571
7;1.100;1.400;0.600;60;1004346.500;57.000;256.216;1004091;1005025
7;1.900;1.000;0.600;85;1004137.500;26.000;249.716;1003913;1004678
7;1.100;1.400;0.400;35;1004332.500;58.000;152.726;1004157;1004604
7;1.900;0.600;0.600;35;1004106.000;24.000;270.780;1003732;1004585
7;1.100;1.400;0.400;60;1004371.000;67.500;152.696;1004199;1004705
7;1.900;0.600;0.400;35;1004066.000;20.500;391.874;1003688;1004958
8;1.800;1.000;0.600;95;1005414.500;54.500;787.307;1003917;1006451
8;1.800;1.000;0.400;95;1005350.500;56.500;469.316;1004621;1005987
8;1.800;1.000;0.600;45;1005131.000;53.000;706.959;1003865;1005872
8;1.400;0.600;0.400;70;1005069.000;47.500;438.820;1004353;1005444
8;1.800;1.400;0.200;70;1004834.000;22.500;247.122;1004221;1005071
8;1.400;1.000;0.400;70;1005046.000;58.000;240.476;1004750;1005593
8;1.400;1.000;0.400;45;1005032.500;56.000;244.592;1004522;1005367
8;1.800;1.000;0.400;70;1004900.500;39.000;621.472;1003910;1006144
8;1.000;0.600;0.400;95;1004897.500;39.000;243.989;1004668;1005415
8;1.400;0.600;0.600;95;1004817.000;27.500;530.582;1004301;1005813
8;1.400;0.600;0.600;70;1005183.500;84.500;611.453;1004188;1006252
8;1.800;1.400;0.200;45;1004855.500;34.500;268.960;1004415;1005114
8;1.800;1.000;0.200;70;1005041.000;68.000;550.934;1004023;1005628
8;1.400;1.000;0.600;70;1004840.500;39.500;241.547;1004563;1005387
8;1.400;1.400;0.600;95;1004874.000;45.000;274.912;1004383;1005191
8;1.400;1.000;0.200;95;1004903.000;50.000;169.609;1004768;1005261
8;1.400;1.000;0.400;95;1004966.000;61.000;418.831;1004692;1006133
8;1.400;1.000;0.600;95;1004705.500;22.500;326.769;1004599;1005566
8;1.000;0.600;0.200;70;1004851.000;46.500;167.725;1004428;1004998
8;1.400;0.600;0.200;45;1004670.000;19.000;481.165;1003916;1005340
8;1.000;1.000;0.600;95;1004818.000;44.500;207.117;1004411;1005125
8;1.400;1.000;0.600;45;1004680.500;25.000;343.274;1004160;1005416
8;1.000;1.000;0.400;70;1004761.000;38.500;262.183;1004522;1005398
8;1.400;0.600;0.400;95;1004923.000;65.500;713.753;1004280;1006252
8;1.800;1.400;0.400;95;1004687.500;30.500;262.948;1004273;1005136
8;1.800;1.400;0.400;45;1004664.500;27.000;307.041;1004245;1005154
8;1.000;1.000;0.200;45;1004671.500;28.500;372.554;1004281;1005644
8;1.000;0.600;0.200;95;1004932.000;71.500;305.557;1004628;1005505
8;1.000;0.600;0.400;45;1004807.000;52.500;170.421;1004511;1005124
8;1.000;1.000;0.200;95;1004669.500;32.000;230.947;1004502;1005164
8;1.400;1.400;0.600;70;1004680.500;34.500;124.523;1004485;1004949
8;1.400;1.000;0.200;70;1004870.000;63.500;177.130;1004631;1005125
8;1.000;1.000;0.600;70;1004756.500;48.500;152.483;1004365;1004908
8;1.000;1.000;0.200;70;1004697.000;39.500;347.965;1004346;1005596
8;1.000;0.600;0.200;45;1004734.000;45.500;173.776;1004501;1005039
8;1.000;0.600;0.600;95;1005012.000;88.000;231.029;1004479;1005187
8;1.000;0.600;0.600;70;1004854.500;64.500;316.039;1004674;1005753
8;1.400;0.600;0.200;95;1004901.500;72.000;424.385;1004196;1005305
8;1.400;1.400;0.400;70;1004810.000;58.500;186.826;1004503;1005089
8;1.800;1.400;0.200;95;1004678.000;39.000;171.330;1004365;1004903
8;1.800;1.000;0.200;45;1004667.500;38.500;526.202;1003973;1005473
8;1.000;1.000;0.600;45;1004620.000;32.500;207.264;1004231;1004963
8;1.400;1.400;0.400;95;1004698.500;45.000;281.312;1004402;1005332
8;1.800;1.400;0.400;70;1004713.000;47.500;339.009;1004322;1005332
8;1.000;0.600;0.600;45;1004688.500;45.000;222.324;1004363;1005161
8;1.800;1.000;0.200;95;1004624.000;37.500;461.606;1004017;1005311
8;1.800;1.000;0.400;45;1004635.000;40.000;569.330;1004221;1005621
8;1.800;1.400;0.600;95;1004619.500;38.000;232.426;1004349;1005147
8;1.400;1.400;0.200;70;1004609.500;36.500;283.265;1004394;1005252
8;1.800;0.600;0.200;45;1004463.000;14.500;113.427;1004269;1004603
8;1.400;1.400;0.200;95;1004593.000;35.000;150.786;1004252;1004777
8;1.400;1.400;0.400;45;1004528.500;25.500;164.125;1004296;1004811
8;1.400;0.600;0.200;70;1004685.500;51.000;593.847;1004194;1006251
8;1.800;0.600;0.400;95;1004371.500;6.500;209.480;1004052;1004760
8;1.800;0.600;0.400;70;1004435.000;16.500;254.999;1004114;1004834
8;1.800;0.600;0.200;95;1004405.500;13.500;250.675;1003974;1004781
8;1.800;0.600;0.600;95;1004389.000;11.000;355.648;1003678;1004901
8;1.000;1.000;0.400;45;1004651.000;51.500;265.355;1004444;1005296
8;1.800;1.400;0.600;70;1004667.000;54.500;230.149;1004497;1005125
8;1.000;0.600;0.400;70;1004740.500;66.500;132.605;1004595;1004930
8;1.800;0.600;0.200;70;1004383.500;15.500;211.182;1004197;1004835
8;1.400;0.600;0.600;45;1004525.000;42.000;445.494;1003975;1005333
8;1.800;1.400;0.600;45;1004402.000;23.500;157.915;1004115;1004660
8;1.000;1.000;0.400;95;1004753.000;79.500;209.784;1004513;1005204
8;1.000;1.400;0.600;70;1004369.500;21.500;91.009;1004225;1004482
8;1.000;1.400;0.200;95;1004567.000;52.000;160.987;1004279;1004695
8;1.400;1.400;0.600;45;1004635.000;62.500;224.163;1004150;1004893
8;1.400;1.000;0.200;45;1004543.500;50.000;385.570;1004471;1005553
8;1.800;0.600;0.600;45;1004250.000;10.500;281.455;1003819;1004707
8;1.800;1.000;0.600;70;1004537.000;55.500;397.696;1004087;1005340
8;1.400;1.400;0.200;45;1004473.500;47.000;162.378;1004390;1004884
8;1.000;1.400;0.600;95;1004282.000;24.500;76.071;1004179;1004409
8;1.800;0.600;0.600;70;1004235.000;18.500;272.074;1003946;1004838
8;1.000;1.400;0.400;70;1004341.000;39.000;197.795;1004094;1004737
8;1.800;0.600;0.400;45;1004247.000;26.000;308.944;1003614;1004676
8;1.000;1.400;0.600;45;1004303.000;38.500;208.768;1004065;1004758
8;1.400;0.600;0.400;45;1004511.500;79.500;655.120;1003962;1005654
8;1.000;1.400;0.400;45;1004285.000;46.000;140.389;1004118;1004618
8;1.000;1.400;0.200;70;1004357.500;59.500;166.268;1004187;1004669
8;1.000;1.400;0.400;95;1004332.500;56.500;184.327;1004251;1004727
8;1.000;1.400;0.200;45;1004169.500;56.500;190.621;1004115;1004651
9;1.400;0.600;0.500;60;1005188.000;31.500;498.695;1004193;1005499
9;1.400;0.600;0.500;85;1005366.000;67.500;733.322;1003951;1006178
9;1.800;1.000;0.500;85;1005417.000;80.500;821.774;1004181;1006359
9;1.400;0.600;0.700;60;1005176.000;43.000;497.291;1003782;1005480
9;1.400;0.600;0.300;110;1005187.000;50.000;657.105;1004429;1006879
9;1.400;0.600;0.500;110;1004970.000;26.500;638.676;1004362;1006592
9;1.400;1.000;0.500;85;1004942.000;23.000;164.670;1004687;1005180
9;1.400;1.000;0.700;110;1005026.000;38.000;302.989;1004588;1005641
9;1.400;0.600;0.700;85;1005002.500;45.500;536.913;1004407;1006006
9;1.000;0.600;0.700;85;1005001.500;48.000;326.647;1004562;1005624
9;1.000;0.600;0.700;110;1004856.000;27.500;169.670;1004644;1005190
9;1.400;1.000;0.500;110;1004832.500;24.000;288.422;1004636;1005583
9;1.400;1.000;0.700;60;1004938.000;44.500;364.512;1004502;1005838
9;1.000;0.600;0.300;60;1004915.000;40.500;305.472;1004566;1005568
9;1.000;0.600;0.500;85;1005006.500;59.000;200.076;1004527;1005233
9;1.800;1.000;0.300;110;1004919.000;46.000;490.061;1003976;1005969
9;1.400;1.400;0.700;110;1004810.500;27.500;159.471;1004423;1004960
9;1.400;1.000;0.500;60;1004857.500;36.000;206.406;1004600;1005250
9;1.400;1.400;0.700;85;1004822.500;30.000;218.611;1004420;1005130
9;1.400;0.600;0.300;85;1004993.500;62.500;455.948;1004263;1005707
9;1.800;1.000;0.300;85;1004990.000;62.500;684.392;1003750;1006399
9;1.000;0.600;0.300;110;1004946.500;60.500;229.445;1004686;1005394
9;1.800;1.000;0.700;60;1004861.500;49.000;758.655;1003844;1006062
9;1.800;1.000;0.700;110;1004974.500;69.000;443.497;1004496;1006147
9;1.800;1.400;0.300;85;1004640.000;11.500;196.538;1004481;1005042
9;1.400;1.000;0.300;110;1005068.000;87.000;169.210;1004780;1005412
9;1.000;1.000;0.300;60;1004700.000;24.000;220.970;1004215;1004890
9;1.400;0.600;0.700;110;1004814.000;45.500;427.959;1004128;1005792
9;1.400;1.000;0.300;85;1004865.500;56.000;260.124;1004583;1005409
9;1.400;1.400;0.500;85;1004782.000;44.000;161.921;1004546;1005083
9;1.000;1.000;0.500;110;1004716.000;37.000;74.572;1004627;1004904
9;1.000;1.000;0.500;85;1004816.000;55.500;246.768;1004386;1005177
9;1.800;1.000;0.500;60;1004755.500;45.000;652.644;1003884;1005713
9;1.000;0.600;0.500;60;1004817.000;58.000;298.255;1004593;1005466
9;1.800;1.400;0.700;110;1004572.000;15.500;279.757;1004389;1005382
9;1.000;0.600;0.500;110;1004867.500;67.500;282.301;1004469;1005479
9;1.400;1.000;0.700;85;1004686.000;36.000;301.592;1004488;1005393
9;1.000;0.600;0.300;85;1004889.500;72.000;239.842;1004526;1005215
9;1.800;1.400;0.700;85;1004577.500;17.500;217.092;1004205;1004839
9;1.000;0.600;0.700;60;1004661.500;33.000;297.276;1004525;1005310
9;1.000;1.000;0.700;110;1004727.000;45.000;160.365;1004365;1004849
9;1.800;1.400;0.500;85;1004637.500;30.000;214.472;1004360;1005031
9;1.800;1.400;0.500;110;1004656.500;35.500;146.108;1004359;1004846
9;1.800;1.000;0.700;85;1004675.500;39.000;550.497;1003711;1005324
9;1.000;1.000;0.300;85;1004718.000;46.500;230.657;1004451;1005266
9;1.800;1.400;0.500;60;1004647.500;34.500;402.298;1004294;1005731
9;1.400;1.400;0.300;60;1004791.000;60.000;193.182;1004445;1005032
9;1.800;1.400;0.300;60;1004695.500;44.500;217.087;1004420;1005220
9;1.800;0.600;0.300;110;1004553.000;20.000;236.970;1004085;1004881
9;1.000;1.000;0.300;110;1004598.000;28.000;202.518;1004433;1005024
9;1.400;1.400;0.300;110;1004560.000;22.000;229.304;1004404;1004991
9;1.400;1.000;0.300;60;1004761.500;65.000;172.872;1004592;1005091
9;1.400;1.400;0.500;60;1004813.500;75.500;256.891;1004406;1005192
9;1.000;1.000;0.700;60;1004790.000;71.500;201.002;1004618;1005246
9;1.800;0.600;0.300;85;1004435.500;12.000;252.293;1004060;1004909
9;1.400;1.400;0.300;85;1004586.500;40.500;249.259;1004396;1005040
9;1.800;1.400;0.700;60;1004423.500;15.500;480.964;1004249;1005649
9;1.800;0.600;0.500;85;1004386.500;10.000;177.801;1003962;1004545
9;1.000;1.400;0.700;110;1004528.000;35.000;149.234;1004295;1004694
9;1.000;1.000;0.500;60;1004753.000;77.000;243.165;1004317;1005001
9;1.800;1.000;0.500;110;1004584.000;49.000;530.830;1003779;1005212
9;1.800;0.600;0.700;110;1004352.000;9.000;155.706;1004161;1004627
9;1.400;1.400;0.500;110;1004687.500;68.500;262.667;1004525;1005457
9;1.000;1.000;0.700;85;1004686.500;72.000;155.899;1004411;1004908
9;1.400;1.400;0.700;60;1004584.500;56.000;190.842;1004413;1004987
9;1.800;0.600;0.500;60;1004316.000;9.500;186.242;1004104;1004718
9;1.800;1.400;0.300;110;1004562.000;57.000;224.033;1004336;1005155
9;1.400;0.600;0.300;60;1004852.500;109.000;666.486;1004063;1006435
9;1.800;0.600;0.500;110;1004288.500;11.000;196.017;1004050;1004735
9;1.800;0.600;0.700;85;1004281.500;11.500;236.244;1003995;1004848
9;1.000;1.400;0.300;85;1004317.500;19.500;114.704;1004081;1004446
9;1.800;0.600;0.700;60;1004226.500;15.000;294.695;1003749;1004747
9;1.000;1.400;0.500;60;1004340.000;35.000;146.133;1004148;1004657
9;1.800;0.600;0.300;60;1004251.000;20.500;293.972;1003933;1004869
