versuchsreihe;alpha;beta;evaporation;group_size;median_value;median_iteration;std_value;min_value;max_value
2;1.500;1.000;0.400;80;1005034.000;60.500;223.914;1004676;1005338
2;1.500;1.000;0.250;20;1004893.000;35.000;251.350;1004441;1005261
2;1.500;1.000;0.100;80;1004987.500;53.000;173.271;1004850;1005392
2;2.000;1.500;0.400;20;1004962.000;52.000;522.987;1004363;1005783
2;1.500;1.000;0.250;50;1004915.500;46.000;233.763;1004526;1005206
2;2.000;1.500;0.250;50;1004797.500;30.500;260.678;1004301;1005040
2;2.000;1.500;0.400;50;1004768.000;28.500;318.903;1004170;1005322
2;1.500;1.000;0.100;50;1004912.000;56.500;191.393;1004500;1005116
2;2.000;1.500;0.100;80;1004879.500;62.500;461.682;1004243;1005816
2;2.000;1.500;0.100;50;1004780.500;52.500;425.352;1004130;1005239
2;1.000;1.000;0.400;80;1004690.000;38.500;202.605;1004502;1005189
2;2.000;1.500;0.250;80;1004641.500;33.000;217.172;1004206;1004977
2;1.500;1.500;0.400;80;1004750.000;54.500;256.140;1004324;1005334
2;1.000;1.000;0.100;80;1004618.500;32.000;190.615;1004358;1004988
2;1.500;1.000;0.100;20;1004787.000;65.500;204.658;1004436;1004971
2;2.000;1.500;0.400;80;1004606.500;36.500;331.956;1004250;1005287
2;1.000;1.000;0.250;80;1004685.500;53.000;188.726;1004524;1005088
2;1.000;1.000;0.250;20;1004584.500;35.000;199.674;1004330;1004835
2;2.000;1.500;0.250;20;1004633.500;45.000;305.101;1004187;1005128
2;1.500;1.000;0.400;20;1004625.500;43.500;552.092;1004265;1005876
2;1.000;1.000;0.100;50;1004559.500;32.000;187.608;1004225;1004862
2;2.000;2.000;0.400;80;1004549.000;34.500;263.130;1004287;1005136
2;2.000;1.000;0.250;20;1004427.500;13.000;471.557;1003539;1005227
2;1.000;1.000;0.400;50;1004623.500;50.000;181.954;1004447;1005013
2;2.000;2.000;0.250;50;1004548.500;36.000;269.764;1004162;1005009
2;1.000;1.000;0.250;50;1004599.000;54.000;105.380;1004445;1004777
2;1.500;1.500;0.400;20;1004494.000;36.500;243.574;1004012;1004845
2;1.500;1.500;0.250;50;1004604.500;62.000;181.341;1004380;1004906
2;1.500;1.500;0.250;20;1004419.500;28.500;296.716;1004156;1005123
2;1.000;1.000;0.400;20;1004451.500;37.500;170.505;1004182;1004682
2;2.000;2.000;0.250;80;1004501.000;47.500;227.079;1004202;1004940
2;1.500;1.500;0.100;80;1004362.500;22.500;200.636;1004273;1004884
2;2.000;1.000;0.100;80;1004240.000;5.000;360.027;1003844;1005047
2;1.500;1.500;0.250;80;1004584.500;71.500;193.417;1004403;1005040
2;2.000;2.000;0.100;80;1004385.500;38.000;122.984;1004185;1004606
2;2.000;1.500;0.100;20;1004705.000;99.000;256.380;1004279;1005020
2;2.000;2.000;0.100;50;1004433.000;50.500;156.202;1004164;1004606
2;2.000;1.000;0.100;50;1004256.500;18.000;805.887;1003650;1006440
2;2.000;1.000;0.400;50;1004246.500;16.500;573.344;1003747;1005455
2;2.000;1.000;0.400;20;1004187.500;7.500;596.193;1003537;1005343
2;1.000;1.500;0.400;50;1004362.500;41.000;152.954;1004186;1004598
2;1.500;1.500;0.400;50;1004480.500;67.000;229.755;1004180;1004957
2;1.000;1.500;0.250;50;1004277.000;29.000;114.631;1004101;1004433
2;2.000;1.000;0.250;50;1004472.500;66.500;511.269;1003820;1005202
2;1.500;1.500;0.100;20;1004297.500;35.000;213.649;1004216;1004863
