mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;1.000;2.500;0.100;10;0.500;96.000;95;98;1.225;21.000;5;0.139;0.581;0.272
EAS;1.000;2.500;0.100;30;0.200;102.000;100;105;1.871;38.000;5;0.306;0.186;0.270
EAS;1.500;4.000;0.300;10;0.200;94.000;91;95;1.871;16.000;5;0.083;0.698;0.268
EAS;1.500;4.000;0.300;20;0.500;95.000;94;98;1.517;19.000;5;0.111;0.628;0.266
AC;1.000;4.000;0.100;20;0.800;91.000;91;91;0.000;8.000;5;0.000;0.884;0.265
AC;1.000;2.500;0.100;10;0.800;103.000;96;105;3.647;42.000;5;0.333;0.093;0.261
EAS;1.500;4.000;0.100;30;0.200;95.000;94;100;2.387;20.000;5;0.111;0.605;0.259
EAS;1.000;4.000;0.100;30;0.200;91.000;91;95;2.191;9.000;5;0.000;0.860;0.258
EAS;1.000;4.000;0.100;10;0.200;91.000;91;91;0.000;9.000;5;0.000;0.860;0.258
EAS;2.000;4.000;0.300;10;0.500;101.000;99;107;3.162;37.000;5;0.278;0.209;0.257
EAS;1.000;2.500;0.300;10;0.200;98.000;95;104;3.782;29.000;5;0.194;0.395;0.255
EAS;1.500;4.000;0.500;30;0.200;98.000;95;102;2.950;29.000;5;0.194;0.395;0.255
EAS;1.500;4.000;0.100;10;1.000;95.000;92;104;4.764;21.000;5;0.111;0.581;0.252
EAS;1.000;4.000;0.100;20;0.200;91.000;91;95;2.191;10.000;5;0.000;0.837;0.251
EAS;1.000;4.000;0.300;20;0.200;91.000;91;95;1.789;10.000;5;0.000;0.837;0.251
EAS;1.000;4.000;0.300;20;1.000;91.000;91;95;2.191;10.000;5;0.000;0.837;0.251
AC;1.000;4.000;0.500;20;0.800;91.000;91;95;2.191;10.000;5;0.000;0.837;0.251
EAS;1.000;4.000;0.500;10;0.500;95.000;91;95;1.949;22.000;5;0.111;0.558;0.245
AC;1.500;4.000;0.100;10;0.800;95.000;91;101;3.578;22.000;5;0.111;0.558;0.245
EAS;1.000;4.000;0.300;10;0.500;91.000;91;95;1.789;11.000;5;0.000;0.814;0.244
EAS;1.000;4.000;0.300;20;0.500;91.000;91;95;1.732;11.000;5;0.000;0.814;0.244
EAS;1.000;4.000;0.300;10;1.000;91.000;91;93;0.894;11.000;5;0.000;0.814;0.244
EAS;1.000;4.000;0.500;10;0.200;92.000;91;95;1.817;14.000;5;0.028;0.744;0.243
EAS;1.500;4.000;0.100;20;0.500;95.000;94;104;4.278;23.000;5;0.111;0.535;0.238
EAS;1.500;4.000;0.300;20;1.000;95.000;93;98;1.789;23.000;5;0.111;0.535;0.238
EAS;1.000;2.500;0.300;10;1.000;98.000;95;101;2.510;32.000;5;0.194;0.326;0.234
EAS;1.000;2.500;0.100;30;0.500;99.000;96;110;5.413;35.000;5;0.222;0.256;0.232
EAS;1.000;2.500;0.500;20;0.200;99.000;98;105;3.050;35.000;5;0.222;0.256;0.232
EAS;1.000;2.500;0.300;30;0.200;100.000;98;105;3.114;38.000;5;0.250;0.186;0.231
EAS;1.500;4.000;0.100;10;0.200;95.000;91;98;2.775;25.000;5;0.111;0.488;0.224
AC;2.000;4.000;0.100;10;0.800;95.000;95;99;1.789;25.000;5;0.111;0.488;0.224
EAS;1.000;4.000;0.300;10;0.200;91.000;91;95;1.789;14.000;5;0.000;0.744;0.223
AC;1.000;4.000;0.500;10;0.800;93.000;91;95;1.789;20.000;5;0.056;0.605;0.220
AC;2.000;4.000;0.500;30;0.800;99.000;98;105;2.915;37.000;5;0.222;0.209;0.218
EAS;1.000;4.000;0.100;30;1.000;95.000;91;95;2.000;26.000;4;0.111;0.465;0.217
EAS;1.000;2.500;0.500;10;0.200;100.000;98;104;2.408;40.000;5;0.250;0.140;0.217
EAS;2.000;4.000;0.100;10;0.200;96.000;95;100;2.588;29.000;5;0.139;0.395;0.216
EAS;1.000;4.000;0.300;30;0.200;93.000;91;95;2.309;21.000;4;0.056;0.581;0.213
AC;1.000;4.000;0.300;10;0.800;91.000;91;94;1.342;17.000;5;0.000;0.674;0.202
EAS;1.000;2.500;0.100;10;0.200;98.000;95;107;4.615;37.000;5;0.194;0.209;0.199
AC;1.000;2.500;0.100;30;0.800;99.000;99;104;2.302;40.000;5;0.222;0.140;0.197
EAS;1.500;4.000;0.500;30;1.000;95.000;95;100;2.236;29.000;5;0.111;0.395;0.196
EAS;1.500;4.000;0.100;20;0.200;95.000;94;100;2.510;29.000;5;0.111;0.395;0.196
EAS;1.000;4.000;0.500;30;0.200;95.000;94;95;0.548;29.000;5;0.111;0.395;0.196
EAS;1.500;4.000;0.500;20;0.500;95.000;94;97;1.095;30.000;5;0.111;0.372;0.189
EAS;1.000;4.000;0.100;10;0.500;91.000;91;95;1.789;19.000;5;0.000;0.628;0.188
EAS;1.000;4.000;0.500;30;0.500;95.000;91;98;3.507;31.000;5;0.111;0.349;0.182
AC;1.000;4.000;0.100;10;0.800;91.000;91;91;0.000;20.000;5;0.000;0.605;0.181
EAS;1.000;4.000;0.300;30;1.000;95.000;91;95;1.732;32.000;5;0.111;0.326;0.175
EAS;1.500;4.000;0.100;10;0.500;95.000;95;95;0.000;32.000;5;0.111;0.326;0.175
EAS;1.000;4.000;0.500;30;1.000;95.000;91;95;1.949;32.000;5;0.111;0.326;0.175
EAS;1.000;4.000;0.100;10;1.000;91.000;91;95;1.949;21.000;5;0.000;0.581;0.174
EAS;1.500;4.000;0.100;20;1.000;95.000;94;101;3.240;33.000;5;0.111;0.302;0.168
EAS;1.500;4.000;0.300;10;0.500;95.000;93;99;2.588;33.000;5;0.111;0.302;0.168
EAS;1.500;4.000;0.500;10;0.500;95.000;92;99;2.490;35.000;5;0.111;0.256;0.155
AC;1.500;4.000;0.300;10;0.800;95.000;92;105;6.042;35.000;5;0.111;0.256;0.155
AC;1.500;4.000;0.100;30;0.800;95.000;95;95;0.000;37.000;5;0.111;0.209;0.141
EAS;1.500;4.000;0.500;10;1.000;95.000;95;96;0.447;39.000;5;0.111;0.163;0.127
EAS;1.000;4.000;0.500;20;0.500;92.000;91;95;2.049;35.000;5;0.028;0.256;0.096
EAS;1.000;4.000;0.500;20;0.200;92.000;91;94;1.517;37.000;5;0.028;0.209;0.082
