mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;1.500;1.000;0.300;10;0.200;124.000;121;125;1.517;18.000;5;0.917;0.651;0.837
EAS;1.500;1.000;0.100;20;0.200;123.000;123;127;1.732;16.000;5;0.889;0.698;0.832
EAS;1.500;1.000;0.300;30;1.000;124.000;124;125;0.447;19.000;5;0.917;0.628;0.830
EAS;1.500;1.000;0.500;10;0.500;124.000;121;124;1.304;20.000;5;0.917;0.605;0.823
EAS;2.000;1.000;0.300;10;0.200;124.000;122;124;0.894;20.000;5;0.917;0.605;0.823
AC;1.500;1.000;0.300;10;0.800;122.000;121;124;1.140;15.000;5;0.861;0.721;0.819
EAS;1.500;1.000;0.100;10;0.200;124.000;119;127;2.881;22.000;5;0.917;0.558;0.809
EAS;1.500;1.000;0.100;20;0.500;124.000;123;127;1.517;22.000;5;0.917;0.558;0.809
EAS;1.500;1.000;0.300;10;0.500;124.000;122;124;0.894;22.000;5;0.917;0.558;0.809
AC;1.500;1.000;0.100;10;0.800;123.000;121;124;1.140;21.000;5;0.889;0.581;0.797
EAS;1.500;1.000;0.100;10;1.000;124.000;122;124;0.894;24.000;5;0.917;0.512;0.795
AC;1.000;1.000;0.500;30;0.800;120.000;118;121;1.517;13.000;5;0.806;0.767;0.794
EAS;1.500;1.000;0.300;20;0.200;124.000;123;124;0.548;25.000;5;0.917;0.488;0.788
EAS;1.000;1.000;0.300;20;1.000;120.000;118;120;0.894;14.000;5;0.806;0.744;0.787
EAS;1.000;1.000;0.500;30;0.200;121.000;118;123;1.924;17.000;5;0.833;0.674;0.786
EAS;2.000;1.000;0.500;10;0.200;124.000;122;127;1.871;26.000;5;0.917;0.465;0.781
AC;1.500;1.000;0.100;20;0.800;124.000;122;124;0.894;26.000;5;0.917;0.465;0.781
EAS;1.500;1.000;0.100;30;0.200;124.000;122;124;0.894;26.000;5;0.917;0.465;0.781
EAS;1.000;1.000;0.500;20;0.500;120.000;119;122;1.304;15.000;5;0.806;0.721;0.780
AC;1.000;1.000;0.300;30;0.800;121.000;117;123;2.449;18.000;5;0.833;0.651;0.779
EAS;1.000;1.000;0.300;30;0.200;120.000;118;122;1.483;16.000;5;0.806;0.698;0.773
EAS;1.500;1.000;0.100;10;0.500;124.000;122;124;0.894;28.000;5;0.917;0.419;0.767
EAS;1.500;1.000;0.300;10;1.000;122.000;122;124;1.095;23.000;5;0.861;0.535;0.763
EAS;1.500;1.000;0.100;20;1.000;124.000;123;124;0.447;29.000;5;0.917;0.395;0.760
EAS;1.500;1.000;0.500;10;1.000;124.000;121;124;1.643;29.000;5;0.917;0.395;0.760
EAS;1.000;1.000;0.500;10;1.000;121.000;118;124;2.236;21.000;5;0.833;0.581;0.758
AC;1.500;1.000;0.100;30;0.800;124.000;124;124;0.000;30.000;5;0.917;0.372;0.753
EAS;2.000;2.500;0.300;20;1.000;116.000;114;118;1.483;8.000;5;0.694;0.884;0.751
EAS;1.000;1.000;0.500;20;0.200;120.000;118;122;1.581;20.000;5;0.806;0.605;0.745
AC;1.000;1.000;0.300;20;0.800;118.000;118;122;1.789;15.000;5;0.750;0.721;0.741
EAS;1.000;1.000;0.500;30;0.500;118.000;117;120;1.342;15.000;5;0.750;0.721;0.741
