mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.000;0.600;0.600;45;1.000;1004688.500;1004363;1005161;222.324;45.000;10;0.417;0.528;0.450;99.313
AC;1.800;1.000;0.200;95;1.000;1004624.000;1004017;1005311;461.606;37.500;10;0.365;0.620;0.441;99.307
AC;1.800;1.000;0.400;45;1.000;1004635.000;1004221;1005621;569.330;40.000;10;0.374;0.589;0.438;99.308
AC;1.800;1.400;0.600;95;1.000;1004619.500;1004349;1005147;232.426;38.000;10;0.361;0.613;0.437;99.306
AC;1.400;1.400;0.200;70;1.000;1004609.500;1004394;1005252;283.265;36.500;10;0.353;0.632;0.437;99.305
AC;1.800;0.600;0.200;45;1.000;1004463.000;1004269;1004603;113.427;14.500;10;0.236;0.902;0.436;99.291
AC;1.400;1.400;0.200;95;1.000;1004593.000;1004252;1004777;150.786;35.000;10;0.340;0.650;0.433;99.304
AC;1.400;1.400;0.400;45;1.000;1004528.500;1004296;1004811;164.125;25.500;10;0.288;0.767;0.432;99.297
AC;1.400;0.600;0.200;70;1.000;1004685.500;1004194;1006251;593.847;51.000;10;0.414;0.454;0.426;99.313
AC;1.800;0.600;0.400;95;1.000;1004371.500;1004052;1004760;209.480;6.500;10;0.162;1.000;0.414;99.282
AC;1.800;0.600;0.400;70;1.000;1004435.000;1004114;1004834;254.999;16.500;10;0.213;0.877;0.412;99.288
AC;1.800;0.600;0.200;95;1.000;1004405.500;1003974;1004781;250.675;13.500;10;0.190;0.914;0.407;99.285
AC;1.800;0.600;0.600;95;1.000;1004389.000;1003678;1004901;355.648;11.000;10;0.176;0.945;0.407;99.283
AC;1.000;1.000;0.400;45;1.000;1004651.000;1004444;1005296;265.355;51.500;10;0.387;0.448;0.405;99.309
AC;1.800;1.400;0.600;70;1.000;1004667.000;1004497;1005125;230.149;54.500;10;0.400;0.411;0.403;99.311
AC;1.000;0.600;0.400;70;1.000;1004740.500;1004595;1004930;132.605;66.500;10;0.459;0.264;0.400;99.318
AC;1.800;0.600;0.200;70;1.000;1004383.500;1004197;1004835;211.182;15.500;10;0.172;0.890;0.387;99.283
AC;1.400;0.600;0.600;45;1.000;1004525.000;1003975;1005333;445.494;42.000;10;0.286;0.564;0.369;99.297
AC;1.800;1.400;0.600;45;1.000;1004402.000;1004115;1004660;157.915;23.500;10;0.187;0.791;0.368;99.285
AC;1.000;1.000;0.400;95;1.000;1004753.000;1004513;1005204;209.784;79.500;10;0.469;0.104;0.359;99.319
AC;1.000;1.400;0.600;70;1.000;1004369.500;1004225;1004482;91.009;21.500;10;0.161;0.816;0.357;99.282
AC;1.000;1.400;0.200;95;1.000;1004567.000;1004279;1004695;160.987;52.000;10;0.319;0.442;0.356;99.301
AC;1.400;1.400;0.600;45;1.000;1004635.000;1004150;1004893;224.163;62.500;10;0.374;0.313;0.356;99.308
AC;1.400;1.000;0.200;45;1.000;1004543.500;1004471;1005553;385.570;50.000;10;0.300;0.466;0.350;99.299
AC;1.800;0.600;0.600;45;1.000;1004250.000;1003819;1004707;281.455;10.500;10;0.065;0.951;0.331;99.270
AC;1.800;1.000;0.600;70;1.000;1004537.000;1004087;1005340;397.696;55.500;10;0.295;0.399;0.326;99.298
AC;1.400;1.400;0.200;45;1.000;1004473.500;1004390;1004884;162.378;47.000;10;0.244;0.503;0.322;99.292
AC;1.000;1.400;0.600;95;1.000;1004282.000;1004179;1004409;76.071;24.500;10;0.090;0.779;0.297;99.273
AC;1.800;0.600;0.600;70;1.000;1004235.000;1003946;1004838;272.074;18.500;10;0.053;0.853;0.293;99.268
AC;1.000;1.400;0.400;70;1.000;1004341.000;1004094;1004737;197.795;39.000;10;0.138;0.601;0.277;99.279
AC;1.800;0.600;0.400;45;1.000;1004247.000;1003614;1004676;308.944;26.000;10;0.062;0.761;0.272;99.269
AC;1.000;1.400;0.600;45;1.000;1004303.000;1004065;1004758;208.768;38.500;10;0.107;0.607;0.257;99.275
AC;1.400;0.600;0.400;45;1.000;1004511.500;1003962;1005654;655.120;79.500;10;0.275;0.104;0.224;99.296
AC;1.000;1.400;0.400;45;1.000;1004285.000;1004118;1004618;140.389;46.000;10;0.093;0.515;0.220;99.273
AC;1.000;1.400;0.200;70;1.000;1004357.500;1004187;1004669;166.268;59.500;10;0.151;0.350;0.211;99.280
AC;1.000;1.400;0.400;95;1.000;1004332.500;1004251;1004727;184.327;56.500;10;0.131;0.387;0.208;99.278
AC;1.000;1.400;0.200;45;1.000;1004169.500;1004115;1004651;190.621;56.500;10;0.000;0.387;0.116;99.262
