mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;0.750;10.000;0.300;50;0.500;1006780.000;1006232;1007301;429.363;25.000;7;0.414;0.894;0.558;99.520
EAS;0.500;10.000;0.800;20;0.500;1006872.000;1006093;1007058;327.993;35.000;7;0.432;0.840;0.554;99.529
AC;0.750;10.000;0.500;20;1.000;1007095.000;1006338;1007355;336.996;55.000;7;0.475;0.734;0.553;99.551
EAS;0.250;10.000;0.500;100;0.200;1006652.000;1006105;1006781;295.694;17.000;7;0.388;0.936;0.553;99.507
EAS;0.750;10.000;0.500;100;1.000;1006787.000;1006149;1006909;262.016;29.000;7;0.415;0.872;0.552;99.520
AC;1.000;10.000;0.300;20;1.000;1008396.000;1007408;1008990;577.038;169.000;7;0.731;0.128;0.550;99.680
AC;1.000;10.000;0.800;20;1.000;1006656.000;1005984;1007463;535.896;19.000;7;0.389;0.926;0.550;99.508
EAS;0.750;10.000;0.300;20;0.500;1006754.000;1006171;1007004;306.204;28.000;7;0.408;0.878;0.549;99.517
EAS;1.000;10.000;0.800;20;0.500;1006830.000;1006200;1007636;637.473;35.000;7;0.423;0.840;0.548;99.525
EAS;1.000;5.000;0.500;100;1.000;1008015.000;1007842;1008124;94.116;138.000;7;0.656;0.293;0.547;99.642
EAS;0.750;10.000;0.800;20;1.000;1006710.000;1006253;1006883;231.563;26.000;7;0.400;0.888;0.546;99.513
EAS;1.000;10.000;0.500;20;0.500;1007037.000;1006411;1007835;617.938;55.000;7;0.464;0.734;0.545;99.545
EAS;0.750;10.000;0.800;100;1.000;1006913.000;1006751;1007115;124.575;45.000;7;0.440;0.787;0.544;99.533
EAS;0.750;10.000;0.500;20;0.500;1006765.000;1006513;1006879;135.329;35.000;7;0.411;0.840;0.540;99.518
EAS;0.750;10.000;0.300;100;1.000;1006620.000;1006365;1007313;325.703;25.000;7;0.382;0.894;0.536;99.504
EAS;1.000;5.000;0.300;100;0.200;1007880.000;1007616;1008219;198.972;134.000;7;0.630;0.314;0.535;99.629
EAS;0.500;10.000;0.300;100;0.200;1006526.000;1006285;1006872;192.729;18.000;7;0.364;0.931;0.534;99.495
EAS;1.000;5.000;0.300;100;1.000;1007883.000;1006141;1008074;684.057;136.000;7;0.630;0.303;0.532;99.629
EAS;0.750;10.000;0.800;100;0.500;1006862.000;1006639;1007312;258.084;48.000;7;0.430;0.771;0.532;99.528
EAS;1.000;5.000;0.800;50;0.200;1007103.000;1006651;1007878;466.749;70.000;7;0.477;0.654;0.530;99.552
EAS;0.500;10.000;0.300;100;1.000;1006565.000;1006134;1007034;298.089;24.000;7;0.371;0.899;0.530;99.499
EAS;0.750;10.000;0.500;50;0.500;1006555.000;1006179;1006740;207.592;24.000;7;0.369;0.899;0.528;99.498
AC;1.000;5.000;0.500;50;1.000;1007877.000;1007749;1007946;78.234;138.000;7;0.629;0.293;0.528;99.628
EAS;0.750;10.000;0.500;100;0.200;1006696.000;1006501;1007158;226.775;38.000;7;0.397;0.824;0.525;99.511
EAS;0.750;10.000;0.300;100;0.500;1006590.000;1006226;1006825;251.759;29.000;7;0.376;0.872;0.525;99.501
AC;0.750;10.000;0.500;50;1.000;1006948.000;1006606;1007181;192.572;60.000;7;0.447;0.707;0.525;99.536
EAS;0.500;10.000;0.500;50;1.000;1006541.000;1005913;1006863;312.168;25.000;7;0.367;0.894;0.525;99.496
AC;0.750;10.000;0.300;100;1.000;1006816.000;1006436;1007057;249.732;49.000;7;0.421;0.766;0.524;99.523
EAS;0.500;10.000;0.800;50;1.000;1006595.000;1006243;1006688;175.539;30.000;7;0.377;0.867;0.524;99.502
EAS;1.000;5.000;0.300;50;0.200;1007722.000;1007020;1007956;347.032;128.000;7;0.599;0.346;0.523;99.613
AC;0.500;10.000;0.800;100;1.000;1006711.000;1006431;1006769;124.414;42.000;7;0.400;0.803;0.521;99.513
