mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.400;0.600;0.500;60;1.000;1005188.000;1004193;1005499;498.695;31.500;10;0.827;0.775;0.812;99.362
AC;1.400;0.600;0.500;85;1.000;1005366.000;1003951;1006178;733.322;67.500;10;0.962;0.415;0.798;99.380
AC;1.800;1.000;0.500;85;1.000;1005417.000;1004181;1006359;821.774;80.500;10;1.000;0.285;0.785;99.385
AC;1.400;0.600;0.700;60;1.000;1005176.000;1003782;1005480;497.291;43.000;10;0.818;0.660;0.771;99.361
AC;1.400;0.600;0.300;110;1.000;1005187.000;1004429;1006879;657.105;50.000;10;0.827;0.590;0.756;99.362
AC;1.400;0.600;0.500;110;1.000;1004970.000;1004362;1006592;638.676;26.500;10;0.663;0.825;0.712;99.341
AC;1.400;1.000;0.500;85;1.000;1004942.000;1004687;1005180;164.670;23.000;10;0.642;0.860;0.707;99.338
AC;1.400;1.000;0.700;110;1.000;1005026.000;1004588;1005641;302.989;38.000;10;0.705;0.710;0.707;99.346
AC;1.400;0.600;0.700;85;1.000;1005002.500;1004407;1006006;536.913;45.500;10;0.687;0.635;0.672;99.344
AC;1.000;0.600;0.700;85;1.000;1005001.500;1004562;1005624;326.647;48.000;10;0.687;0.610;0.664;99.344
AC;1.000;0.600;0.700;110;1.000;1004856.000;1004644;1005190;169.670;27.500;10;0.577;0.815;0.648;99.330
AC;1.400;1.000;0.500;110;1.000;1004832.500;1004636;1005583;288.422;24.000;10;0.559;0.850;0.646;99.327
AC;1.400;1.000;0.700;60;1.000;1004938.000;1004502;1005838;364.512;44.500;10;0.639;0.645;0.641;99.338
AC;1.000;0.600;0.300;60;1.000;1004915.000;1004566;1005568;305.472;40.500;10;0.621;0.685;0.640;99.335
AC;1.000;0.600;0.500;85;1.000;1005006.500;1004527;1005233;200.076;59.000;10;0.690;0.500;0.633;99.344
AC;1.800;1.000;0.300;110;1.000;1004919.000;1003976;1005969;490.061;46.000;10;0.624;0.630;0.626;99.336
AC;1.400;1.400;0.700;110;1.000;1004810.500;1004423;1004960;159.471;27.500;10;0.543;0.815;0.624;99.325
AC;1.400;1.000;0.500;60;1.000;1004857.500;1004600;1005250;206.406;36.000;10;0.578;0.730;0.624;99.330
AC;1.400;1.400;0.700;85;1.000;1004822.500;1004420;1005130;218.611;30.000;10;0.552;0.790;0.623;99.326
AC;1.400;0.600;0.300;85;1.000;1004993.500;1004263;1005707;455.948;62.500;10;0.681;0.465;0.616;99.343
AC;1.800;1.000;0.300;85;1.000;1004990.000;1003750;1006399;684.392;62.500;10;0.678;0.465;0.614;99.343
AC;1.000;0.600;0.300;110;1.000;1004946.500;1004686;1005394;229.445;60.500;10;0.645;0.485;0.597;99.339
AC;1.800;1.000;0.700;60;1.000;1004861.500;1003844;1006062;758.655;49.000;10;0.581;0.600;0.587;99.330
AC;1.800;1.000;0.700;110;1.000;1004974.500;1004496;1006147;443.497;69.000;10;0.666;0.400;0.586;99.341
AC;1.800;1.400;0.300;85;1.000;1004640.000;1004481;1005042;196.538;11.500;10;0.414;0.975;0.582;99.308
AC;1.400;1.000;0.300;110;1.000;1005068.000;1004780;1005412;169.210;87.000;10;0.737;0.220;0.582;99.351
AC;1.000;1.000;0.300;60;1.000;1004700.000;1004215;1004890;220.970;24.000;10;0.459;0.850;0.576;99.314
AC;1.400;0.600;0.700;110;1.000;1004814.000;1004128;1005792;427.959;45.500;10;0.545;0.635;0.572;99.325
AC;1.400;1.000;0.300;85;1.000;1004865.500;1004583;1005409;260.124;56.000;10;0.584;0.530;0.568;99.331
AC;1.400;1.400;0.500;85;1.000;1004782.000;1004546;1005083;161.921;44.000;10;0.521;0.650;0.560;99.322
AC;1.000;1.000;0.500;110;1.000;1004716.000;1004627;1004904;74.572;37.000;10;0.471;0.720;0.546;99.316
AC;1.000;1.000;0.500;85;1.000;1004816.000;1004386;1005177;246.768;55.500;10;0.547;0.535;0.543;99.326
AC;1.800;1.000;0.500;60;1.000;1004755.500;1003884;1005713;652.644;45.000;10;0.501;0.640;0.543;99.320
AC;1.000;0.600;0.500;60;1.000;1004817.000;1004593;1005466;298.255;58.000;10;0.548;0.510;0.536;99.326
AC;1.800;1.400;0.700;110;1.000;1004572.000;1004389;1005382;279.757;15.500;10;0.363;0.935;0.534;99.302
AC;1.000;0.600;0.500;110;1.000;1004867.500;1004469;1005479;282.301;67.500;10;0.586;0.415;0.534;99.331
