Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;+;+;+;-;-;-;-;+;1004856.0
2;-;-;-;-;+;+;+;+;+;+;1004915.0
3;-;-;-;+;+;+;-;+;-;-;1004946.5
4;+;+;+;+;+;+;+;+;+;+;1004572.0
5;-;-;+;-;+;-;+;-;+;-;1004661.5
6;+;+;-;-;+;-;-;-;-;+;1004695.5
7;+;-;-;+;-;-;+;+;-;-;1004553.0
8;+;+;+;-;+;+;-;+;-;-;1004423.5
9;-;+;+;+;-;-;-;+;+;+;1004528.0
10;+;-;+;+;-;+;+;-;-;+;1004352.0
11;+;+;-;+;+;-;+;-;+;-;1004562.0
12;+;-;+;-;-;+;-;-;+;-;1004226.5
13;+;-;-;-;-;-;-;+;+;+;1004251.0
14;-;+;+;-;-;-;+;+;-;-;1004313.5
15;-;+;-;+;-;+;-;-;+;-;1004294.0
16;-;+;-;-;-;+;+;-;-;+;1004300.5
MW-;1004601.875;1004595.1875;1004564.6875;1004473.375;1004352.3125;1004552.5625;1004527.625;1004493.5;1004555.0625;1004497.5625;
MW+;1004454.4375;1004461.125;1004491.625;1004582.9375;1004704.0;1004503.75;1004528.6875;1004562.8125;1004501.25;1004558.75;
Effekt;-147.4375;-134.0625;-73.0625;109.5625;351.6875;-48.8125;1.0625;69.3125;-53.8125;61.1875;
