mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;0.5;0.3;45;1.0;1005154;49
AC;1.0;0.5;0.3;45;1.0;1004573;38
AC;1.0;0.5;0.3;45;1.0;1004281;12
AC;1.0;0.5;0.3;45;1.0;1005212;70
AC;1.0;0.5;0.3;45;1.0;1005100;79
AC;1.0;0.5;0.3;45;1.0;1004762;73
AC;1.0;0.5;0.3;45;1.0;1004677;79
AC;1.0;0.5;0.3;45;1.0;1005061;143
AC;1.0;0.5;0.3;45;1.0;1004621;68
AC;1.0;0.5;0.3;45;1.0;1005936;93
AC;1.0;0.5;0.3;75;1.0;1005024;31
AC;1.0;0.5;0.3;75;1.0;1005006;44
AC;1.0;0.5;0.3;75;1.0;1004704;121
AC;1.0;0.5;0.3;75;1.0;1005118;106
AC;1.0;0.5;0.3;75;1.0;1005014;105
AC;1.0;0.5;0.3;75;1.0;1005199;29
AC;1.0;0.5;0.3;75;1.0;1004625;29
AC;1.0;0.5;0.3;75;1.0;1004969;125
AC;1.0;0.5;0.3;75;1.0;1005120;8
AC;1.0;0.5;0.3;75;1.0;1004879;117
AC;1.0;0.5;0.3;105;1.0;1004508;22
AC;1.0;0.5;0.3;105;1.0;1004546;10
AC;1.0;0.5;0.3;105;1.0;1004818;65
AC;1.0;0.5;0.3;105;1.0;1004759;46
AC;1.0;0.5;0.3;105;1.0;1005849;4
AC;1.0;0.5;0.3;105;1.0;1004748;33
AC;1.0;0.5;0.3;105;1.0;1004652;102
AC;1.0;0.5;0.5;45;1.0;1005198;8
AC;1.0;0.5;0.3;105;1.0;1004923;136
AC;1.0;0.5;0.5;45;1.0;1004643;27
AC;1.0;0.5;0.5;45;1.0;1004639;34
AC;1.0;0.5;0.5;45;1.0;1004755;90
AC;1.0;0.5;0.5;45;1.0;1005037;11
AC;1.0;0.5;0.3;105;1.0;1005028;62
AC;1.0;0.5;0.5;45;1.0;1004793;6
AC;1.0;0.5;0.3;105;1.0;1005020;97
AC;1.0;0.5;0.5;45;1.0;1005499;88
AC;1.0;0.5;0.5;45;1.0;1004644;59
AC;1.0;0.5;0.5;45;1.0;1005331;119
AC;1.0;0.5;0.5;45;1.0;1005119;70
AC;1.0;0.5;0.5;75;1.0;1004696;6
AC;1.0;0.5;0.5;75;1.0;1004968;55
AC;1.0;0.5;0.5;75;1.0;1005058;31
AC;1.0;0.5;0.5;75;1.0;1005077;19
AC;1.0;0.5;0.5;75;1.0;1004677;99
AC;1.0;0.5;0.5;75;1.0;1005176;72
AC;1.0;0.5;0.5;75;1.0;1004486;14
AC;1.0;0.5;0.5;75;1.0;1004545;54
AC;1.0;0.5;0.5;75;1.0;1004896;28
AC;1.0;0.5;0.5;75;1.0;1004737;178
AC;1.0;0.5;0.5;105;1.0;1005188;41
AC;1.0;0.5;0.5;105;1.0;1005192;73
AC;1.0;0.5;0.5;105;1.0;1004687;74
AC;1.0;0.5;0.5;105;1.0;1005115;91
AC;1.0;0.5;0.5;105;1.0;1005106;73
AC;1.0;0.5;0.5;105;1.0;1004892;72
AC;1.0;0.5;0.5;105;1.0;1005141;64
AC;1.0;0.5;0.7;45;1.0;1004120;15
AC;1.0;0.5;0.5;105;1.0;1005035;50
AC;1.0;0.5;0.7;45;1.0;1004404;32
AC;1.0;0.5;0.5;105;1.0;1004761;56
AC;1.0;0.5;0.7;45;1.0;1004387;41
AC;1.0;0.5;0.7;45;1.0;1004812;24
AC;1.0;0.5;0.7;45;1.0;1004364;84
AC;1.0;0.5;0.7;45;1.0;1004695;128
AC;1.0;0.5;0.7;45;1.0;1004978;148
AC;1.0;0.5;0.7;45;1.0;1004456;18
AC;1.0;0.5;0.7;45;1.0;1004889;25
AC;1.0;0.5;0.7;45;1.0;1004955;73
AC;1.0;0.5;0.5;105;1.0;1004769;125
AC;1.0;0.5;0.7;75;1.0;1005149;60
AC;1.0;0.5;0.7;75;1.0;1005185;41
AC;1.0;0.5;0.7;75;1.0;1005100;60
AC;1.0;0.5;0.7;75;1.0;1004987;94
AC;1.0;0.5;0.7;75;1.0;1004666;8
AC;1.0;0.5;0.7;75;1.0;1005252;105
AC;1.0;0.5;0.7;75;1.0;1005092;35
AC;1.0;0.5;0.7;75;1.0;1004628;118
AC;1.0;0.5;0.7;75;1.0;1004777;69
AC;1.0;0.5;0.7;75;1.0;1004949;102
AC;1.0;0.5;0.7;105;1.0;1004727;16
AC;1.0;0.5;0.7;105;1.0;1005039;15
AC;1.0;0.5;0.7;105;1.0;1005052;83
AC;1.0;0.5;0.7;105;1.0;1004864;29
AC;1.0;0.5;0.7;105;1.0;1004541;16
AC;1.0;0.5;0.7;105;1.0;1004706;30
AC;1.0;1.0;0.3;45;1.0;1004597;15
AC;1.0;0.5;0.7;105;1.0;1004949;61
AC;1.0;1.0;0.3;45;1.0;1004549;30
AC;1.0;1.0;0.3;45;1.0;1004343;67
AC;1.0;1.0;0.3;45;1.0;1004464;100
AC;1.0;1.0;0.3;45;1.0;1004728;38
AC;1.0;1.0;0.3;45;1.0;1004447;41
AC;1.0;0.5;0.7;105;1.0;1004840;62
AC;1.0;1.0;0.3;45;1.0;1005039;20
AC;1.0;0.5;0.7;105;1.0;1005430;184
AC;1.0;1.0;0.3;45;1.0;1005128;123
AC;1.0;0.5;0.7;105;1.0;1005041;123
AC;1.0;1.0;0.3;45;1.0;1004588;38
AC;1.0;1.0;0.3;45;1.0;1004972;83
AC;1.0;1.0;0.3;75;1.0;1004579;74
AC;1.0;1.0;0.3;75;1.0;1004465;61
AC;1.0;1.0;0.3;75;1.0;1004734;58
AC;1.0;1.0;0.3;75;1.0;1004451;86
AC;1.0;1.0;0.3;75;1.0;1004355;20
AC;1.0;1.0;0.3;75;1.0;1004743;71
AC;1.0;1.0;0.3;75;1.0;1004881;83
AC;1.0;1.0;0.3;75;1.0;1004652;67
AC;1.0;1.0;0.3;75;1.0;1004368;16
AC;1.0;1.0;0.3;75;1.0;1004682;116
AC;1.0;1.0;0.3;105;1.0;1004754;5
AC;1.0;1.0;0.3;105;1.0;1004950;101
AC;1.0;1.0;0.3;105;1.0;1004933;38
AC;1.0;1.0;0.3;105;1.0;1004614;101
AC;1.0;1.0;0.3;105;1.0;1005127;198
AC;1.0;1.0;0.3;105;1.0;1004723;65
AC;1.0;1.0;0.5;45;1.0;1004563;45
AC;1.0;1.0;0.5;45;1.0;1004575;42
AC;1.0;1.0;0.3;105;1.0;1004673;10
AC;1.0;1.0;0.3;105;1.0;1005018;114
AC;1.0;1.0;0.5;45;1.0;1004504;18
AC;1.0;1.0;0.5;45;1.0;1004961;50
AC;1.0;1.0;0.3;105;1.0;1004911;63
AC;1.0;1.0;0.3;105;1.0;1005295;62
AC;1.0;1.0;0.5;45;1.0;1004852;46
AC;1.0;1.0;0.5;45;1.0;1004424;30
AC;1.0;1.0;0.5;45;1.0;1004588;45
AC;1.0;1.0;0.5;45;1.0;1004923;34
AC;1.0;1.0;0.5;45;1.0;1004391;134
AC;1.0;1.0;0.5;75;1.0;1004735;14
AC;1.0;1.0;0.5;45;1.0;1004607;77
AC;1.0;1.0;0.5;75;1.0;1004505;19
AC;1.0;1.0;0.5;75;1.0;1004957;103
AC;1.0;1.0;0.5;75;1.0;1004641;105
AC;1.0;1.0;0.5;75;1.0;1004595;21
AC;1.0;1.0;0.5;75;1.0;1004927;88
AC;1.0;1.0;0.5;75;1.0;1005140;142
AC;1.0;1.0;0.5;75;1.0;1004762;112
AC;1.0;1.0;0.5;75;1.0;1004710;147
AC;1.0;1.0;0.5;75;1.0;1004516;188
AC;1.0;1.0;0.5;105;1.0;1004988;20
AC;1.0;1.0;0.5;105;1.0;1004450;23
AC;1.0;1.0;0.5;105;1.0;1004486;35
AC;1.0;1.0;0.5;105;1.0;1005135;99
AC;1.0;1.0;0.5;105;1.0;1004715;29
AC;1.0;1.0;0.5;105;1.0;1004807;55
AC;1.0;1.0;0.7;45;1.0;1004751;102
AC;1.0;1.0;0.5;105;1.0;1005059;74
AC;1.0;1.0;0.7;45;1.0;1004540;48
AC;1.0;1.0;0.5;105;1.0;1004751;80
AC;1.0;1.0;0.5;105;1.0;1004787;101
AC;1.0;1.0;0.7;45;1.0;1004805;72
AC;1.0;1.0;0.7;45;1.0;1004480;58
AC;1.0;1.0;0.5;105;1.0;1004619;97
AC;1.0;1.0;0.7;45;1.0;1004617;16
AC;1.0;1.0;0.7;45;1.0;1004562;74
AC;1.0;1.0;0.7;45;1.0;1005020;46
AC;1.0;1.0;0.7;45;1.0;1004580;82
AC;1.0;1.0;0.7;45;1.0;1004741;83
AC;1.0;1.0;0.7;45;1.0;1004769;102
AC;1.0;1.0;0.7;75;1.0;1004591;49
AC;1.0;1.0;0.7;75;1.0;1005228;28
AC;1.0;1.0;0.7;75;1.0;1004703;23
AC;1.0;1.0;0.7;75;1.0;1004678;39
AC;1.0;1.0;0.7;75;1.0;1004376;9
AC;1.0;1.0;0.7;75;1.0;1004665;27
AC;1.0;1.0;0.7;75;1.0;1005118;35
AC;1.0;1.0;0.7;75;1.0;1004763;6
AC;1.0;1.0;0.7;75;1.0;1004710;86
AC;1.0;1.0;0.7;75;1.0;1004727;57
AC;1.0;1.0;0.7;105;1.0;1004750;18
AC;1.0;1.0;0.7;105;1.0;1004543;20
AC;1.0;1.0;0.7;105;1.0;1004831;22
AC;1.0;1.0;0.7;105;1.0;1005142;62
AC;1.0;1.0;0.7;105;1.0;1004467;50
AC;1.0;1.0;0.7;105;1.0;1004559;4
AC;1.0;1.0;0.7;105;1.0;1004793;6
AC;1.0;1.0;0.7;105;1.0;1004643;40
AC;1.0;1.0;0.7;105;1.0;1004646;22
AC;1.0;1.5;0.3;45;1.0;1004310;60
AC;1.0;1.5;0.3;45;1.0;1004286;60
AC;1.0;1.5;0.3;45;1.0;1004224;74
AC;1.0;1.5;0.3;45;1.0;1004334;138
AC;1.0;1.5;0.3;45;1.0;1004377;21
AC;1.0;1.5;0.3;45;1.0;1004241;9
AC;1.0;1.5;0.3;45;1.0;1004104;21
AC;1.0;1.5;0.3;45;1.0;1004315;96
AC;1.0;1.0;0.7;105;1.0;1004816;106
AC;1.0;1.5;0.3;45;1.0;1004234;52
AC;1.0;1.5;0.3;45;1.0;1004233;87
AC;1.0;1.5;0.3;75;1.0;1004261;35
AC;1.0;1.5;0.3;75;1.0;1004264;31
AC;1.0;1.5;0.3;75;1.0;1004184;58
AC;1.0;1.5;0.3;75;1.0;1004303;79
AC;1.0;1.5;0.3;75;1.0;1004282;36
AC;1.0;1.5;0.3;75;1.0;1004340;63
AC;1.0;1.5;0.3;75;1.0;1004276;157
AC;1.0;1.5;0.3;75;1.0;1004425;10
AC;1.0;1.5;0.3;75;1.0;1004381;118
AC;1.0;1.5;0.3;75;1.0;1004127;82
AC;1.0;1.5;0.3;105;1.0;1004423;17
AC;1.0;1.5;0.3;105;1.0;1004288;31
AC;1.0;1.5;0.3;105;1.0;1004919;23
AC;1.0;1.5;0.3;105;1.0;1004302;98
AC;1.0;1.5;0.3;105;1.0;1004507;72
AC;1.0;1.5;0.3;105;1.0;1004116;21
AC;1.0;1.5;0.5;45;1.0;1004234;4
AC;1.0;1.5;0.5;45;1.0;1004357;7
AC;1.0;1.5;0.3;105;1.0;1004236;76
AC;1.0;1.5;0.3;105;1.0;1004455;134
AC;1.0;1.5;0.3;105;1.0;1004272;19
AC;1.0;1.5;0.5;45;1.0;1004149;76
AC;1.0;1.5;0.3;105;1.0;1004398;79
AC;1.0;1.5;0.5;45;1.0;1004305;67
AC;1.0;1.5;0.5;45;1.0;1004145;62
AC;1.0;1.5;0.5;45;1.0;1004477;42
AC;1.0;1.5;0.5;45;1.0;1004301;12
