mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.500;1.000;0.500;45;1.000;1005128.500;1004644;1005992;442.782;22.500;10;1.000;0.819;0.946;99.357
AC;1.500;1.000;0.700;105;1.000;1005013.500;1004620;1006029;408.292;18.500;10;0.918;0.859;0.901;99.345
AC;1.500;1.000;0.500;105;1.000;1005038.000;1004566;1005625;358.660;27.000;10;0.936;0.774;0.887;99.348
AC;1.500;1.000;0.700;75;1.000;1004867.000;1004761;1005393;212.740;19.500;10;0.815;0.849;0.825;99.331
AC;2.000;1.500;0.700;45;1.000;1004925.500;1004132;1006064;530.919;38.000;10;0.856;0.663;0.798;99.336
AC;1.500;1.000;0.300;105;1.000;1004810.500;1004520;1005254;228.449;24.500;10;0.775;0.799;0.782;99.325
AC;2.000;1.500;0.700;105;1.000;1004796.000;1004226;1005648;371.864;22.500;10;0.764;0.819;0.781;99.324
AC;2.000;1.500;0.300;105;1.000;1004759.500;1004348;1005876;394.938;16.500;10;0.738;0.879;0.781;99.320
AC;1.500;1.000;0.300;45;1.000;1004833.000;1004510;1005469;309.838;29.500;10;0.791;0.749;0.778;99.327
AC;1.000;0.500;0.700;75;1.000;1005039.500;1004628;1005252;220.154;64.500;10;0.937;0.397;0.775;99.348
AC;1.500;1.000;0.500;75;1.000;1004934.000;1004626;1005269;218.840;48.000;10;0.862;0.563;0.772;99.337
AC;1.000;0.500;0.500;45;1.000;1004915.000;1004639;1005499;314.286;46.500;10;0.849;0.578;0.767;99.335
AC;2.000;1.500;0.700;75;1.000;1004829.500;1004556;1005156;197.534;32.500;10;0.788;0.719;0.767;99.327
AC;1.000;0.500;0.700;105;1.000;1004906.500;1004541;1005430;245.714;45.500;10;0.843;0.588;0.766;99.335
AC;1.000;0.500;0.500;105;1.000;1005070.500;1004687;1005192;193.388;72.500;10;0.959;0.317;0.766;99.351
AC;1.500;1.000;0.300;75;1.000;1004907.500;1004607;1005329;219.461;49.000;10;0.843;0.553;0.756;99.335
AC;2.000;1.500;0.500;105;1.000;1004754.500;1004501;1005047;180.384;24.000;10;0.735;0.804;0.756;99.320
AC;1.500;1.000;0.700;45;1.000;1004889.000;1004660;1005951;377.027;50.000;10;0.830;0.543;0.744;99.333
AC;1.000;1.000;0.700;105;1.000;1004698.000;1004467;1005142;193.937;22.000;10;0.695;0.824;0.734;99.314
AC;1.000;0.500;0.500;75;1.000;1004816.500;1004486;1005176;237.032;42.500;10;0.779;0.618;0.731;99.326
AC;1.000;0.500;0.300;75;1.000;1005010.000;1004625;1005199;182.842;74.500;10;0.916;0.296;0.730;99.345
AC;1.000;1.000;0.300;105;1.000;1004922.000;1004614;1005295;213.739;64.000;10;0.854;0.402;0.718;99.336
AC;1.000;1.000;0.700;75;1.000;1004706.500;1004376;1005228;246.223;31.500;10;0.701;0.729;0.709;99.315
AC;2.000;1.500;0.300;45;1.000;1004729.000;1004171;1005166;299.443;41.000;10;0.717;0.633;0.692;99.317
AC;1.000;0.500;0.300;45;1.000;1004911.500;1004281;1005936;462.309;71.500;10;0.846;0.327;0.690;99.335
AC;1.000;0.500;0.300;105;1.000;1004788.500;1004508;1005849;382.954;54.000;10;0.759;0.503;0.682;99.323
AC;2.000;1.500;0.500;45;1.000;1004695.500;1004232;1005061;322.990;40.500;10;0.693;0.638;0.677;99.314
AC;2.000;1.500;0.300;75;1.000;1004794.000;1004428;1005780;382.695;57.500;10;0.763;0.467;0.674;99.323
AC;1.500;0.500;0.500;105;1.000;1004466.500;1003983;1004817;254.551;7.500;10;0.531;0.970;0.663;99.291
AC;1.500;1.500;0.500;105;1.000;1004634.500;1004393;1004980;167.462;37.000;10;0.650;0.673;0.657;99.308
AC;1.500;1.500;0.700;105;1.000;1004762.500;1004501;1005101;155.603;61.500;10;0.741;0.427;0.647;99.320
AC;2.000;1.500;0.500;75;1.000;1004453.500;1004217;1005248;308.502;11.500;10;0.522;0.930;0.644;99.290
AC;1.500;0.500;0.500;75;1.000;1004445.000;1004220;1004848;206.848;10.500;10;0.516;0.940;0.643;99.289
AC;1.000;1.000;0.500;105;1.000;1004769.000;1004450;1005135;229.548;64.500;10;0.745;0.397;0.641;99.321
AC;1.500;0.500;0.300;45;1.000;1004434.000;1004229;1005343;347.407;10.000;10;0.508;0.945;0.639;99.288
AC;1.500;1.500;0.300;105;1.000;1004792.000;1004526;1005082;171.761;69.000;10;0.762;0.352;0.639;99.323
AC;1.000;0.500;0.700;45;1.000;1004575.500;1004120;1004978;297.519;36.500;10;0.608;0.678;0.629;99.302
AC;1.000;1.000;0.300;45;1.000;1004592.500;1004343;1005128;271.596;39.500;10;0.620;0.648;0.629;99.304
AC;1.500;0.500;0.300;75;1.000;1004438.500;1004135;1004670;177.966;15.000;10;0.511;0.894;0.626;99.288
AC;1.500;1.500;0.500;75;1.000;1004766.500;1004342;1004989;181.868;69.000;10;0.743;0.352;0.626;99.321
AC;1.500;1.500;0.700;45;1.000;1004597.000;1004325;1004871;143.945;44.500;10;0.623;0.598;0.616;99.304
AC;1.500;1.500;0.500;45;1.000;1004661.500;1004393;1005066;207.152;56.000;10;0.669;0.482;0.613;99.310
AC;1.500;0.500;0.700;75;1.000;1004381.500;1003977;1004548;179.331;11.000;10;0.471;0.935;0.610;99.283
AC;1.000;1.000;0.500;45;1.000;1004581.500;1004391;1004961;202.528;45.000;10;0.612;0.593;0.607;99.302
AC;1.500;0.500;0.300;105;1.000;1004375.000;1004159;1004857;251.733;14.500;10;0.466;0.899;0.596;99.282
AC;2.000;1.000;0.500;75;1.000;1004288.000;1003774;1004907;352.149;4.500;10;0.404;1.000;0.583;99.273
AC;1.000;1.000;0.700;45;1.000;1004679.000;1004480;1005020;161.582;73.000;10;0.681;0.312;0.570;99.312
AC;2.000;1.000;0.300;75;1.000;1004261.500;1003782;1005022;354.730;8.000;10;0.386;0.965;0.559;99.271
AC;2.000;1.000;0.500;105;1.000;1004301.500;1003800;1005426;479.695;15.000;10;0.414;0.894;0.558;99.275
AC;1.500;0.500;0.700;105;1.000;1004290.500;1004101;1004716;180.230;13.500;10;0.406;0.910;0.557;99.274
AC;1.500;1.500;0.300;45;1.000;1004598.500;1004244;1004967;208.691;65.000;10;0.624;0.392;0.555;99.304
