mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.500;0.800;0.500;90;1.000;1005663.500;1005245;1005970;229.464;62.500;10;0.932;0.575;0.825;99.409
AC;1.500;0.800;0.200;60;1.000;1005784.000;1004805;1005883;362.130;89.000;10;1.000;0.372;0.811;99.421
AC;2.000;1.300;0.200;90;1.000;1005438.500;1003816;1006081;737.899;35.000;10;0.805;0.785;0.799;99.387
AC;2.000;1.300;0.350;90;1.000;1005439.500;1005185;1006438;406.218;49.000;10;0.805;0.678;0.767;99.387
AC;1.500;0.800;0.350;90;1.000;1005770.000;1005435;1006123;208.997;112.000;10;0.992;0.195;0.753;99.420
AC;1.500;0.800;0.200;90;1.000;1005732.000;1004824;1006499;547.471;111.500;10;0.971;0.199;0.739;99.416
AC;2.000;1.300;0.500;90;1.000;1005348.000;1004241;1006020;577.873;57.500;10;0.754;0.613;0.712;99.378
AC;2.000;1.300;0.350;30;1.000;1005229.500;1004143;1005620;582.411;42.500;10;0.687;0.728;0.699;99.367
AC;1.500;0.800;0.500;60;1.000;1005342.000;1004481;1005950;425.531;66.000;10;0.750;0.548;0.690;99.378
AC;2.000;1.300;0.350;60;1.000;1005217.000;1004330;1005902;455.599;61.000;10;0.680;0.586;0.652;99.365
AC;1.500;0.800;0.350;60;1.000;1005629.000;1003789;1006376;736.302;137.500;10;0.912;0.000;0.639;99.406
AC;2.000;1.300;0.500;30;1.000;1005260.000;1003878;1005891;669.001;85.500;10;0.704;0.398;0.612;99.370
AC;1.500;1.300;0.500;90;1.000;1005045.500;1004657;1005576;289.029;50.500;10;0.583;0.667;0.608;99.348
AC;2.000;1.300;0.500;60;1.000;1005241.500;1003823;1006042;833.684;84.500;10;0.694;0.406;0.607;99.368
AC;1.500;1.300;0.350;60;1.000;1005028.500;1004696;1005367;233.336;51.000;10;0.573;0.663;0.600;99.347
AC;1.500;0.800;0.200;30;1.000;1005165.000;1004088;1005648;517.956;76.000;10;0.650;0.471;0.597;99.360
AC;2.000;1.300;0.200;60;1.000;1005105.000;1004577;1006110;477.608;69.000;10;0.616;0.525;0.589;99.354
AC;1.500;1.300;0.350;90;1.000;1005087.000;1004731;1005609;270.841;70.000;10;0.606;0.517;0.580;99.352
AC;1.500;1.300;0.500;30;1.000;1004884.000;1004244;1005560;413.629;38.500;10;0.492;0.759;0.572;99.332
AC;1.000;0.800;0.200;90;1.000;1004950.000;1004519;1005467;294.311;51.000;10;0.529;0.663;0.569;99.339
AC;1.500;1.300;0.500;60;1.000;1005001.000;1004437;1005404;287.710;62.500;10;0.558;0.575;0.563;99.344
AC;1.500;1.300;0.200;30;1.000;1004860.000;1004646;1005124;151.182;43.500;10;0.478;0.720;0.551;99.330
AC;1.500;0.800;0.500;30;1.000;1004869.500;1004028;1006196;720.785;45.500;10;0.483;0.705;0.550;99.331
AC;1.000;0.800;0.500;90;1.000;1004765.000;1004487;1005060;181.081;33.500;10;0.424;0.797;0.536;99.321
AC;1.000;0.800;0.350;90;1.000;1004855.500;1004547;1005117;181.242;50.500;10;0.476;0.667;0.533;99.330
AC;1.500;1.300;0.200;90;1.000;1004974.500;1004510;1005207;212.696;71.000;10;0.543;0.510;0.533;99.341
AC;1.000;0.800;0.350;60;1.000;1004706.000;1004485;1005567;326.477;39.500;10;0.391;0.751;0.499;99.315
AC;2.000;1.300;0.200;30;1.000;1004806.500;1004069;1006039;607.124;60.500;10;0.448;0.590;0.491;99.325
AC;1.500;0.800;0.350;30;1.000;1004912.000;1004226;1006253;662.362;81.500;10;0.507;0.429;0.484;99.335
AC;1.500;1.300;0.350;30;1.000;1004724.500;1004455;1004923;169.012;50.500;10;0.402;0.667;0.481;99.317
AC;1.000;0.800;0.500;30;1.000;1004638.500;1004414;1005647;372.736;40.500;10;0.353;0.743;0.470;99.308
AC;1.000;0.800;0.200;60;1.000;1004584.500;1004358;1005048;222.955;39.500;10;0.323;0.751;0.451;99.303
AC;1.000;0.800;0.350;30;1.000;1004641.000;1004307;1005010;186.579;56.500;10;0.354;0.621;0.434;99.308
AC;2.000;1.800;0.500;60;1.000;1004486.500;1003918;1004948;319.200;32.000;10;0.267;0.808;0.430;99.293
AC;1.000;0.800;0.500;60;1.000;1004775.000;1004510;1005353;305.778;82.500;10;0.430;0.421;0.428;99.322
AC;1.000;1.300;0.200;30;1.000;1004463.000;1004189;1005180;290.544;29.000;10;0.254;0.831;0.427;99.291
AC;2.000;1.800;0.200;90;1.000;1004526.500;1004363;1004941;191.348;44.000;10;0.290;0.716;0.418;99.297
AC;2.000;1.800;0.500;90;1.000;1004578.500;1004388;1005375;287.758;54.000;10;0.319;0.640;0.415;99.302
AC;2.000;0.800;0.350;90;1.000;1004306.000;1003749;1005216;375.609;8.500;10;0.165;0.989;0.412;99.275
AC;2.000;0.800;0.200;90;1.000;1004307.500;1004149;1004666;140.540;10.000;10;0.166;0.977;0.409;99.275
AC;2.000;0.800;0.200;60;1.000;1004309.500;1004069;1004580;158.662;11.000;10;0.167;0.969;0.408;99.276
AC;1.000;0.800;0.200;30;1.000;1004556.000;1004265;1005233;305.480;54.500;10;0.306;0.636;0.405;99.300
AC;2.000;0.800;0.500;60;1.000;1004270.000;1003865;1004658;233.190;7.000;10;0.145;1.000;0.401;99.272
AC;1.500;1.800;0.500;90;1.000;1004443.000;1004245;1004731;149.182;39.000;10;0.243;0.755;0.396;99.289
