mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;0.6;0.25;70;1.0;1004633;18
AC;1.0;0.6;0.25;70;1.0;1004716;23
AC;1.0;0.6;0.25;70;1.0;1004836;37
AC;1.0;0.6;0.25;70;1.0;1004915;70
AC;1.0;0.6;0.25;70;1.0;1004988;78
AC;1.0;0.6;0.25;70;1.0;1004878;75
AC;1.0;0.6;0.25;70;1.0;1005045;92
AC;1.0;0.6;0.25;70;1.0;1005003;115
AC;1.0;0.6;0.25;70;1.0;1004646;64
AC;1.0;0.6;0.25;95;1.0;1005323;24
AC;1.0;0.6;0.25;70;1.0;1004896;104
AC;1.0;0.6;0.25;95;1.0;1004833;36
AC;1.0;0.6;0.25;95;1.0;1004791;26
AC;1.0;0.6;0.25;95;1.0;1004962;85
AC;1.0;0.6;0.25;95;1.0;1004956;36
AC;1.0;0.6;0.25;95;1.0;1005104;136
AC;1.0;0.6;0.25;95;1.0;1005238;41
AC;1.0;0.6;0.25;95;1.0;1004945;94
AC;1.0;0.6;0.25;120;1.0;1005159;47
AC;1.0;0.6;0.25;120;1.0;1004956;39
AC;1.0;0.6;0.25;95;1.0;1005113;112
AC;1.0;0.6;0.25;95;1.0;1005057;141
AC;1.0;0.6;0.25;120;1.0;1004707;22
AC;1.0;0.6;0.25;120;1.0;1005376;49
AC;1.0;0.6;0.25;120;1.0;1004875;45
AC;1.0;0.6;0.25;120;1.0;1004744;15
AC;1.0;0.6;0.25;120;1.0;1004804;14
AC;1.0;0.6;0.25;120;1.0;1005595;166
AC;1.0;0.6;0.25;120;1.0;1005076;54
AC;1.0;0.6;0.45;70;1.0;1004666;4
AC;1.0;0.6;0.45;70;1.0;1005008;97
AC;1.0;0.6;0.25;120;1.0;1005272;99
AC;1.0;0.6;0.45;70;1.0;1004744;9
AC;1.0;0.6;0.45;70;1.0;1004656;11
AC;1.0;0.6;0.45;70;1.0;1004643;40
AC;1.0;0.6;0.45;70;1.0;1004760;39
AC;1.0;0.6;0.45;70;1.0;1005076;18
AC;1.0;0.6;0.45;70;1.0;1004889;55
AC;1.0;0.6;0.45;70;1.0;1004930;125
AC;1.0;0.6;0.45;70;1.0;1005054;140
AC;1.0;0.6;0.45;95;1.0;1004953;37
AC;1.0;0.6;0.45;95;1.0;1004952;38
