mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.400;0.600;0.450;120;1.000;1005421.500;1004327;1006131;541.659;85.000;10;1.000;0.332;0.800;99.386
AC;1.800;1.000;0.450;70;1.000;1005130.500;1004030;1006213;620.940;40.500;10;0.758;0.706;0.742;99.357
AC;1.400;0.600;0.450;70;1.000;1005021.500;1004183;1005612;501.799;17.000;10;0.667;0.903;0.738;99.346
AC;1.400;0.600;0.450;95;1.000;1005400.000;1004345;1005836;546.977;116.500;10;0.982;0.067;0.708;99.383
AC;1.400;1.000;0.250;95;1.000;1005052.500;1004637;1005501;295.327;49.500;10;0.693;0.630;0.674;99.349
AC;1.400;0.600;0.650;95;1.000;1005054.500;1004481;1005972;592.412;53.000;10;0.695;0.601;0.667;99.349
AC;1.000;0.600;0.250;120;1.000;1005016.000;1004707;1005595;293.635;46.000;10;0.663;0.660;0.662;99.345
AC;1.400;0.600;0.250;95;1.000;1005195.000;1004684;1006437;573.817;89.000;10;0.812;0.298;0.658;99.363
AC;1.400;1.000;0.250;120;1.000;1005019.500;1004900;1005767;293.355;55.500;10;0.666;0.580;0.640;99.346
AC;1.000;0.600;0.650;95;1.000;1004918.000;1004452;1005264;294.027;36.000;10;0.581;0.744;0.630;99.336
AC;1.800;1.000;0.650;95;1.000;1005081.500;1004294;1005822;451.583;74.000;10;0.717;0.424;0.629;99.352
AC;1.000;0.600;0.650;120;1.000;1004944.500;1004667;1005390;224.364;44.000;10;0.603;0.676;0.625;99.338
AC;1.800;1.000;0.450;120;1.000;1004976.000;1003974;1005829;685.274;52.000;10;0.629;0.609;0.623;99.341
AC;1.000;0.600;0.250;95;1.000;1005009.500;1004791;1005323;168.462;63.000;10;0.657;0.517;0.615;99.345
AC;1.000;0.600;0.450;120;1.000;1004896.500;1004616;1005452;226.852;38.000;10;0.563;0.727;0.612;99.334
AC;1.800;1.400;0.250;95;1.000;1004832.000;1004515;1005298;268.853;23.500;10;0.510;0.849;0.611;99.327
AC;1.400;1.000;0.450;70;1.000;1004992.500;1004629;1005219;231.231;62.500;10;0.643;0.521;0.606;99.343
AC;1.000;1.000;0.450;120;1.000;1004855.500;1004559;1005319;233.443;38.000;10;0.529;0.727;0.588;99.330
AC;1.400;0.600;0.650;120;1.000;1004931.000;1004362;1006352;552.543;55.500;10;0.592;0.580;0.588;99.337
AC;1.400;1.000;0.450;95;1.000;1004932.500;1004589;1005963;375.729;58.000;10;0.593;0.559;0.583;99.337
AC;1.400;1.000;0.650;120;1.000;1004861.500;1004649;1005239;206.304;42.000;10;0.534;0.693;0.582;99.330
AC;1.400;1.000;0.250;70;1.000;1004930.000;1004716;1005475;234.071;58.500;10;0.591;0.555;0.580;99.337
AC;1.800;1.000;0.250;70;1.000;1004891.500;1003992;1005674;621.779;51.000;10;0.559;0.618;0.577;99.333
AC;1.800;1.000;0.650;70;1.000;1004965.000;1003974;1005953;621.174;68.000;10;0.620;0.475;0.577;99.340
AC;1.800;1.000;0.250;120;1.000;1005209.000;1004339;1006049;456.722;124.500;10;0.823;0.000;0.576;99.364
AC;1.400;0.600;0.250;120;1.000;1004966.000;1004175;1006147;675.592;69.500;10;0.621;0.462;0.573;99.340
AC;1.000;0.600;0.450;70;1.000;1004824.500;1004643;1005076;169.544;39.500;10;0.503;0.714;0.567;99.326
AC;1.000;0.600;0.650;70;1.000;1004865.000;1004668;1005708;306.576;51.000;10;0.537;0.618;0.561;99.330
AC;1.000;0.600;0.450;95;1.000;1004856.000;1004629;1005080;160.301;52.000;10;0.530;0.609;0.553;99.330
AC;1.800;1.000;0.250;95;1.000;1005111.000;1004400;1005803;540.687;111.500;10;0.742;0.109;0.552;99.355
AC;1.400;1.000;0.450;120;1.000;1004768.500;1004539;1005344;245.813;34.500;10;0.457;0.756;0.547;99.321
AC;1.400;0.600;0.650;70;1.000;1004793.500;1004232;1005134;292.206;45.500;10;0.478;0.664;0.533;99.323
AC;1.000;1.000;0.250;95;1.000;1004764.000;1004435;1005146;227.248;39.000;10;0.453;0.718;0.533;99.321
AC;1.800;1.400;0.450;120;1.000;1004673.000;1004535;1004997;125.802;19.500;10;0.377;0.882;0.529;99.312
AC;1.400;1.400;0.250;120;1.000;1004780.000;1004648;1005206;160.610;44.500;10;0.466;0.672;0.528;99.322
AC;1.400;1.400;0.450;120;1.000;1004791.000;1004392;1005091;204.810;48.500;10;0.475;0.639;0.524;99.323
AC;1.800;1.400;0.250;120;1.000;1004687.500;1004521;1005395;257.163;25.000;10;0.389;0.836;0.523;99.313
AC;1.000;1.000;0.250;70;1.000;1004816.500;1004649;1005045;123.813;55.000;10;0.497;0.584;0.523;99.326
AC;1.000;0.600;0.250;70;1.000;1004887.000;1004633;1005045;146.873;72.500;10;0.555;0.437;0.520;99.333
AC;1.400;1.000;0.650;70;1.000;1004789.000;1004565;1005102;163.852;50.000;10;0.474;0.626;0.519;99.323
AC;1.400;1.400;0.250;95;1.000;1004743.000;1004432;1005064;181.701;39.500;10;0.436;0.714;0.519;99.318
AC;1.800;1.400;0.250;70;1.000;1004723.500;1004456;1005014;214.868;36.500;10;0.419;0.739;0.515;99.317
AC;1.400;1.000;0.650;95;1.000;1004860.500;1004412;1005093;235.860;70.000;10;0.533;0.458;0.511;99.330
AC;1.800;1.400;0.450;70;1.000;1004658.000;1004329;1005346;328.971;23.500;10;0.365;0.849;0.510;99.310
AC;1.000;1.000;0.450;95;1.000;1004715.500;1004391;1005033;209.889;38.000;10;0.413;0.727;0.507;99.316
AC;1.400;1.400;0.450;95;1.000;1004775.000;1004421;1005107;210.932;54.000;10;0.462;0.592;0.501;99.322
AC;1.000;1.000;0.650;70;1.000;1004826.000;1004547;1005353;244.224;68.000;10;0.505;0.475;0.496;99.327
AC;1.800;1.000;0.650;120;1.000;1004719.000;1004063;1005546;480.644;47.000;10;0.416;0.651;0.486;99.316
AC;1.400;1.400;0.650;120;1.000;1004733.500;1004537;1004955;127.700;54.000;10;0.428;0.592;0.477;99.317
AC;1.800;1.400;0.650;120;1.000;1004640.000;1004480;1005004;176.240;33.500;10;0.350;0.765;0.474;99.308
AC;1.400;1.400;0.650;70;1.000;1004707.000;1004541;1005527;282.089;49.500;10;0.406;0.630;0.473;99.315
AC;1.000;1.000;0.650;120;1.000;1004651.500;1004564;1004897;111.830;38.000;10;0.359;0.727;0.470;99.309
AC;1.800;0.600;0.250;95;1.000;1004517.500;1004104;1004980;254.491;10.500;10;0.248;0.958;0.461;99.296
AC;1.000;1.000;0.450;70;1.000;1004644.000;1004387;1005180;215.663;40.000;10;0.353;0.710;0.460;99.309
AC;1.400;1.400;0.650;95;1.000;1004698.500;1004459;1005339;228.128;53.000;10;0.399;0.601;0.459;99.314
AC;1.800;1.000;0.450;95;1.000;1004705.000;1004130;1006232;569.237;55.000;10;0.404;0.584;0.458;99.315
AC;1.400;1.400;0.250;70;1.000;1004754.000;1004397;1005190;248.306;67.000;10;0.445;0.483;0.456;99.320
AC;1.400;1.400;0.450;70;1.000;1004742.500;1004434;1004986;191.098;64.500;10;0.435;0.504;0.456;99.318
AC;1.000;1.000;0.650;95;1.000;1004718.500;1004560;1005242;211.550;61.500;10;0.415;0.529;0.449;99.316
AC;1.000;1.000;0.250;120;1.000;1004719.000;1004590;1005429;239.743;64.500;10;0.416;0.504;0.442;99.316
AC;1.800;0.600;0.250;120;1.000;1004478.000;1003900;1004753;289.081;9.500;10;0.215;0.966;0.440;99.292
AC;1.800;0.600;0.450;120;1.000;1004474.000;1004158;1004714;197.152;9.500;10;0.212;0.966;0.438;99.292
AC;1.800;1.400;0.650;70;1.000;1004616.000;1004287;1005251;247.930;43.000;10;0.330;0.685;0.436;99.306
AC;1.800;1.400;0.450;95;1.000;1004620.000;1004280;1004835;184.770;45.000;10;0.333;0.668;0.434;99.306
AC;1.400;0.600;0.250;70;1.000;1004472.000;1004099;1005092;294.758;12.000;10;0.210;0.945;0.431;99.292
AC;1.800;0.600;0.450;70;1.000;1004429.000;1004033;1004883;264.664;14.000;10;0.174;0.929;0.401;99.287
AC;1.000;1.400;0.250;120;1.000;1004453.500;1004177;1004934;239.442;30.500;10;0.195;0.790;0.373;99.290
AC;1.800;0.600;0.650;120;1.000;1004349.500;1003967;1004985;290.582;7.500;10;0.108;0.983;0.371;99.280
AC;1.800;0.600;0.450;95;1.000;1004330.500;1004019;1005086;357.065;7.000;10;0.092;0.987;0.361;99.278
AC;1.800;1.400;0.650;95;1.000;1004473.500;1004293;1004941;193.664;40.500;10;0.211;0.706;0.360;99.292
AC;1.000;1.400;0.650;120;1.000;1004413.500;1004244;1004732;143.706;32.000;10;0.161;0.777;0.346;99.286
AC;1.800;0.600;0.650;95;1.000;1004304.500;1003998;1005032;321.129;11.500;10;0.071;0.950;0.334;99.275
AC;1.000;1.400;0.250;70;1.000;1004373.500;1004020;1004615;158.376;37.000;10;0.128;0.735;0.310;99.282
AC;1.800;0.600;0.650;70;1.000;1004219.500;1003936;1004616;201.639;5.500;10;0.000;1.000;0.300;99.267
AC;1.000;1.400;0.450;95;1.000;1004337.000;1004127;1004664;165.525;37.000;10;0.098;0.735;0.289;99.278
AC;1.800;0.600;0.250;70;1.000;1004302.000;1003825;1004610;235.144;30.500;10;0.069;0.790;0.285;99.275
AC;1.000;1.400;0.650;70;1.000;1004295.000;1004092;1004872;218.592;35.500;10;0.063;0.748;0.268;99.274
AC;1.000;1.400;0.250;95;1.000;1004326.500;1004139;1004469;105.304;52.500;10;0.089;0.605;0.244;99.277
AC;1.000;1.400;0.650;95;1.000;1004337.000;1004136;1004479;118.081;58.000;10;0.098;0.559;0.236;99.278
AC;1.000;1.400;0.450;70;1.000;1004239.000;1004139;1004615;157.184;45.000;10;0.016;0.668;0.212;99.269
AC;1.000;1.400;0.450;120;1.000;1004402.000;1004285;1004772;154.952;85.000;10;0.152;0.332;0.206;99.285
