Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;-;+;+;+;-;+;-;-;1005016.0
2;-;-;+;+;+;-;-;-;-;+;1004944.5
3;-;-;+;-;+;-;+;-;+;-;1004865.0
4;+;+;-;+;+;-;+;-;+;-;1004687.5
5;-;-;-;-;+;+;+;+;+;+;1004887.0
6;+;+;-;-;+;-;-;-;-;+;1004723.5
7;+;+;+;+;+;+;+;+;+;+;1004640.0
8;+;-;-;+;-;-;+;+;-;-;1004478.0
9;+;+;+;-;+;+;-;+;-;-;1004616.0
10;-;+;-;+;-;+;-;-;+;-;1004453.5
11;+;-;+;+;-;+;+;-;-;+;1004349.5
12;-;+;+;+;-;-;-;+;+;+;1004413.5
13;-;+;-;-;-;+;+;-;-;+;1004373.5
14;+;-;+;-;-;+;-;-;+;-;1004219.5
15;+;-;-;-;-;-;-;+;+;+;1004302.0
16;-;+;+;-;-;-;+;+;-;-;1004295.0
MW-;1004656.0;1004632.6875;1004615.125;1004535.1875;1004360.5625;1004588.625;1004586.0625;1004577.0625;1004599.5;1004578.8125;
MW+;1004502.0;1004525.3125;1004542.875;1004622.8125;1004797.4375;1004569.375;1004571.9375;1004580.9375;1004558.5;1004579.1875;
Effekt;-154.0;-107.375;-72.25;87.625;436.875;-19.25;-14.125;3.875;-41.0;0.375;
