mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;3.0;0.4;40;1.0;5623;84
AC;1.0;3.0;0.4;40;1.0;5608;51
AC;1.0;3.0;0.4;80;1.0;5604;59
AC;1.0;3.0;0.4;80;1.0;5616;31
AC;1.0;3.0;0.4;80;1.0;5610;38
AC;1.0;3.0;0.8;10;1.0;5396;4
AC;1.0;3.0;0.8;10;1.0;5429;11
AC;1.0;3.0;0.8;10;1.0;5390;6
AC;1.0;3.0;0.8;40;1.0;5537;41
AC;1.0;3.0;0.8;40;1.0;5544;13
AC;1.0;3.0;0.8;40;1.0;5611;32
AC;1.0;3.0;0.8;80;1.0;5615;17
AC;1.0;3.0;0.8;80;1.0;5610;29
AC;1.0;3.0;0.8;80;1.0;5604;15
AC;1.0;5.0;0.1;10;1.0;5585;72
AC;1.0;5.0;0.1;10;1.0;5556;108
AC;1.0;5.0;0.1;10;1.0;5556;64
AC;1.0;5.0;0.1;40;1.0;5633;56
AC;1.0;5.0;0.1;40;1.0;5619;51
AC;1.0;5.0;0.1;40;1.0;5635;69
AC;1.0;5.0;0.1;80;1.0;5635;65
AC;1.0;5.0;0.1;80;1.0;5617;91
AC;1.0;5.0;0.1;80;1.0;5638;44
AC;1.0;5.0;0.4;10;1.0;5404;17
AC;1.0;5.0;0.4;10;1.0;5582;49
AC;1.0;5.0;0.4;10;1.0;5594;10
AC;1.0;5.0;0.4;40;1.0;5626;11
AC;1.0;5.0;0.4;40;1.0;5633;38
AC;1.0;5.0;0.4;40;1.0;5585;37
AC;1.0;5.0;0.4;80;1.0;5611;38
AC;1.0;5.0;0.4;80;1.0;5617;28
AC;1.0;5.0;0.4;80;1.0;5629;13
AC;1.0;5.0;0.8;10;1.0;5511;12
AC;1.0;5.0;0.8;10;1.0;5420;7
AC;1.0;5.0;0.8;10;1.0;5418;19
AC;1.0;5.0;0.8;40;1.0;5623;12
AC;1.0;5.0;0.8;40;1.0;5594;16
AC;1.0;5.0;0.8;40;1.0;5620;14
AC;1.0;5.0;0.8;80;1.0;5627;13
AC;1.0;5.0;0.8;80;1.0;5626;11
AC;1.0;5.0;0.8;80;1.0;5604;10
AC;1.5;1.0;0.1;10;1.0;5284;5
AC;1.5;1.0;0.1;10;1.0;5193;14
AC;1.5;1.0;0.1;10;1.0;5266;1
AC;1.5;1.0;0.1;40;1.0;5272;3
AC;1.5;1.0;0.1;40;1.0;5321;1
AC;1.5;1.0;0.1;40;1.0;5231;1
AC;1.5;1.0;0.1;80;1.0;5323;1
AC;1.5;1.0;0.1;80;1.0;5265;1
AC;1.5;1.0;0.1;80;1.0;5292;1
AC;1.5;1.0;0.4;10;1.0;5319;8
AC;1.5;1.0;0.4;10;1.0;5253;1
AC;1.5;1.0;0.4;10;1.0;5336;1
AC;1.5;1.0;0.4;40;1.0;5332;1
AC;1.5;1.0;0.4;40;1.0;5267;1
AC;1.5;1.0;0.4;40;1.0;5281;1
AC;1.5;1.0;0.4;80;1.0;5271;1
AC;1.5;1.0;0.4;80;1.0;5314;1
AC;1.5;1.0;0.4;80;1.0;5355;1
AC;1.5;1.0;0.8;10;1.0;5213;1
AC;1.5;1.0;0.8;10;1.0;5333;1
AC;1.5;1.0;0.8;10;1.0;5238;1
AC;1.5;1.0;0.8;40;1.0;5305;1
AC;1.5;1.0;0.8;40;1.0;5256;1
AC;1.5;1.0;0.8;40;1.0;5277;1
AC;1.5;1.0;0.8;80;1.0;5271;1
AC;1.5;1.0;0.8;80;1.0;5268;1
AC;1.5;1.0;0.8;80;1.0;5323;1
AC;1.5;3.0;0.1;10;1.0;5316;1
AC;1.5;3.0;0.1;10;1.0;5312;1
AC;1.5;3.0;0.1;10;1.0;5352;1
AC;1.5;3.0;0.1;40;1.0;5355;1
AC;1.5;3.0;0.1;40;1.0;5354;1
AC;1.5;3.0;0.1;40;1.0;5338;1
AC;1.5;3.0;0.1;80;1.0;5364;1
AC;1.5;3.0;0.1;80;1.0;5364;1
AC;1.5;3.0;0.1;80;1.0;5383;1
AC;1.5;3.0;0.4;10;1.0;5269;1
AC;1.5;3.0;0.4;10;1.0;5386;1
AC;1.5;3.0;0.4;10;1.0;5320;9
AC;1.5;3.0;0.4;40;1.0;5315;1
AC;1.5;3.0;0.4;40;1.0;5320;1
AC;1.5;3.0;0.4;40;1.0;5359;1
AC;1.5;3.0;0.4;80;1.0;5355;2
AC;1.5;3.0;0.4;80;1.0;5358;1
AC;1.5;3.0;0.4;80;1.0;5366;1
AC;1.5;3.0;0.8;10;1.0;5255;1
AC;1.5;3.0;0.8;10;1.0;5347;1
AC;1.5;3.0;0.8;10;1.0;5394;1
AC;1.5;3.0;0.8;40;1.0;5320;1
AC;1.5;3.0;0.8;40;1.0;5316;1
AC;1.5;3.0;0.8;40;1.0;5294;1
AC;1.5;3.0;0.8;80;1.0;5365;1
AC;1.5;3.0;0.8;80;1.0;5344;1
AC;1.5;3.0;0.8;80;1.0;5331;1
AC;1.5;5.0;0.1;10;1.0;5342;1
AC;1.5;5.0;0.1;10;1.0;5347;5
AC;1.5;5.0;0.1;10;1.0;5332;1
AC;1.5;5.0;0.1;40;1.0;5404;1
AC;1.5;5.0;0.1;40;1.0;5370;1
AC;1.5;5.0;0.1;40;1.0;5374;9
AC;1.5;5.0;0.1;80;1.0;5375;1
AC;1.5;5.0;0.1;80;1.0;5392;1
AC;1.5;5.0;0.1;80;1.0;5373;2
