mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.500;2.000;0.100;30;0.200;1004021.000;1003685;1004260;163.208;45.000;10;0.730;0.355;0.618;99.247
EAS;1.000;2.000;0.300;30;1.000;1003877.500;1003616;1004142;159.548;24.000;10;0.580;0.702;0.617;99.233
EAS;1.000;2.000;0.500;10;0.200;1003821.000;1003554;1003882;130.746;16.500;10;0.521;0.826;0.613;99.227
EAS;1.500;2.000;0.500;10;0.500;1003801.000;1003390;1004450;332.497;14.000;10;0.501;0.868;0.611;99.225
EAS;0.500;2.000;0.300;50;0.200;1003827.500;1003547;1003878;132.229;18.500;10;0.528;0.793;0.608;99.228
EAS;0.500;2.000;0.500;50;1.000;1003841.000;1003584;1003877;105.906;20.500;10;0.542;0.760;0.608;99.229
EAS;0.500;2.000;0.300;30;0.500;1003830.500;1003520;1003947;117.051;21.000;10;0.531;0.752;0.598;99.228
EAS;1.000;2.000;0.300;30;0.200;1003880.000;1003688;1003928;80.713;28.500;10;0.583;0.628;0.596;99.233
EAS;1.000;2.000;0.300;50;1.000;1003883.000;1003825;1004310;158.789;29.500;10;0.586;0.612;0.594;99.233
EAS;1.000;2.000;0.100;30;1.000;1003858.500;1003642;1004160;143.108;26.000;10;0.560;0.669;0.593;99.231
EAS;1.500;2.000;0.100;10;0.200;1003808.500;1003604;1003948;111.047;19.500;10;0.508;0.777;0.589;99.226
EAS;1.500;3.500;0.300;50;1.000;1003833.500;1003544;1003878;143.282;23.500;10;0.534;0.711;0.587;99.229
EAS;1.500;3.500;0.100;30;0.200;1003852.500;1003561;1003930;131.638;27.000;10;0.554;0.653;0.584;99.230
AC;1.500;3.500;0.100;50;1.000;1003855.000;1003639;1003915;101.589;27.500;10;0.557;0.645;0.583;99.231
EAS;0.500;2.000;0.300;50;1.000;1003827.000;1003550;1004003;121.237;23.500;10;0.528;0.711;0.583;99.228
EAS;1.500;3.500;0.300;50;0.500;1003819.500;1003561;1003878;119.504;22.500;10;0.520;0.727;0.582;99.227
EAS;1.500;3.500;0.300;50;0.200;1003846.500;1003673;1003878;85.006;27.000;10;0.548;0.653;0.579;99.230
EAS;1.000;2.000;0.500;10;0.500;1003769.000;1003330;1003926;206.014;16.500;10;0.467;0.826;0.575;99.222
AC;1.500;3.500;0.300;50;1.000;1003877.500;1003601;1003974;136.085;32.500;10;0.580;0.562;0.575;99.233
EAS;0.500;2.000;0.100;50;0.200;1003763.500;1003564;1004106;148.327;16.500;10;0.461;0.826;0.571;99.222
EAS;1.000;2.000;0.300;50;0.500;1003904.500;1003866;1004096;66.411;38.000;10;0.608;0.471;0.567;99.236
EAS;0.500;2.000;0.100;50;1.000;1003778.000;1003563;1004189;182.656;21.000;10;0.477;0.752;0.559;99.223
EAS;0.500;2.000;0.500;50;0.500;1003789.500;1003586;1003988;130.869;23.000;10;0.489;0.719;0.558;99.224
EAS;0.500;2.000;0.100;50;0.500;1003775.500;1003568;1004052;161.259;21.000;10;0.474;0.752;0.557;99.223
AC;1.500;3.500;0.500;50;1.000;1003857.000;1003672;1003878;82.884;33.500;10;0.559;0.545;0.555;99.231
AC;1.000;5.000;0.300;50;1.000;1003688.000;1003660;1003857;56.620;9.000;10;0.383;0.950;0.553;99.214
EAS;1.000;2.000;0.300;10;0.200;1003741.500;1003515;1003967;150.365;17.000;10;0.438;0.818;0.552;99.219
EAS;1.500;2.000;0.500;10;1.000;1003852.000;1003600;1004160;195.758;33.500;10;0.554;0.545;0.551;99.230
EAS;1.000;2.000;0.100;10;1.000;1003777.000;1003615;1004058;132.750;22.500;10;0.475;0.727;0.551;99.223
EAS;0.500;5.000;0.500;50;0.200;1003688.000;1003660;1003688;8.854;10.500;10;0.383;0.926;0.546;99.214
EAS;0.500;5.000;0.100;50;1.000;1003688.000;1003660;1003688;8.854;10.500;10;0.383;0.926;0.546;99.214
EAS;1.000;3.500;0.100;50;0.200;1003660.000;1003571;1003688;43.254;6.500;10;0.353;0.992;0.545;99.211
EAS;0.500;2.000;0.500;30;1.000;1003784.500;1003596;1003910;108.643;25.000;10;0.483;0.686;0.544;99.224
EAS;1.000;5.000;0.100;50;1.000;1003688.000;1003660;1003688;13.525;11.000;10;0.383;0.917;0.543;99.214
EAS;0.500;2.000;0.100;30;0.500;1003759.500;1003467;1003947;171.643;22.000;10;0.457;0.736;0.541;99.221
EAS;1.500;3.500;0.100;50;0.500;1003778.500;1003561;1003878;134.585;25.000;10;0.477;0.686;0.540;99.223
EAS;0.500;2.000;0.500;30;0.200;1003761.500;1003568;1003958;108.704;22.500;10;0.459;0.727;0.540;99.221
AC;1.000;3.500;0.500;50;1.000;1003723.500;1003490;1003878;131.065;17.000;10;0.420;0.818;0.539;99.218
EAS;0.500;5.000;0.300;50;0.200;1003688.000;1003660;1003688;11.806;12.000;10;0.383;0.901;0.538;99.214
