Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;+;+;+;-;-;-;-;+;1004640.0
2;-;-;-;+;+;+;-;+;-;-;1004677.5
3;-;-;+;-;+;-;+;-;+;-;1004692.0
4;-;-;-;-;+;+;+;+;+;+;1004450.0
5;+;+;+;+;+;+;+;+;+;+;1004012.5
6;+;-;-;-;-;-;-;+;+;+;1003771.5
7;+;+;+;-;+;+;-;+;-;-;1004101.5
8;+;-;-;+;-;-;+;+;-;-;1003665.0
9;+;+;-;+;+;-;+;-;+;-;1003969.0
10;-;+;+;+;-;-;-;+;+;+;1003660.0
11;+;-;+;+;-;+;+;-;-;+;1003580.5
12;-;+;-;-;-;+;+;-;-;+;1003660.0
13;+;+;-;-;+;-;-;-;-;+;1003857.0
14;-;+;-;+;-;+;-;-;+;-;1003674.0
15;-;+;+;-;-;-;+;+;-;-;1003660.0
16;+;-;+;-;-;+;-;-;+;-;1003378.5
MW-;1004139.1875;1004106.875;1003965.5;1003946.3125;1003631.1875;1003989.3125;1003970.0;1003931.375;1003980.1875;1003977.1875;
MW+;1003791.9375;1003824.25;1003965.625;1003984.8125;1004299.9375;1003941.8125;1003961.125;1003999.75;1003950.9375;1003953.9375;
Effekt;-347.25;-282.625;0.125;38.5;668.75;-47.5;-8.875;68.375;-29.25;-23.25;
