mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.000;1.000;0.100;50;1.000;1004694.500;1004295;1005221;260.854;24.500;10;1.000;0.747;0.924;99.314
AC;2.000;1.000;0.100;80;1.000;1004528.500;1003932;1005290;465.616;9.000;10;0.887;0.921;0.897;99.297
AC;1.000;1.000;0.500;80;1.000;1004640.000;1004379;1005030;181.306;28.500;10;0.963;0.702;0.885;99.308
AC;1.000;1.000;0.300;50;1.000;1004689.500;1004282;1005021;280.914;43.000;10;0.997;0.539;0.859;99.313
AC;1.000;1.000;0.500;50;1.000;1004674.000;1004317;1005050;215.725;44.500;10;0.986;0.522;0.847;99.312
AC;1.000;1.000;0.300;20;1.000;1004589.500;1004065;1004802;243.973;34.500;10;0.928;0.635;0.840;99.303
AC;1.000;1.000;0.300;80;1.000;1004604.500;1004478;1004714;70.139;38.000;10;0.939;0.596;0.836;99.305
AC;2.000;2.000;0.500;80;1.000;1004555.000;1004223;1005005;227.758;31.500;10;0.905;0.669;0.834;99.300
AC;1.000;1.000;0.100;80;1.000;1004677.500;1004466;1005319;269.986;49.000;10;0.988;0.472;0.833;99.312
AC;1.000;1.000;0.500;20;1.000;1004692.000;1004518;1005313;238.615;56.500;10;0.998;0.388;0.815;99.313
AC;2.000;1.000;0.100;50;1.000;1004403.500;1003768;1004677;312.821;16.000;10;0.802;0.843;0.814;99.285
AC;2.000;1.000;0.300;50;1.000;1004230.000;1003876;1005607;489.436;4.500;10;0.684;0.972;0.770;99.268
AC;2.000;1.000;0.100;20;1.000;1004314.500;1003737;1004951;426.853;22.000;10;0.741;0.775;0.751;99.276
AC;2.000;2.000;0.100;20;1.000;1004284.500;1004060;1004594;163.656;23.500;10;0.721;0.758;0.732;99.273
AC;2.000;1.000;0.500;80;1.000;1004146.500;1003843;1004827;323.629;6.500;10;0.627;0.949;0.724;99.259
AC;2.000;1.000;0.500;50;1.000;1004280.000;1003603;1005395;627.592;27.000;10;0.718;0.719;0.718;99.273
AC;2.000;1.000;0.300;80;1.000;1004111.000;1003836;1004841;312.712;3.500;10;0.603;0.983;0.717;99.256
AC;2.000;2.000;0.500;50;1.000;1004558.000;1004280;1005322;314.232;67.000;10;0.907;0.270;0.716;99.300
AC;2.000;2.000;0.100;80;1.000;1004451.500;1004335;1004767;160.034;54.000;10;0.834;0.416;0.709;99.290
AC;1.000;1.000;0.100;20;1.000;1004450.000;1004071;1004702;195.235;54.500;10;0.833;0.410;0.706;99.289
AC;2.000;1.000;0.500;20;1.000;1004262.000;1003682;1004957;395.814;30.000;10;0.705;0.685;0.699;99.271
AC;2.000;2.000;0.500;20;1.000;1004391.000;1004054;1004604;194.504;51.000;10;0.793;0.449;0.690;99.284
AC;4.000;4.000;0.500;50;1.000;1004165.000;1003616;1004503;284.591;21.500;10;0.639;0.781;0.682;99.261
AC;2.000;2.000;0.300;80;1.000;1004585.500;1004350;1004918;149.980;84.000;10;0.926;0.079;0.672;99.303
AC;2.000;1.000;0.300;20;1.000;1004022.500;1003370;1004410;282.802;12.000;10;0.542;0.888;0.646;99.247
AC;2.000;2.000;0.300;50;1.000;1004390.000;1004271;1004718;170.687;67.000;10;0.793;0.270;0.636;99.284
AC;4.000;2.000;0.100;20;1.000;1003931.000;1003425;1004869;442.551;7.000;10;0.480;0.944;0.619;99.238
AC;2.000;2.000;0.300;20;1.000;1004442.000;1003972;1005032;281.705;81.500;10;0.828;0.107;0.612;99.289
AC;4.000;2.000;0.100;50;1.000;1003876.500;1003490;1004385;232.213;2.500;10;0.443;0.994;0.608;99.233
AC;4.000;4.000;0.500;80;1.000;1004012.500;1003699;1004500;253.316;28.000;10;0.535;0.708;0.587;99.246
AC;4.000;2.000;0.100;80;1.000;1003827.000;1003535;1004464;323.193;2.500;10;0.409;0.994;0.585;99.228
AC;4.000;2.000;0.300;80;1.000;1003823.500;1003522;1004361;271.560;2.500;10;0.407;0.994;0.583;99.228
AC;1.000;2.000;0.100;80;1.000;1003985.500;1003897;1004213;104.317;27.500;10;0.517;0.713;0.576;99.244
AC;4.000;2.000;0.500;50;1.000;1003787.500;1003339;1004214;261.069;2.500;10;0.382;0.994;0.566;99.224
AC;4.000;2.000;0.300;20;1.000;1003833.500;1002941;1004895;501.867;10.500;10;0.413;0.904;0.561;99.229
AC;4.000;1.000;0.100;20;1.000;1003771.500;1002441;1004628;683.709;2.500;10;0.371;0.994;0.558;99.222
AC;1.000;2.000;0.500;80;1.000;1004145.500;1003924;1004304;120.215;55.500;10;0.626;0.399;0.558;99.259
AC;1.000;2.000;0.100;50;1.000;1004030.500;1003833;1004207;141.908;39.500;10;0.548;0.579;0.557;99.248
AC;4.000;4.000;0.500;20;1.000;1004101.500;1003392;1004969;434.902;50.000;10;0.596;0.461;0.555;99.255
AC;2.000;2.000;0.100;50;1.000;1004374.500;1004240;1004737;137.290;91.000;10;0.782;0.000;0.547;99.282
AC;1.000;2.000;0.300;50;1.000;1003914.500;1003866;1004080;66.106;26.000;10;0.469;0.730;0.547;99.237
AC;4.000;2.000;0.500;80;1.000;1003744.500;1003463;1004518;310.717;2.500;10;0.353;0.994;0.545;99.220
AC;4.000;4.000;0.300;20;1.000;1004057.500;1003799;1004180;163.552;48.000;10;0.566;0.483;0.541;99.251
AC;2.000;4.000;0.300;50;1.000;1003836.000;1003561;1003877;143.919;18.000;10;0.415;0.820;0.537;99.229
AC;2.000;4.000;0.500;50;1.000;1003857.000;1003561;1003928;126.102;21.000;10;0.429;0.787;0.537;99.231
AC;4.000;4.000;0.300;80;1.000;1003921.500;1003857;1004371;172.546;32.500;10;0.473;0.657;0.529;99.237
AC;2.000;4.000;0.100;80;1.000;1003866.500;1003797;1003955;37.948;26.500;10;0.436;0.725;0.523;99.232
AC;4.000;4.000;0.300;50;1.000;1003914.000;1003857;1004637;238.436;34.500;10;0.468;0.635;0.518;99.236
AC;4.000;4.000;0.100;50;1.000;1003951.000;1003788;1004318;163.666;40.000;10;0.494;0.573;0.517;99.240
AC;4.000;2.000;0.500;20;1.000;1003733.000;1003339;1004496;420.221;11.500;10;0.345;0.893;0.509;99.219
AC;4.000;1.000;0.100;80;1.000;1003665.000;1003184;1004128;275.539;3.000;10;0.299;0.989;0.506;99.212
AC;4.000;4.000;0.100;80;1.000;1003969.000;1003855;1004180;114.067;48.000;10;0.506;0.483;0.499;99.242
AC;1.000;2.000;0.300;80;1.000;1003994.500;1003891;1004233;110.420;52.000;10;0.523;0.438;0.498;99.244
AC;1.000;2.000;0.500;50;1.000;1003952.500;1003820;1004373;167.338;46.500;10;0.495;0.500;0.496;99.240
AC;1.000;4.000;0.500;80;1.000;1003660.000;1003660;1003877;74.711;8.000;10;0.295;0.933;0.486;99.211
AC;1.000;2.000;0.500;20;1.000;1003938.000;1003682;1004137;133.019;48.000;10;0.485;0.483;0.484;99.239
AC;4.000;2.000;0.300;50;1.000;1003610.000;1003489;1004375;290.954;5.000;10;0.261;0.966;0.473;99.206
AC;1.000;4.000;0.300;80;1.000;1003660.000;1003660;1003866;81.732;14.000;10;0.295;0.865;0.466;99.211
AC;4.000;1.000;0.500;80;1.000;1003580.500;1002969;1003875;286.087;3.000;10;0.241;0.989;0.465;99.204
AC;2.000;4.000;0.500;80;1.000;1003878.000;1003700;1003902;59.842;45.500;10;0.444;0.511;0.464;99.233
AC;1.000;4.000;0.300;20;1.000;1003660.000;1003483;1003857;99.898;15.500;10;0.295;0.848;0.461;99.211
AC;1.000;4.000;0.100;20;1.000;1003660.000;1003561;1003878;79.668;16.000;10;0.295;0.843;0.460;99.211
AC;1.000;2.000;0.300;20;1.000;1003912.000;1003812;1004053;95.092;54.000;10;0.467;0.416;0.452;99.236
AC;4.000;4.000;0.100;20;1.000;1003857.000;1003490;1004098;166.207;48.500;10;0.429;0.478;0.444;99.231
AC;1.000;2.000;0.100;20;1.000;1003830.500;1003661;1003992;114.178;46.000;10;0.411;0.506;0.440;99.228
AC;2.000;4.000;0.100;20;1.000;1003850.000;1003561;1003878;127.106;50.500;10;0.425;0.455;0.434;99.230
AC;1.000;4.000;0.500;50;1.000;1003660.000;1003603;1003877;80.008;24.500;10;0.295;0.747;0.431;99.211
AC;2.000;4.000;0.300;80;1.000;1003877.500;1003843;1003981;40.040;55.500;10;0.443;0.399;0.430;99.233
AC;4.000;1.000;0.300;80;1.000;1003504.500;1002959;1003746;245.057;3.000;10;0.189;0.989;0.429;99.196
AC;1.000;4.000;0.100;80;1.000;1003674.000;1003660;1003866;81.974;31.000;10;0.305;0.674;0.416;99.213
AC;1.000;4.000;0.300;50;1.000;1003660.000;1003660;1003878;85.646;29.500;10;0.295;0.691;0.414;99.211
AC;2.000;4.000;0.500;20;1.000;1003607.000;1003561;1003878;130.154;26.000;10;0.259;0.730;0.401;99.206
AC;1.000;4.000;0.500;20;1.000;1003660.000;1003603;1003843;64.499;35.500;10;0.295;0.624;0.394;99.211
AC;2.000;4.000;0.100;50;1.000;1003861.500;1003561;1003877;148.495;64.500;10;0.433;0.298;0.392;99.231
AC;4.000;1.000;0.100;50;1.000;1003424.500;1002887;1003857;280.392;3.000;10;0.135;0.989;0.391;99.188
AC;1.000;4.000;0.100;50;1.000;1003674.000;1003660;1003877;83.964;38.500;10;0.305;0.590;0.390;99.213
AC;2.000;4.000;0.300;20;1.000;1003615.000;1003561;1003878;123.574;31.000;10;0.265;0.674;0.387;99.207
AC;4.000;1.000;0.500;20;1.000;1003378.500;1001885;1004067;607.018;3.500;10;0.104;0.983;0.367;99.184
AC;4.000;1.000;0.300;50;1.000;1003368.500;1002932;1004299;421.742;3.000;10;0.097;0.989;0.364;99.183
AC;4.000;1.000;0.500;50;1.000;1003279.000;1002673;1003940;433.260;2.000;10;0.036;1.000;0.325;99.174
AC;4.000;1.000;0.300;20;1.000;1003226.500;1002782;1003768;369.753;4.000;10;0.000;0.978;0.293;99.169
