mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.1;0.7;0.35;95;1.0;1004676;7
AC;1.1;0.7;0.35;95;1.0;1004885;13
AC;1.1;0.7;0.35;95;1.0;1004708;11
AC;1.1;0.7;0.35;95;1.0;1004919;21
AC;1.1;0.7;0.35;95;1.0;1004892;23
AC;1.1;0.7;0.35;95;1.0;1005279;22
AC;1.1;0.7;0.35;95;1.0;1005009;30
AC;1.1;0.7;0.35;95;1.0;1005059;69
AC;1.1;0.7;0.35;110;1.0;1004714;26
AC;1.1;0.7;0.35;110;1.0;1004788;29
AC;1.1;0.7;0.35;110;1.0;1005123;55
AC;1.1;0.7;0.35;95;1.0;1005451;92
AC;1.1;0.7;0.35;110;1.0;1005056;85
AC;1.1;0.7;0.35;95;1.0;1005065;140
AC;1.1;0.7;0.35;110;1.0;1005095;53
AC;1.1;0.7;0.35;110;1.0;1005127;161
AC;1.1;0.7;0.35;110;1.0;1005209;2
AC;1.1;0.7;0.35;110;1.0;1004903;28
AC;1.1;0.7;0.35;110;1.0;1005244;94
AC;1.1;0.7;0.35;110;1.0;1005198;126
AC;1.1;0.7;0.35;135;1.0;1005095;22
AC;1.1;0.7;0.35;135;1.0;1004977;33
AC;1.1;0.7;0.35;135;1.0;1005137;63
AC;1.1;0.7;0.35;135;1.0;1005192;76
AC;1.1;0.7;0.35;135;1.0;1005151;71
AC;1.1;0.7;0.35;135;1.0;1005317;17
AC;1.1;0.7;0.35;135;1.0;1004662;21
AC;1.1;0.7;0.5;95;1.0;1004996;19
AC;1.1;0.7;0.35;135;1.0;1005043;7
AC;1.1;0.7;0.35;135;1.0;1005013;125
AC;1.1;0.7;0.35;135;1.0;1005006;63
AC;1.1;0.7;0.5;95;1.0;1004901;22
AC;1.1;0.7;0.5;95;1.0;1004969;34
AC;1.1;0.7;0.5;95;1.0;1005319;111
AC;1.1;0.7;0.5;95;1.0;1005226;145
AC;1.1;0.7;0.5;95;1.0;1005203;38
AC;1.1;0.7;0.5;95;1.0;1005302;51
AC;1.1;0.7;0.5;95;1.0;1005111;38
AC;1.1;0.7;0.5;95;1.0;1005137;98
AC;1.1;0.7;0.5;110;1.0;1005286;21
AC;1.1;0.7;0.5;110;1.0;1004904;39
AC;1.1;0.7;0.5;95;1.0;1005241;94
AC;1.1;0.7;0.5;110;1.0;1005102;90
AC;1.1;0.7;0.5;110;1.0;1005333;64
AC;1.1;0.7;0.5;110;1.0;1004620;9
AC;1.1;0.7;0.5;110;1.0;1005481;26
AC;1.1;0.7;0.5;110;1.0;1004954;170
AC;1.1;0.7;0.5;135;1.0;1004784;9
AC;1.1;0.7;0.5;135;1.0;1004801;15
AC;1.1;0.7;0.5;110;1.0;1005591;73
AC;1.1;0.7;0.5;135;1.0;1004986;42
AC;1.1;0.7;0.5;110;1.0;1004985;152
AC;1.1;0.7;0.5;110;1.0;1005538;147
AC;1.1;0.7;0.5;135;1.0;1004861;34
AC;1.1;0.7;0.5;135;1.0;1005012;70
AC;1.1;0.7;0.5;135;1.0;1005174;61
AC;1.1;0.7;0.65;95;1.0;1004595;11
AC;1.1;0.7;0.5;135;1.0;1005286;75
AC;1.1;0.7;0.5;135;1.0;1005019;77
AC;1.1;0.7;0.65;95;1.0;1005300;28
AC;1.1;0.7;0.65;95;1.0;1005062;98
