mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.400;0.600;0.650;135;1.000;1005554.000;1004435;1006308;632.355;69.500;10;1.000;0.332;0.799;99.399
AC;1.400;1.000;0.650;110;1.000;1005110.500;1004336;1005578;344.322;44.000;10;0.659;0.600;0.641;99.355
AC;1.800;1.400;0.450;110;1.000;1004909.000;1004368;1005342;355.623;17.000;10;0.504;0.884;0.618;99.335
AC;1.400;0.600;0.250;110;1.000;1005398.500;1004538;1005856;389.655;101.000;10;0.880;0.000;0.616;99.383
AC;1.400;0.600;0.450;135;1.000;1005185.000;1004901;1006327;486.576;72.000;10;0.716;0.305;0.593;99.362
AC;1.400;0.600;0.450;110;1.000;1005176.500;1004434;1005721;363.684;72.500;10;0.710;0.300;0.587;99.361
AC;1.400;1.000;0.650;135;1.000;1005008.000;1004403;1006117;463.121;45.000;10;0.580;0.589;0.583;99.345
AC;1.800;1.000;0.250;85;1.000;1005066.000;1004180;1005810;600.336;55.500;10;0.625;0.479;0.581;99.350
AC;1.400;1.000;0.450;110;1.000;1004895.500;1004507;1005381;255.655;27.500;10;0.493;0.774;0.578;99.334
AC;1.400;1.000;0.650;85;1.000;1005002.000;1004444;1005222;234.845;46.000;10;0.575;0.579;0.576;99.344
AC;1.400;0.600;0.650;85;1.000;1005078.500;1004155;1005646;473.772;61.500;10;0.634;0.416;0.569;99.352
AC;1.400;0.600;0.250;135;1.000;1005235.000;1004647;1005644;366.502;89.000;10;0.755;0.126;0.566;99.367
AC;1.800;1.000;0.450;135;1.000;1005110.000;1004159;1006040;525.164;69.500;10;0.658;0.332;0.560;99.355
AC;1.400;1.000;0.250;85;1.000;1005033.500;1004614;1005312;216.880;57.000;10;0.600;0.463;0.559;99.347
AC;1.400;0.600;0.250;85;1.000;1004977.500;1004360;1005705;415.683;47.500;10;0.557;0.563;0.559;99.342
AC;1.800;1.000;0.650;110;1.000;1005034.000;1004083;1005559;417.947;57.500;10;0.600;0.458;0.557;99.347
AC;1.400;1.000;0.250;135;1.000;1005039.000;1004601;1005365;242.237;62.500;10;0.604;0.405;0.544;99.348
AC;1.000;0.600;0.450;135;1.000;1004876.000;1004585;1005514;241.575;38.000;10;0.478;0.663;0.534;99.332
AC;1.400;1.000;0.250;110;1.000;1004847.500;1004607;1005665;320.890;34.500;10;0.457;0.700;0.530;99.329
AC;1.000;0.600;0.450;110;1.000;1004938.000;1004723;1005286;170.779;50.500;10;0.526;0.532;0.528;99.338
AC;1.000;1.000;0.250;110;1.000;1004859.000;1004547;1005115;175.013;37.500;10;0.465;0.668;0.526;99.330
AC;1.000;1.000;0.650;85;1.000;1004721.000;1004401;1005022;179.838;15.000;10;0.359;0.905;0.523;99.316
AC;1.000;1.000;0.650;135;1.000;1004793.500;1004546;1005229;205.914;31.500;10;0.415;0.732;0.510;99.323
AC;1.800;1.000;0.250;135;1.000;1004932.000;1004236;1005547;427.475;56.500;10;0.522;0.468;0.506;99.337
AC;1.800;1.400;0.650;110;1.000;1004738.000;1004443;1005062;201.166;24.000;10;0.372;0.811;0.504;99.318
AC;1.000;0.600;0.650;135;1.000;1004999.000;1004689;1005200;170.392;69.000;10;0.573;0.337;0.502;99.344
AC;1.400;1.000;0.450;85;1.000;1004809.000;1004678;1005139;194.505;37.000;10;0.427;0.674;0.501;99.325
AC;1.400;1.000;0.450;135;1.000;1004964.500;1004752;1005473;274.697;67.000;10;0.547;0.358;0.490;99.340
AC;1.400;0.600;0.650;110;1.000;1004893.000;1004474;1005637;403.567;56.500;10;0.492;0.468;0.485;99.333
AC;1.000;0.600;0.250;135;1.000;1004947.000;1004531;1005248;198.352;66.500;10;0.533;0.363;0.482;99.339
AC;1.000;0.600;0.250;85;1.000;1004841.000;1004564;1005714;342.646;49.000;10;0.452;0.547;0.480;99.328
AC;1.800;1.000;0.650;135;1.000;1004789.000;1003907;1006066;557.263;40.500;10;0.412;0.637;0.479;99.323
