Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;+;+;+;-;-;-;-;+;1004999.0
2;-;-;-;+;+;+;-;+;-;-;1004947.0
3;-;-;-;-;+;+;+;+;+;+;1004841.0
4;+;+;+;-;+;+;-;+;-;-;1004598.0
5;+;+;-;+;+;-;+;-;+;-;1004648.0
6;-;-;+;-;+;-;+;-;+;-;1004854.5
7;+;+;+;+;+;+;+;+;+;+;1004587.0
8;+;-;-;+;-;-;+;+;-;-;1004474.5
9;+;+;-;-;+;-;-;-;-;+;1004604.5
10;+;-;-;-;-;-;-;+;+;+;1004445.5
11;+;-;+;+;-;+;+;-;-;+;1004323.0
12;+;-;+;-;-;+;-;-;+;-;1004358.0
13;-;+;+;-;-;-;+;+;-;-;1004331.5
14;-;+;-;-;-;+;+;-;-;+;1004408.0
15;-;+;-;+;-;+;-;-;+;-;1004437.0
16;-;+;+;+;-;-;-;+;+;+;1004468.0
MW-;1004660.75;1004655.3125;1004600.6875;1004555.125;1004405.6875;1004603.1875;1004607.125;1004579.0;1004585.6875;1004581.0625;
MW+;1004504.8125;1004510.25;1004564.875;1004610.4375;1004759.875;1004562.375;1004558.4375;1004586.5625;1004579.875;1004584.5;
Effekt;-155.9375;-145.0625;-35.8125;55.3125;354.1875;-40.8125;-48.6875;7.5625;-5.8125;3.4375;
