mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.500;1.000;0.300;60;1.000;1005002.000;1004553;1005563;266.094;23.000;10;0.998;0.784;0.934;99.344
AC;2.000;1.500;0.500;90;1.000;1004906.000;1004526;1005252;266.353;13.500;10;0.920;0.892;0.912;99.335
AC;1.500;1.000;0.300;90;1.000;1004930.500;1004543;1005315;231.478;34.000;10;0.940;0.659;0.856;99.337
AC;2.000;1.500;0.300;90;1.000;1004870.000;1004372;1005335;317.305;31.500;10;0.891;0.688;0.830;99.331
AC;1.500;1.000;0.500;90;1.000;1005005.000;1004798;1005669;301.771;60.000;10;1.000;0.364;0.809;99.344
AC;1.000;0.500;0.500;90;1.000;1004952.500;1004474;1005217;238.639;54.500;10;0.958;0.426;0.798;99.339
AC;1.500;1.000;0.300;30;1.000;1004826.000;1004348;1005563;399.768;35.500;10;0.856;0.642;0.792;99.327
AC;1.000;1.000;0.500;60;1.000;1004795.000;1004572;1005450;297.287;34.500;10;0.831;0.653;0.778;99.324
AC;1.500;1.000;0.100;90;1.000;1004869.500;1004629;1005187;180.638;47.000;10;0.891;0.511;0.777;99.331
AC;1.500;1.000;0.100;60;1.000;1005004.500;1004775;1005347;170.962;70.000;10;1.000;0.250;0.775;99.344
AC;1.500;0.500;0.100;90;1.000;1004747.000;1004326;1005682;432.442;28.000;10;0.792;0.727;0.773;99.319
AC;2.000;1.500;0.100;90;1.000;1004890.000;1004552;1005628;328.365;52.000;10;0.907;0.455;0.772;99.333
AC;1.500;1.500;0.300;60;1.000;1004724.000;1004470;1005077;190.271;25.500;10;0.774;0.756;0.768;99.317
AC;1.500;1.000;0.500;60;1.000;1004983.500;1004463;1005209;217.486;68.500;10;0.983;0.267;0.768;99.342
AC;1.000;0.500;0.100;90;1.000;1004829.500;1004564;1005218;184.780;44.000;10;0.859;0.545;0.765;99.327
AC;1.000;1.000;0.100;90;1.000;1004921.500;1004576;1005261;251.950;67.000;10;0.933;0.284;0.738;99.336
AC;1.500;1.500;0.100;90;1.000;1004799.500;1004415;1005239;292.271;48.500;10;0.835;0.494;0.733;99.324
AC;1.500;0.500;0.300;90;1.000;1004566.000;1004101;1005236;360.893;13.500;10;0.647;0.892;0.720;99.301
AC;1.500;1.500;0.500;60;1.000;1004685.000;1004377;1005323;312.915;34.500;10;0.743;0.653;0.716;99.313
AC;1.500;1.500;0.500;90;1.000;1004754.500;1004432;1004933;143.581;47.000;10;0.798;0.511;0.712;99.320
AC;2.000;1.500;0.500;60;1.000;1004602.500;1004302;1005253;334.000;22.000;10;0.676;0.795;0.712;99.305
AC;1.500;1.000;0.100;30;1.000;1004992.000;1004741;1005197;159.758;87.000;10;0.990;0.057;0.710;99.343
AC;1.500;1.000;0.500;30;1.000;1004885.000;1004256;1005506;370.718;69.500;10;0.903;0.256;0.709;99.332
AC;1.000;1.000;0.300;90;1.000;1004785.500;1004570;1005224;218.301;53.500;10;0.823;0.438;0.708;99.323
AC;2.000;1.500;0.300;60;1.000;1004652.500;1004228;1005060;311.884;37.500;10;0.716;0.619;0.687;99.309
AC;1.000;0.500;0.300;60;1.000;1004982.000;1004417;1005255;269.432;92.000;10;0.981;0.000;0.687;99.342
AC;1.000;1.000;0.300;30;1.000;1004666.500;1004302;1004838;215.942;40.500;10;0.728;0.585;0.685;99.311
AC;1.500;0.500;0.500;90;1.000;1004466.000;1004207;1004842;183.420;9.000;10;0.566;0.943;0.679;99.291
AC;1.000;0.500;0.300;90;1.000;1004739.000;1004584;1005119;177.775;57.000;10;0.786;0.398;0.670;99.318
AC;1.000;1.000;0.500;90;1.000;1004661.500;1004417;1005198;237.086;46.000;10;0.724;0.523;0.663;99.310
AC;1.000;1.000;0.300;60;1.000;1004733.000;1004582;1005025;134.415;58.000;10;0.781;0.386;0.663;99.317
AC;2.000;1.500;0.100;30;1.000;1004712.000;1004280;1005447;404.202;55.500;10;0.764;0.415;0.659;99.315
AC;1.000;0.500;0.100;60;1.000;1004744.000;1004535;1005149;208.753;62.000;10;0.790;0.341;0.655;99.319
AC;1.000;0.500;0.500;60;1.000;1004754.000;1004386;1004957;204.560;65.500;10;0.798;0.301;0.649;99.320
AC;1.500;0.500;0.100;60;1.000;1004464.000;1004217;1004849;203.357;18.000;10;0.565;0.841;0.648;99.291
AC;1.500;0.500;0.300;60;1.000;1004437.500;1003966;1004944;274.947;14.000;10;0.543;0.886;0.646;99.288
AC;1.000;1.000;0.100;60;1.000;1004571.500;1004348;1004867;171.985;37.500;10;0.651;0.619;0.642;99.301
AC;1.000;0.500;0.500;30;1.000;1004688.000;1004416;1004841;144.540;57.500;10;0.745;0.392;0.639;99.313
AC;1.000;0.500;0.300;30;1.000;1004618.500;1004318;1005238;289.994;51.000;10;0.689;0.466;0.622;99.306
AC;1.500;1.500;0.300;90;1.000;1004717.000;1004428;1005367;278.339;68.000;10;0.768;0.273;0.620;99.316
AC;2.000;1.000;0.100;30;1.000;1004334.000;1003699;1005052;444.762;7.500;10;0.460;0.960;0.610;99.278
AC;2.000;1.500;0.300;30;1.000;1004477.500;1004171;1004604;152.996;32.000;10;0.576;0.682;0.607;99.292
AC;1.500;1.500;0.300;30;1.000;1004559.500;1004236;1004848;187.101;46.000;10;0.642;0.523;0.606;99.300
AC;1.000;1.000;0.500;30;1.000;1004513.500;1004298;1005022;248.472;43.500;10;0.605;0.551;0.589;99.296
AC;1.500;1.500;0.500;30;1.000;1004514.500;1004070;1004891;234.900;44.500;10;0.605;0.540;0.586;99.296
AC;2.000;1.500;0.100;60;1.000;1004675.500;1004461;1005496;403.686;71.500;10;0.735;0.233;0.584;99.312
AC;2.000;1.000;0.100;90;1.000;1004296.000;1003807;1004524;210.184;11.500;10;0.430;0.915;0.575;99.274
AC;1.500;1.500;0.100;60;1.000;1004496.500;1004234;1005086;254.140;45.500;10;0.591;0.528;0.572;99.294
AC;2.000;1.000;0.300;90;1.000;1004480.000;1003959;1005275;380.927;43.500;10;0.578;0.551;0.570;99.292
AC;1.000;1.000;0.100;30;1.000;1004447.500;1004184;1004683;152.179;39.000;10;0.551;0.602;0.567;99.289
AC;1.500;0.500;0.500;30;1.000;1004461.500;1004018;1005423;514.418;45.500;10;0.563;0.528;0.552;99.291
AC;1.500;1.500;0.100;30;1.000;1004517.500;1004228;1005228;303.462;56.500;10;0.608;0.403;0.546;99.296
AC;2.000;1.000;0.500;30;1.000;1004372.000;1003720;1005874;665.066;35.000;10;0.491;0.648;0.538;99.282
AC;1.500;0.500;0.300;30;1.000;1004351.500;1003531;1004895;411.113;32.000;10;0.474;0.682;0.537;99.280
AC;1.000;0.500;0.100;30;1.000;1004439.000;1004208;1004995;273.866;50.500;10;0.545;0.472;0.523;99.288
AC;2.000;1.500;0.500;30;1.000;1004649.500;1004086;1005057;349.960;85.500;10;0.714;0.074;0.522;99.309
AC;1.000;1.500;0.300;60;1.000;1004319.500;1004184;1004984;265.184;31.000;10;0.449;0.693;0.522;99.277
AC;2.000;1.000;0.500;90;1.000;1004202.000;1003709;1005407;464.659;13.000;10;0.354;0.898;0.517;99.265
AC;2.000;1.000;0.500;60;1.000;1004131.000;1003856;1004842;358.593;4.000;10;0.297;1.000;0.508;99.258
AC;2.000;1.000;0.300;30;1.000;1004202.500;1003439;1004455;408.903;17.000;10;0.354;0.852;0.504;99.265
AC;1.500;0.500;0.100;30;1.000;1004326.500;1003910;1004689;196.553;38.500;10;0.454;0.608;0.500;99.277
AC;2.000;1.000;0.300;60;1.000;1004113.000;1003961;1004476;169.592;4.500;10;0.282;0.994;0.496;99.256
AC;1.500;0.500;0.500;60;1.000;1004368.000;1004073;1005060;282.387;47.500;10;0.488;0.506;0.493;99.281
AC;1.000;1.500;0.500;60;1.000;1004271.500;1004065;1004994;273.222;33.500;10;0.410;0.665;0.486;99.272
AC;2.000;0.500;0.100;90;1.000;1004092.500;1003788;1004768;281.193;6.500;10;0.266;0.972;0.478;99.254
AC;1.000;1.500;0.100;90;1.000;1004320.000;1004089;1004650;151.308;46.000;10;0.449;0.523;0.471;99.277
AC;1.000;1.500;0.300;90;1.000;1004312.500;1004228;1004720;165.744;48.000;10;0.443;0.500;0.460;99.276
AC;2.000;0.500;0.300;30;1.000;1004065.500;1003393;1004538;397.380;10.500;10;0.244;0.926;0.449;99.251
AC;2.000;0.500;0.100;30;1.000;1004082.500;1003355;1004212;300.097;16.500;10;0.258;0.858;0.438;99.253
AC;1.000;1.500;0.500;90;1.000;1004261.000;1004119;1004560;136.694;49.500;10;0.401;0.483;0.426;99.271
AC;1.000;1.500;0.500;30;1.000;1004198.500;1003945;1004428;143.524;39.500;10;0.351;0.597;0.425;99.265
AC;2.000;0.500;0.100;60;1.000;1004018.000;1003782;1004888;344.164;11.000;10;0.206;0.920;0.420;99.247
AC;1.000;1.500;0.300;30;1.000;1004220.500;1004090;1004393;92.977;47.000;10;0.369;0.511;0.412;99.267
AC;2.000;0.500;0.500;60;1.000;1003946.500;1003501;1004381;328.992;5.500;10;0.148;0.983;0.399;99.240
AC;2.000;1.000;0.100;60;1.000;1003933.500;1003767;1004190;143.819;7.000;10;0.138;0.966;0.386;99.238
AC;1.000;1.500;0.100;60;1.000;1004139.000;1004038;1004528;164.505;42.000;10;0.303;0.568;0.383;99.259
AC;2.000;0.500;0.300;60;1.000;1003876.000;1003605;1004378;241.289;8.000;10;0.092;0.955;0.351;99.233
AC;2.000;0.500;0.500;30;1.000;1003885.500;1002953;1004690;547.007;12.000;10;0.099;0.909;0.342;99.234
AC;2.000;0.500;0.300;90;1.000;1003837.000;1003545;1004316;257.006;7.000;10;0.060;0.966;0.332;99.229
AC;1.000;1.500;0.100;30;1.000;1004200.000;1003994;1004315;112.512;69.000;10;0.352;0.261;0.325;99.265
AC;2.000;0.500;0.500;90;1.000;1003762.000;1003333;1004322;309.050;5.000;10;0.000;0.989;0.297;99.221
