Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;+;+;+;+;+;+;+;+;+;+;1004906.0
2;-;-;+;+;+;-;-;-;-;+;1004952.5
3;+;+;-;+;+;-;+;-;+;-;1004890.0
4;-;-;-;+;+;+;-;+;-;-;1004829.5
5;+;+;-;-;+;-;-;-;-;+;1004712.0
6;-;-;+;-;+;-;+;-;+;-;1004688.0
7;-;-;-;-;+;+;+;+;+;+;1004439.0
8;+;+;+;-;+;+;-;+;-;-;1004649.5
9;+;-;-;+;-;-;+;+;-;-;1004092.5
10;-;+;-;+;-;+;-;-;+;-;1004320.0
11;+;-;-;-;-;-;-;+;+;+;1004082.5
12;-;+;+;+;-;-;-;+;+;+;1004261.0
13;-;+;+;-;-;-;+;+;-;-;1004198.5
14;+;-;+;-;-;+;-;-;+;-;1003885.5
15;-;+;-;-;-;+;+;-;-;+;1004200.0
16;+;-;+;+;-;+;+;-;-;+;1003762.0
MW-;1004486.0625;1004341.4375;1004445.6875;1004356.875;1004100.25;1004484.625;1004461.5625;1004426.25;1004424.5625;1004444.1875;
MW+;1004372.5;1004517.125;1004412.875;1004501.6875;1004758.3125;1004373.9375;1004397.0;1004432.3125;1004434.0;1004414.375;
Effekt;-113.5625;175.6875;-32.8125;144.8125;658.0625;-110.6875;-64.5625;6.0625;9.4375;-29.8125;
