mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;0.5;0.1;30;1.0;1004263;17
AC;1.0;0.5;0.1;30;1.0;1004447;16
AC;1.0;0.5;0.1;30;1.0;1004208;37
AC;1.0;0.5;0.1;30;1.0;1004740;48
AC;1.0;0.5;0.1;30;1.0;1004573;53
AC;1.0;0.5;0.1;30;1.0;1004383;48
AC;1.0;0.5;0.1;30;1.0;1004414;91
AC;1.0;0.5;0.1;30;1.0;1004431;100
AC;1.0;0.5;0.1;30;1.0;1004995;73
AC;1.0;0.5;0.1;30;1.0;1004963;100
AC;1.0;0.5;0.1;60;1.0;1004885;15
AC;1.0;0.5;0.1;60;1.0;1004535;65
AC;1.0;0.5;0.1;60;1.0;1004556;40
AC;1.0;0.5;0.1;60;1.0;1004948;66
AC;1.0;0.5;0.1;60;1.0;1005018;8
AC;1.0;0.5;0.1;60;1.0;1005149;100
AC;1.0;0.5;0.1;60;1.0;1004712;29
AC;1.0;0.5;0.1;60;1.0;1004776;71
AC;1.0;0.5;0.1;60;1.0;1004603;183
AC;1.0;0.5;0.1;90;1.0;1005005;10
AC;1.0;0.5;0.1;60;1.0;1004661;59
AC;1.0;0.5;0.1;90;1.0;1004740;23
AC;1.0;0.5;0.1;90;1.0;1004712;7
AC;1.0;0.5;0.1;90;1.0;1004564;27
AC;1.0;0.5;0.1;90;1.0;1005218;48
AC;1.0;0.5;0.3;30;1.0;1004336;63
AC;1.0;0.5;0.3;30;1.0;1004912;52
AC;1.0;0.5;0.1;90;1.0;1004828;66
AC;1.0;0.5;0.3;30;1.0;1004318;29
AC;1.0;0.5;0.1;90;1.0;1005000;41
AC;1.0;0.5;0.1;90;1.0;1004747;47
AC;1.0;0.5;0.3;30;1.0;1005238;59
AC;1.0;0.5;0.3;30;1.0;1004474;50
AC;1.0;0.5;0.3;30;1.0;1004652;9
AC;1.0;0.5;0.3;30;1.0;1004831;73
AC;1.0;0.5;0.1;90;1.0;1004882;106
AC;1.0;0.5;0.1;90;1.0;1004831;152
AC;1.0;0.5;0.3;30;1.0;1004585;14
AC;1.0;0.5;0.3;30;1.0;1004866;93
AC;1.0;0.5;0.3;30;1.0;1004497;21
AC;1.0;0.5;0.3;60;1.0;1004691;53
AC;1.0;0.5;0.3;60;1.0;1004854;41
AC;1.0;0.5;0.3;60;1.0;1005018;17
AC;1.0;0.5;0.3;60;1.0;1005194;114
AC;1.0;0.5;0.3;60;1.0;1005156;118
AC;1.0;0.5;0.3;60;1.0;1004817;99
AC;1.0;0.5;0.3;60;1.0;1004417;40
AC;1.0;0.5;0.3;60;1.0;1004946;130
AC;1.0;0.5;0.3;60;1.0;1005226;85
AC;1.0;0.5;0.3;60;1.0;1005255;104
AC;1.0;0.5;0.3;90;1.0;1004585;26
AC;1.0;0.5;0.3;90;1.0;1004966;29
AC;1.0;0.5;0.3;90;1.0;1004730;85
AC;1.0;0.5;0.3;90;1.0;1004641;89
AC;1.0;0.5;0.3;90;1.0;1004748;68
AC;1.0;0.5;0.3;90;1.0;1004699;27
AC;1.0;0.5;0.3;90;1.0;1005119;105
AC;1.0;0.5;0.5;30;1.0;1004670;40
AC;1.0;0.5;0.5;30;1.0;1004706;45
AC;1.0;0.5;0.3;90;1.0;1004888;32
AC;1.0;0.5;0.3;90;1.0;1004914;75
AC;1.0;0.5;0.5;30;1.0;1004416;104
AC;1.0;0.5;0.3;90;1.0;1004584;46
AC;1.0;0.5;0.5;30;1.0;1004621;46
AC;1.0;0.5;0.5;30;1.0;1004833;46
AC;1.0;0.5;0.5;30;1.0;1004723;121
AC;1.0;0.5;0.5;30;1.0;1004500;69
AC;1.0;0.5;0.5;30;1.0;1004776;6
AC;1.0;0.5;0.5;30;1.0;1004522;72
AC;1.0;0.5;0.5;30;1.0;1004841;113
AC;1.0;0.5;0.5;60;1.0;1004810;27
AC;1.0;0.5;0.5;60;1.0;1004530;32
AC;1.0;0.5;0.5;60;1.0;1004386;47
AC;1.0;0.5;0.5;60;1.0;1004791;76
AC;1.0;0.5;0.5;60;1.0;1004903;70
AC;1.0;0.5;0.5;60;1.0;1004956;99
AC;1.0;0.5;0.5;60;1.0;1004565;65
AC;1.0;0.5;0.5;60;1.0;1004957;61
AC;1.0;0.5;0.5;60;1.0;1004717;82
AC;1.0;0.5;0.5;60;1.0;1004503;66
AC;1.0;0.5;0.5;90;1.0;1004474;10
AC;1.0;0.5;0.5;90;1.0;1005152;7
AC;1.0;0.5;0.5;90;1.0;1004728;44
AC;1.0;0.5;0.5;90;1.0;1005217;31
AC;1.0;0.5;0.5;90;1.0;1004896;48
AC;1.0;1.0;0.1;30;1.0;1004420;29
AC;1.0;0.5;0.5;90;1.0;1004958;65
AC;1.0;1.0;0.1;30;1.0;1004184;16
AC;1.0;1.0;0.1;30;1.0;1004292;93
AC;1.0;1.0;0.1;30;1.0;1004493;17
AC;1.0;0.5;0.5;90;1.0;1004962;75
AC;1.0;1.0;0.1;30;1.0;1004683;44
AC;1.0;1.0;0.1;30;1.0;1004562;53
AC;1.0;1.0;0.1;30;1.0;1004398;16
AC;1.0;0.5;0.5;90;1.0;1004947;61
AC;1.0;1.0;0.1;30;1.0;1004266;61
AC;1.0;1.0;0.1;30;1.0;1004475;39
AC;1.0;1.0;0.1;30;1.0;1004546;39
AC;1.0;0.5;0.5;90;1.0;1004589;91
AC;1.0;1.0;0.1;60;1.0;1004587;25
AC;1.0;0.5;0.5;90;1.0;1005077;138
AC;1.0;1.0;0.1;60;1.0;1004867;41
AC;1.0;1.0;0.1;60;1.0;1004765;50
AC;1.0;1.0;0.1;60;1.0;1004366;21
AC;1.0;1.0;0.1;60;1.0;1004348;41
AC;1.0;1.0;0.1;60;1.0;1004621;13
AC;1.0;1.0;0.1;60;1.0;1004423;30
AC;1.0;1.0;0.1;60;1.0;1004705;69
AC;1.0;1.0;0.1;60;1.0;1004491;34
AC;1.0;1.0;0.1;60;1.0;1004556;89
AC;1.0;1.0;0.1;90;1.0;1004576;57
AC;1.0;1.0;0.1;90;1.0;1004587;36
AC;1.0;1.0;0.1;90;1.0;1004783;53
AC;1.0;1.0;0.1;90;1.0;1004981;95
AC;1.0;1.0;0.1;90;1.0;1004862;77
AC;1.0;1.0;0.1;90;1.0;1005175;126
AC;1.0;1.0;0.3;30;1.0;1004397;12
AC;1.0;1.0;0.3;30;1.0;1004822;55
AC;1.0;1.0;0.3;30;1.0;1004748;63
AC;1.0;1.0;0.1;90;1.0;1005261;24
AC;1.0;1.0;0.1;90;1.0;1004803;48
AC;1.0;1.0;0.3;30;1.0;1004741;17
AC;1.0;1.0;0.1;90;1.0;1005210;99
AC;1.0;1.0;0.3;30;1.0;1004302;9
AC;1.0;1.0;0.3;30;1.0;1004766;81
AC;1.0;1.0;0.1;90;1.0;1005119;122
AC;1.0;1.0;0.3;30;1.0;1004838;21
AC;1.0;1.0;0.3;30;1.0;1004369;85
AC;1.0;1.0;0.3;30;1.0;1004352;26
AC;1.0;1.0;0.3;30;1.0;1004592;94
AC;1.0;1.0;0.3;60;1.0;1004603;7
AC;1.0;1.0;0.3;60;1.0;1004738;27
AC;1.0;1.0;0.3;60;1.0;1004654;48
AC;1.0;1.0;0.3;60;1.0;1004582;79
AC;1.0;1.0;0.3;60;1.0;1004823;10
AC;1.0;1.0;0.3;60;1.0;1004664;68
AC;1.0;1.0;0.3;60;1.0;1005025;30
AC;1.0;1.0;0.3;60;1.0;1004728;175
AC;1.0;1.0;0.3;60;1.0;1004785;121
AC;1.0;1.0;0.3;60;1.0;1004866;120
AC;1.0;1.0;0.3;90;1.0;1004853;46
AC;1.0;1.0;0.3;90;1.0;1005009;42
AC;1.0;1.0;0.3;90;1.0;1005224;100
AC;1.0;1.0;0.3;90;1.0;1004582;28
AC;1.0;1.0;0.3;90;1.0;1004671;75
AC;1.0;1.0;0.3;90;1.0;1004803;34
AC;1.0;1.0;0.5;30;1.0;1004737;58
AC;1.0;1.0;0.3;90;1.0;1004768;61
AC;1.0;1.0;0.5;30;1.0;1004575;59
AC;1.0;1.0;0.5;30;1.0;1004298;2
AC;1.0;1.0;0.3;90;1.0;1005011;63
AC;1.0;1.0;0.3;90;1.0;1004598;8
AC;1.0;1.0;0.5;30;1.0;1004318;46
AC;1.0;1.0;0.5;30;1.0;1004452;16
AC;1.0;1.0;0.5;30;1.0;1005022;7
AC;1.0;1.0;0.5;30;1.0;1004438;57
AC;1.0;1.0;0.5;30;1.0;1004309;21
AC;1.0;1.0;0.5;30;1.0;1004672;84
AC;1.0;1.0;0.3;90;1.0;1004570;85
AC;1.0;1.0;0.5;30;1.0;1004846;41
AC;1.0;1.0;0.5;60;1.0;1005309;15
AC;1.0;1.0;0.5;60;1.0;1004666;9
AC;1.0;1.0;0.5;60;1.0;1004994;2
AC;1.0;1.0;0.5;60;1.0;1005450;24
AC;1.0;1.0;0.5;60;1.0;1004572;10
AC;1.0;1.0;0.5;60;1.0;1004700;54
AC;1.0;1.0;0.5;60;1.0;1004744;90
AC;1.0;1.0;0.5;60;1.0;1004626;95
AC;1.0;1.0;0.5;60;1.0;1005013;45
AC;1.0;1.0;0.5;90;1.0;1004487;10
AC;1.0;1.0;0.5;60;1.0;1004846;90
AC;1.0;1.0;0.5;90;1.0;1005198;25
AC;1.0;1.0;0.5;90;1.0;1004417;22
AC;1.0;1.0;0.5;90;1.0;1004703;24
AC;1.0;1.0;0.5;90;1.0;1004678;58
AC;1.0;1.0;0.5;90;1.0;1004645;92
AC;1.0;1.0;0.5;90;1.0;1004551;85
AC;1.0;1.0;0.5;90;1.0;1004842;34
AC;1.0;1.5;0.1;30;1.0;1004274;76
AC;1.0;1.5;0.1;30;1.0;1003994;14
AC;1.0;1.5;0.1;30;1.0;1004236;106
AC;1.0;1.5;0.1;30;1.0;1004242;70
AC;1.0;1.5;0.1;30;1.0;1004146;71
AC;1.0;1.5;0.1;30;1.0;1004079;48
AC;1.0;1.5;0.1;30;1.0;1004315;26
AC;1.0;1.5;0.1;30;1.0;1004042;86
AC;1.0;1.5;0.1;30;1.0;1004301;68
AC;1.0;1.5;0.1;30;1.0;1004164;37
AC;1.0;1.0;0.5;90;1.0;1004445;113
AC;1.0;1.0;0.5;90;1.0;1004857;129
AC;1.0;1.5;0.1;60;1.0;1004082;42
AC;1.0;1.5;0.1;60;1.0;1004119;8
AC;1.0;1.5;0.1;60;1.0;1004077;34
AC;1.0;1.5;0.1;60;1.0;1004161;51
AC;1.0;1.5;0.1;60;1.0;1004159;26
AC;1.0;1.5;0.1;60;1.0;1004110;47
AC;1.0;1.5;0.1;60;1.0;1004038;10
AC;1.0;1.5;0.1;60;1.0;1004528;78
AC;1.0;1.5;0.1;60;1.0;1004159;42
AC;1.0;1.5;0.1;90;1.0;1004268;17
AC;1.0;1.5;0.1;60;1.0;1004450;64
AC;1.0;1.5;0.1;90;1.0;1004437;16
AC;1.0;1.5;0.1;90;1.0;1004351;48
AC;1.0;1.5;0.1;90;1.0;1004319;52
AC;1.0;1.5;0.1;90;1.0;1004089;25
AC;1.0;1.5;0.3;30;1.0;1004246;31
AC;1.0;1.5;0.1;90;1.0;1004650;91
AC;1.0;1.5;0.1;90;1.0;1004321;44
AC;1.0;1.5;0.1;90;1.0;1004215;23
AC;1.0;1.5;0.1;90;1.0;1004236;56
AC;1.0;1.5;0.3;30;1.0;1004195;111
AC;1.0;1.5;0.3;30;1.0;1004175;66
AC;1.0;1.5;0.3;30;1.0;1004090;32
AC;1.0;1.5;0.3;30;1.0;1004393;34
AC;1.0;1.5;0.3;30;1.0;1004153;11
AC;1.0;1.5;0.1;90;1.0;1004417;159
AC;1.0;1.5;0.3;30;1.0;1004311;56
AC;1.0;1.5;0.3;30;1.0;1004262;38
AC;1.0;1.5;0.3;30;1.0;1004127;62
AC;1.0;1.5;0.3;30;1.0;1004288;84
AC;1.0;1.5;0.3;60;1.0;1004184;21
AC;1.0;1.5;0.3;60;1.0;1004232;16
AC;1.0;1.5;0.3;60;1.0;1004243;15
AC;1.0;1.5;0.3;60;1.0;1004311;47
AC;1.0;1.5;0.3;60;1.0;1004339;69
AC;1.0;1.5;0.3;60;1.0;1004746;31
AC;1.0;1.5;0.3;60;1.0;1004984;114
AC;1.0;1.5;0.3;60;1.0;1004189;3
AC;1.0;1.5;0.3;60;1.0;1004328;31
AC;1.0;1.5;0.3;60;1.0;1004508;104
AC;1.0;1.5;0.3;90;1.0;1004241;4
AC;1.0;1.5;0.3;90;1.0;1004228;30
AC;1.0;1.5;0.3;90;1.0;1004319;58
AC;1.0;1.5;0.3;90;1.0;1004276;7
AC;1.0;1.5;0.3;90;1.0;1004306;21
AC;1.0;1.5;0.5;30;1.0;1003945;25
AC;1.0;1.5;0.3;90;1.0;1004532;77
AC;1.0;1.5;0.5;30;1.0;1004150;41
AC;1.0;1.5;0.5;30;1.0;1004218;120
AC;1.0;1.5;0.3;90;1.0;1004566;79
AC;1.0;1.5;0.3;90;1.0;1004274;84
AC;1.0;1.5;0.3;90;1.0;1004362;38
AC;1.0;1.5;0.5;30;1.0;1004119;56
AC;1.0;1.5;0.5;30;1.0;1004365;54
AC;1.0;1.5;0.5;30;1.0;1004428;37
AC;1.0;1.5;0.5;30;1.0;1004043;38
AC;1.0;1.5;0.5;30;1.0;1004270;8
AC;1.0;1.5;0.5;30;1.0;1004179;9
AC;1.0;1.5;0.5;30;1.0;1004244;124
AC;1.0;1.5;0.5;60;1.0;1004065;11
AC;1.0;1.5;0.3;90;1.0;1004720;142
AC;1.0;1.5;0.5;60;1.0;1004229;8
AC;1.0;1.5;0.5;60;1.0;1004077;13
AC;1.0;1.5;0.5;60;1.0;1004553;50
AC;1.0;1.5;0.5;60;1.0;1004266;36
AC;1.0;1.5;0.5;60;1.0;1004994;43
AC;1.0;1.5;0.5;60;1.0;1004192;57
AC;1.0;1.5;0.5;60;1.0;1004277;2
AC;1.0;1.5;0.5;60;1.0;1004436;57
AC;1.0;1.5;0.5;60;1.0;1004307;31
AC;1.0;1.5;0.5;90;1.0;1004225;36
AC;1.0;1.5;0.5;90;1.0;1004119;20
AC;1.0;1.5;0.5;90;1.0;1004180;3
AC;1.0;1.5;0.5;90;1.0;1004282;28
AC;1.0;1.5;0.5;90;1.0;1004403;63
AC;1.0;1.5;0.5;90;1.0;1004119;27
AC;1.0;1.5;0.5;90;1.0;1004371;101
AC;1.5;0.5;0.1;30;1.0;1004461;21
AC;1.5;0.5;0.1;30;1.0;1004298;27
AC;1.5;0.5;0.1;30;1.0;1004301;5
AC;1.0;1.5;0.5;90;1.0;1004241;94
AC;1.5;0.5;0.1;30;1.0;1004347;60
AC;1.5;0.5;0.1;30;1.0;1004689;52
AC;1.0;1.5;0.5;90;1.0;1004281;69
AC;1.5;0.5;0.1;30;1.0;1003910;42
AC;1.5;0.5;0.1;30;1.0;1004322;84
AC;1.5;0.5;0.1;30;1.0;1004478;35
AC;1.5;0.5;0.1;30;1.0;1004331;28
AC;1.5;0.5;0.1;30;1.0;1004280;43
AC;1.0;1.5;0.5;90;1.0;1004560;137
